global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,uniform_full,32,0,,3289,0,0.0,6749028.0,6749028.0,1943244.0,1943244.0,77.72976,0,0.0,0.0,0.0,77.72976,682.0,947.0
1,0,1,uniform_full,32,0,,3284,0,0.0,6738768.0,6738768.0,1836540.0,1836540.0,73.4616,0,0.0,0.0,0.0,73.4616,572.0,895.0
2,0,2,uniform_full,32,0,,3156,0,0.0,6476112.0,6476112.0,1900152.0,1900152.0,76.00608,0,0.0,0.0,0.0,76.00608,733.0,926.0
3,0,3,uniform_full,32,0,,3440,0,0.0,7058880.0,7058880.0,2503440.0,2503440.0,100.1376,0,0.0,0.0,0.0,100.1376,667.0,1220.0
4,0,4,uniform_full,32,0,,3467,0,0.0,7114284.0,7114284.0,1963764.0,1963764.0,78.55056,0,0.0,0.0,0.0,78.55056,759.0,957.0
5,0,5,uniform_full,32,0,,3239,0,0.0,6646428.0,6646428.0,1799604.0,1799604.0,71.98416,0,0.0,0.0,0.0,71.98416,649.0,877.0
6,0,6,uniform_full,32,0,,3378,0,0.0,6931656.0,6931656.0,2047896.0,2047896.0,81.91584,0,0.0,0.0,0.0,81.91584,619.0,998.0
7,0,7,uniform_full,32,0,,3228,0,0.0,6623856.0,6623856.0,1813968.0,1813968.0,72.55872,0,0.0,0.0,0.0,72.55872,614.0,884.0
8,0,8,uniform_full,32,0,,3211,0,0.0,6588972.0,6588972.0,1799604.0,1799604.0,71.98416,0,0.0,0.0,0.0,71.98416,580.0,877.0
9,0,9,uniform_full,32,0,,3378,0,0.0,6931656.0,6931656.0,2117664.0,2117664.0,84.70656,0,0.0,0.0,0.0,84.70656,661.0,1032.0
10,0,10,uniform_full,32,0,,3125,0,0.0,6412500.0,6412500.0,1863216.0,1863216.0,74.52864,0,0.0,0.0,0.0,74.52864,521.0,908.0
11,0,11,uniform_full,32,0,,3415,0,0.0,7007580.0,7007580.0,1881684.0,1881684.0,75.26736,0,0.0,0.0,0.0,75.26736,568.0,917.0
12,0,12,uniform_full,32,0,,3206,0,0.0,6578712.0,6578712.0,2033532.0,2033532.0,81.34128,0,0.0,0.0,0.0,81.34128,601.0,991.0
13,0,13,uniform_full,32,0,,3248,0,0.0,6664896.0,6664896.0,1935036.0,1935036.0,77.40144,0,0.0,0.0,0.0,77.40144,835.0,943.0
14,0,14,uniform_full,32,0,,3325,0,0.0,6822900.0,6822900.0,1891944.0,1891944.0,75.67776,0,0.0,0.0,0.0,75.67776,626.0,922.0
15,0,15,uniform_full,32,0,,2978,0,0.0,6110856.0,6110856.0,1547208.0,1547208.0,61.88832,0,0.0,0.0,0.0,61.88832,483.0,754.0
16,1,0,uniform_full,20,0,,2627,0,0.0,5390604.0,5390604.0,2351592.0,2351592.0,94.06368,0,0.0,0.0,0.0,94.06368,637.0,1146.0
17,1,1,uniform_full,20,0,,2648,0,0.0,5433696.0,5433696.0,2378268.0,2378268.0,95.13072,0,0.0,0.0,0.0,95.13072,743.0,1159.0
18,1,2,uniform_full,20,0,,2764,0,0.0,5671728.0,5671728.0,2562948.0,2562948.0,102.51792,0,0.0,0.0,0.0,102.51792,954.0,1249.0
19,1,3,uniform_full,20,0,,3401,0,0.0,6978852.0,6978852.0,3194964.0,3194964.0,127.79856,0,0.0,0.0,0.0,127.79856,1042.0,1557.0
20,1,4,uniform_full,20,0,,2796,0,0.0,5737392.0,5737392.0,2503440.0,2503440.0,100.1376,0,0.0,0.0,0.0,100.1376,756.0,1220.0
21,1,5,uniform_full,20,0,,2344,0,0.0,4809888.0,4809888.0,2105352.0,2105352.0,84.21408,0,0.0,0.0,0.0,84.21408,660.0,1026.0
22,1,6,uniform_full,20,0,,2973,0,0.0,6100596.0,6100596.0,2805084.0,2805084.0,112.20336,0,0.0,0.0,0.0,112.20336,837.0,1367.0
23,1,7,uniform_full,20,0,,2601,0,0.0,5337252.0,5337252.0,2376216.0,2376216.0,95.04864,0,0.0,0.0,0.0,95.04864,995.0,1158.0
24,1,8,uniform_full,20,0,,2811,0,0.0,5768172.0,5768172.0,2622456.0,2622456.0,104.89824,0,0.0,0.0,0.0,104.89824,841.0,1278.0
25,1,9,uniform_full,20,0,,2870,0,0.0,5889240.0,5889240.0,2593728.0,2593728.0,103.74912,0,0.0,0.0,0.0,103.74912,791.0,1264.0
26,1,10,uniform_full,20,0,,2852,0,0.0,5852304.0,5852304.0,2634768.0,2634768.0,105.39072,0,0.0,0.0,0.0,105.39072,806.0,1284.0
27,1,11,uniform_full,20,0,,2780,0,0.0,5704560.0,5704560.0,2544480.0,2544480.0,101.7792,0,0.0,0.0,0.0,101.7792,743.0,1240.0
28,1,12,uniform_full,20,0,,3057,0,0.0,6272964.0,6272964.0,2940516.0,2940516.0,117.62064,0,0.0,0.0,0.0,117.62064,856.0,1433.0
29,1,13,uniform_full,20,0,,2441,0,0.0,5008932.0,5008932.0,2232576.0,2232576.0,89.30304,0,0.0,0.0,0.0,89.30304,705.0,1088.0
30,1,14,uniform_full,20,0,,2837,0,0.0,5821524.0,5821524.0,2653236.0,2653236.0,106.12944,0,0.0,0.0,0.0,106.12944,884.0,1293.0
31,1,15,uniform_full,20,0,,2326,0,0.0,4772952.0,4772952.0,2230524.0,2230524.0,89.22096,0,0.0,0.0,0.0,89.22096,660.0,1087.0
