request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,computer_security,1,1,1,0.8824224472045898,0.7578125,-2.20273494720459,-0.8824224472045898,-1.6402349472045898,-1.6480474472045898,9.724980541999997,6694,4657,0.695697639677323,8967320.0
1,abstract_algebra,2,3,0,1.7850878238677979,-0.8671875596046448,-1.9022753238677979,-2.847587823867798,-1.7850878238677979,-0.9179002642631531,9.724980541999997,5323,1878,0.3528085665977832,8999724.0
2,abstract_algebra,2,3,0,1.669435977935791,-0.0234375,-1.989748477935791,-1.841310977935791,-1.669435977935791,-1.645998477935791,9.724980541999997,6313,4228,0.6697291303659116,8624804.0
3,computer_security,1,1,1,0.27437007427215576,2.8984375,-3.1728076934814453,-0.27437007427215576,-3.6571826934814453,-3.3134326934814453,9.724980541999997,3266,960,0.29393753827311697,5718792.0
4,computer_security,2,2,1,0.8447225689888,1.15625,-2.6650350093841553,-2.0244100093841553,-0.8447225689888,-2.0009725093841553,9.724980541999997,4810,555,0.11538461538461539,9301800.0
5,abstract_algebra,0,3,0,1.8343889713287354,-0.3671875,-1.8343889713287354,-1.6078264713287354,-1.6390764713287354,-1.4672014713287354,9.724980541999997,4649,601,0.1292751129275113,8924324.0
6,computer_security,2,2,1,0.9112825989723206,0.4453124403953552,-2.215970039367676,-1.3565950393676758,-0.9112825989723206,-1.9737825393676758,9.724980541999997,4935,543,0.11003039513677812,9570588.0
7,computer_security,0,0,1,1.1182100772857666,0.421875,-1.1182100772857666,-1.5400850772857666,-2.0557100772857666,-2.0010225772857666,9.724980541999997,3661,445,0.12155148866429938,7056692.0
8,abstract_algebra,3,3,1,1.7296621799468994,0.140625,-2.1671621799468994,-2.1046621799468994,-1.8702871799468994,-1.7296621799468994,11.199920415999998,4817,703,0.14594145733859248,9164612.0
9,computer_security,2,2,1,0.3271263539791107,2.5859375,-3.3115012645721436,-3.0693137645721436,-0.3271263539791107,-2.9130637645721436,11.199920415999998,4498,698,0.15518008003557138,8515144.0
10,abstract_algebra,1,1,1,1.012894630432129,0.703125,-1.716019630432129,-1.012894630432129,-2.169144630432129,-2.294144630432129,11.199920415999998,3732,604,0.16184351554126475,7039568.0
11,abstract_algebra,2,2,1,1.6596333980560303,0.0234375,-2.2611958980560303,-1.9721333980560303,-1.6596333980560303,-1.6830708980560303,11.199920415999998,5110,1000,0.19569471624266144,9461720.0
12,abstract_algebra,2,3,0,1.5814050436019897,-0.125,-1.8548425436019897,-1.7064050436019897,-1.5814050436019897,-1.4564050436019897,11.199920415999998,6329,4332,0.6844683204297677,8551140.0
13,abstract_algebra,3,3,1,1.4826213121414185,0.390625,-2.349808692932129,-1.8732463121414185,-1.9904338121414185,-1.4826213121414185,11.199920415999998,4651,2198,0.4725865405289185,7293100.0
14,computer_security,2,2,1,1.2474923133850098,0.234375,-2.1146798133850098,-1.5287423133850098,-1.2474923133850098,-1.4818673133850098,11.199920415999998,7691,6983,0.9079443505395918,8631340.0
15,computer_security,1,1,1,0.7461787462234497,1.03125,-1.7774287462234497,-0.7461787462234497,-1.9649287462234497,-2.41805362701416,11.199920415999998,6729,5595,0.8314757021845742,8078628.0
