request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,computer_security,1,1,1,1.1688625812530518,0.2265625,-2.3485500812530518,-1.1688625812530518,-1.3954250812530518,-1.4891750812530518,18.911638832999984,6701,6327,0.9441874347112371,7271604.0
1,abstract_algebra,2,3,0,1.458203673362732,-0.4609375,-2.3722662925720215,-2.6144537925720215,-1.458203673362732,-0.9972661733627319,18.911638832999984,5338,5023,0.9409891345073061,5810024.0
2,abstract_algebra,2,2,1,1.8348660469055176,0.0859375,-1.9676785469055176,-1.9208035469055176,-1.8348660469055176,-2.0379910469055176,18.911638832999984,6316,5975,0.9460101329955668,6842032.0
3,computer_security,1,1,1,0.187892884016037,2.8515625,-3.0394554138183594,-0.187892884016037,-4.133205413818359,-4.062892913818359,18.911638832999984,3264,3063,0.9384191176470589,3561216.0
4,computer_security,2,2,1,1.0292731523513794,1.0546873807907104,-2.49021053314209,-2.11521053314209,-1.0292731523513794,-2.08396053314209,18.911638832999984,4711,3779,0.8021651454043728,5797276.0
5,abstract_algebra,0,3,0,1.9948477745056152,-0.546875,-1.9948477745056152,-1.8620352745056152,-1.8385977745056152,-1.4479727745056152,18.911638832999984,4673,3680,0.7875026749411513,5820676.0
6,computer_security,2,2,1,0.5736299157142639,1.203125,-2.854879856109619,-1.7767548561096191,-0.5736299157142639,-2.487692356109619,18.911638832999984,4791,3811,0.7954498017115424,5928668.0
7,computer_security,0,0,1,1.0322132110595703,0.4140625,-1.0322132110595703,-1.4462757110595703,-2.1259632110595703,-2.1650257110595703,18.911638832999984,3648,0,0.0,7485696.0
8,abstract_algebra,3,3,1,1.4388411045074463,0.2734375,-1.9154036045074463,-1.7122786045074463,-1.8763411045074463,-1.4388411045074463,21.766963041999986,4810,4810,1.0,4944680.0
9,computer_security,2,2,1,0.3556423783302307,2.2421875,-2.925954818725586,-2.597829818725586,-0.3556423783302307,-3.082204818725586,21.766963041999986,4513,4513,1.0,4639364.0
10,abstract_algebra,1,1,1,0.9631160497665405,0.9296875,-2.01780366897583,-0.9631160497665405,-1.8928035497665405,-2.29124116897583,21.766963041999986,3734,3734,1.0,3838552.0
11,abstract_algebra,2,3,0,1.7603105306625366,-0.203125,-2.096248149871826,-1.9321855306625366,-1.7603105306625366,-1.5571855306625366,21.766963041999986,5084,5084,1.0,5226352.0
12,abstract_algebra,2,3,0,1.7824763059616089,-0.3359375,-2.4699764251708984,-1.4934138059616089,-1.7824763059616089,-1.4465388059616089,21.766963041999986,6343,5699,0.898470755163172,7180060.0
13,abstract_algebra,3,3,1,1.3240536451339722,0.34375,-1.6678036451339722,-2.0662412643432617,-1.8631161451339722,-1.3240536451339722,21.766963041999986,4831,3916,0.8105982198302629,5903228.0
14,computer_security,2,2,1,1.278420090675354,0.296875,-1.989357590675354,-1.669045090675354,-1.278420090675354,-1.575295090675354,21.766963041999986,7443,7198,0.9670831653902996,7902284.0
15,computer_security,1,1,1,0.8616650700569153,0.8828124403953552,-1.7444775104522705,-0.8616650700569153,-1.8772900104522705,-1.9085400104522705,21.766963041999986,6720,4861,0.7233630952380953,8811776.0
