global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,causal_no_hysteresis,20,0,,2294,0,0.0,4707288.0,4707288.0,2526012.0,2526012.0,101.04048,0,0.0,0.0,0.0,101.04048,545.0,1231.0
1,0,1,causal_no_hysteresis,20,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2224,1979,0.8898381294964028,2537152.0,4563648.0,2474712.0,1239768.0,98.98848,68,51.5012788772583,3502.0869636535645,51.5012788772583,101.0919988772583,705.0,1206.0
2,0,2,causal_no_hysteresis,20,10,4:0;5:0;5:1;5:2;5:3;6:0;7:0;7:1;7:2;7:3,2550,1968,0.7717647058823529,3217368.0,5232600.0,2889216.0,1447424.0,115.56864,66,51.5012788772583,3399.084405899048,51.5012788772583,109.39823887725831,850.0,1408.0
3,0,3,causal_no_hysteresis,20,13,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;7:0;7:1;7:2;7:3,3027,2682,0.8860257680872151,3465036.0,6211404.0,3621780.0,1814420.0,144.8712,91,51.5012788772583,4686.616377830505,51.5012788772583,124.0780788772583,927.0,1765.0
4,0,4,causal_no_hysteresis,20,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2464,2219,0.9005681818181818,2783872.0,5056128.0,2663496.0,1334344.0,106.53984,76,51.5012788772583,3914.097194671631,51.5012788772583,104.8750388772583,634.0,1298.0
5,0,5,causal_no_hysteresis,20,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2164,1919,0.8867837338262476,2475472.0,4440528.0,2345436.0,1175004.0,93.81744,68,51.5012788772583,3502.0869636535645,51.5012788772583,98.5014388772583,661.0,1143.0
6,0,6,causal_no_hysteresis,20,13,4:0;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2648,2232,0.8429003021148036,3148128.0,5433696.0,3002076.0,1503964.0,120.08304,76,51.5012788772583,3914.097194671631,51.5012788772583,111.6598388772583,771.0,1463.0
7,0,7,causal_no_hysteresis,20,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2243,2003,0.8930004458314758,2551564.0,4602636.0,2365956.0,1185284.0,94.63824,72,51.5012788772583,3708.0920791625977,51.5012788772583,98.9126388772583,861.0,1153.0
8,0,8,causal_no_hysteresis,20,13,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;7:0;7:1;7:2;7:3,2497,2014,0.8065678814577493,3061508.0,5123844.0,2839968.0,1422752.0,113.59872,70,51.5012788772583,3605.089521408081,51.5012788772583,108.4113588772583,759.0,1384.0
9,0,9,causal_no_hysteresis,20,13,4:0;4:1;4:2;4:3;5:0;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2602,2154,0.8278247501921598,3133608.0,5339304.0,2936412.0,1471068.0,117.45648,71,51.5012788772583,3656.5908002853394,51.5012788772583,110.3439988772583,824.0,1431.0
