global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,controller,32,0,,2434,0,0.0,4994568.0,4994568.0,822852.0,822852.0,32.91408,0,0.0,0.0,0.0,32.91408,401.0,374.0
1,0,1,controller,32,0,,2462,0,0.0,5052024.0,5052024.0,913140.0,913140.0,36.5256,0,0.0,0.0,0.0,36.5256,445.0,403.0
2,0,2,controller,32,0,,2535,0,0.0,5201820.0,5201820.0,1163484.0,1163484.0,46.53936,0,0.0,0.0,0.0,46.53936,567.0,439.0
3,0,3,controller,32,7,4:0;5:0;5:1;5:2;5:3;6:0;7:0,2602,854,0.32820906994619525,4464808.0,5339304.0,1198368.0,948416.0,47.93472,31,51.5012788772583,1596.5396451950073,51.5012788772583,89.4379188772583,560.0,584.0
4,0,4,controller,32,14,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:2;7:0;7:1;7:2;7:3,2415,1192,0.49358178053830226,3734972.0,4955580.0,927504.0,927504.0,37.10016,46,51.5012788772583,2369.058828353882,51.5012788772583,88.6014388772583,452.0,417.0
5,0,5,controller,32,14,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:2;7:0;7:1;7:2;7:3,2412,981,0.40671641791044777,3944880.0,4949424.0,777708.0,761292.0,31.10832,39,51.5012788772583,2008.5498762130737,51.5012788772583,81.9529588772583,379.0,359.0
6,0,6,controller,32,14,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:2;7:0;7:1;7:2;7:3,2494,1328,0.5324779470729751,3757816.0,5117688.0,1028052.0,843372.0,41.12208,49,51.5012788772583,2523.5626649856567,51.5012788772583,85.2361588772583,501.0,463.0
7,0,7,controller,32,18,2:4;2:5;2:6;2:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:2;7:0;7:1;7:2;7:3,2327,1405,0.603781693167168,3336284.0,4775004.0,1032156.0,744876.0,41.28624,52,51.5012788772583,2678.0665016174316,51.5012788772583,81.2963188772583,503.0,344.0
8,0,8,controller,32,18,2:4;2:5;2:6;2:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:2;7:0;7:1;7:2;7:3,2474,1516,0.6127728375101051,3524264.0,5076648.0,987012.0,674692.0,39.48048,55,51.5012788772583,2832.5703382492065,51.5012788772583,78.4889588772583,481.0,447.0
9,0,9,controller,32,20,2:4;2:5;2:6;2:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2486,1641,0.6600965406275141,3420888.0,5101272.0,962388.0,722304.0,38.49552,60,51.5012788772583,3090.076732635498,51.5012788772583,80.3934388772583,469.0,455.0
