global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,controller,20,0,,2294,0,0.0,4707288.0,4707288.0,2526012.0,2526012.0,101.04048,0,0.0,0.0,0.0,101.04048,545.0,1231.0
1,0,1,controller,20,4,4:0;5:0;6:0;7:0,2224,1206,0.5422661870503597,3328704.0,4563648.0,2474712.0,1239768.0,98.98848,39,51.5012788772583,2008.5498762130737,51.5012788772583,101.0919988772583,705.0,1206.0
2,0,2,controller,20,10,4:0;5:0;5:1;5:2;5:3;6:0;7:0;7:1;7:2;7:3,2549,1971,0.7732444095723813,3212244.0,5230548.0,2889216.0,1447424.0,115.56864,66,51.5012788772583,3399.084405899048,51.5012788772583,109.39823887725831,855.0,1408.0
3,0,3,controller,20,13,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;7:0;7:1;7:2;7:3,3031,2683,0.885186407126361,3472220.0,6219612.0,3621780.0,1814420.0,144.8712,90,51.5012788772583,4635.115098953247,51.5012788772583,124.0780788772583,928.0,1765.0
4,0,4,controller,20,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2462,2217,0.9004874086108855,2781816.0,5052024.0,2663496.0,1334344.0,106.53984,75,51.5012788772583,3862.5959157943726,51.5012788772583,104.8750388772583,637.0,1298.0
5,0,5,controller,20,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2159,1914,0.8865215377489578,2470332.0,4430268.0,2345436.0,1175004.0,93.81744,68,51.5012788772583,3502.0869636535645,51.5012788772583,98.5014388772583,655.0,1143.0
6,0,6,controller,20,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2658,2449,0.9213694507148231,2946440.0,5454216.0,3002076.0,1503964.0,120.08304,84,51.5012788772583,4326.107425689697,51.5012788772583,111.6598388772583,776.0,1463.0
7,0,7,controller,20,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2240,2000,0.8928571428571429,2548480.0,4596480.0,2365956.0,1185284.0,94.63824,72,51.5012788772583,3708.0920791625977,51.5012788772583,98.9126388772583,863.0,1153.0
8,0,8,controller,20,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2496,2290,0.9174679487179487,2776832.0,5121792.0,2839968.0,1422752.0,113.59872,79,51.5012788772583,4068.6010313034058,51.5012788772583,108.4113588772583,759.0,1384.0
9,0,9,controller,20,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2589,2368,0.9146388567014291,2887796.0,5312628.0,2936412.0,1471068.0,117.45648,80,51.5012788772583,4120.102310180664,51.5012788772583,110.3439988772583,819.0,1431.0
10,0,10,controller,20,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2555,2330,0.9119373776908023,2856940.0,5242860.0,2952828.0,1479292.0,118.11312,81,51.5012788772583,4171.603589057922,51.5012788772583,110.67295887725831,759.0,1439.0
11,0,11,controller,20,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2471,2256,0.9129906920275193,2760348.0,5070492.0,2770200.0,1387800.0,110.808,81,51.5012788772583,4171.603589057922,51.5012788772583,107.0132788772583,761.0,1350.0
12,0,12,controller,20,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2783,2572,0.9241825368307581,3076988.0,5710716.0,3293460.0,1649940.0,131.7384,86,51.5012788772583,4429.109983444214,51.5012788772583,117.4988788772583,824.0,1605.0
13,0,13,controller,20,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2169,1910,0.8805901337021669,2494948.0,4450788.0,2294136.0,1149304.0,91.76544,67,51.5012788772583,3450.585684776306,51.5012788772583,97.4734388772583,602.0,1118.0
