model,origin_mode,saving_basis,harm_basis,lambda_low,lambda_high,winners,fine_online_wins,coarse_only
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.0,inf,uniform_full,False,True
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.0,inf,uniform_full,False,True
olmoe,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
olmoe,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.0,inf,uniform_full,False,True
olmoe,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,0.0,inf,uniform_full,False,True
olmoe,balanced,simulated_saving_optimistic_codec,mean_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
olmoe,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
olmoe,balanced,simulated_saving_serialized_tiles_codec,incremental_accuracy_harm,0.0,inf,uniform_full,False,True
olmoe,balanced,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_accuracy_harm,0.0,inf,uniform_full,False,True
olmoe,balanced,simulated_saving_serialized_tiles_codec,mean_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
olmoe,balanced,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.0,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.0,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.0,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,0.0,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_optimistic_codec,mean_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_serialized_tiles_codec,incremental_accuracy_harm,0.0,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_accuracy_harm,0.0,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_serialized_tiles_codec,mean_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
