global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,uniform_full,32,0,,2434,0,0.0,4994568.0,4994568.0,822852.0,822852.0,32.91408,0,0.0,0.0,0.0,32.91408,401.0,374.0
1,0,1,uniform_full,32,0,,2462,0,0.0,5052024.0,5052024.0,913140.0,913140.0,36.5256,0,0.0,0.0,0.0,36.5256,445.0,403.0
2,0,2,uniform_full,32,0,,2535,0,0.0,5201820.0,5201820.0,1163484.0,1163484.0,46.53936,0,0.0,0.0,0.0,46.53936,567.0,439.0
3,0,3,uniform_full,32,0,,2602,0,0.0,5339304.0,5339304.0,1198368.0,1198368.0,47.93472,0,0.0,0.0,0.0,47.93472,560.0,584.0
4,0,4,uniform_full,32,0,,2421,0,0.0,4967892.0,4967892.0,927504.0,927504.0,37.10016,0,0.0,0.0,0.0,37.10016,452.0,420.0
5,0,5,uniform_full,32,0,,2413,0,0.0,4951476.0,4951476.0,771552.0,771552.0,30.86208,0,0.0,0.0,0.0,30.86208,376.0,362.0
6,0,6,uniform_full,32,0,,2489,0,0.0,5107428.0,5107428.0,1023948.0,1023948.0,40.95792,0,0.0,0.0,0.0,40.95792,499.0,455.0
7,0,7,uniform_full,32,0,,2331,0,0.0,4783212.0,4783212.0,1040364.0,1040364.0,41.61456,0,0.0,0.0,0.0,41.61456,507.0,343.0
8,0,8,uniform_full,32,0,,2471,0,0.0,5070492.0,5070492.0,984960.0,984960.0,39.3984,0,0.0,0.0,0.0,39.3984,480.0,448.0
9,0,9,uniform_full,32,0,,2480,0,0.0,5088960.0,5088960.0,943920.0,943920.0,37.7568,0,0.0,0.0,0.0,37.7568,460.0,447.0
10,0,10,uniform_full,32,0,,2556,0,0.0,5244912.0,5244912.0,1019844.0,1019844.0,40.79376,0,0.0,0.0,0.0,40.79376,497.0,470.0
11,0,11,uniform_full,32,0,,2454,0,0.0,5035608.0,5035608.0,960336.0,960336.0,38.41344,0,0.0,0.0,0.0,38.41344,468.0,417.0
12,0,12,uniform_full,32,0,,2641,0,0.0,5419332.0,5419332.0,1013688.0,1013688.0,40.54752,0,0.0,0.0,0.0,40.54752,494.0,484.0
13,0,13,uniform_full,32,0,,2360,0,0.0,4842720.0,4842720.0,1093716.0,1093716.0,43.74864,0,0.0,0.0,0.0,43.74864,533.0,363.0
14,0,14,uniform_full,32,0,,2557,0,0.0,5246964.0,5246964.0,1030104.0,1030104.0,41.20416,0,0.0,0.0,0.0,41.20416,502.0,448.0
15,0,15,uniform_full,32,0,,2483,0,0.0,5095116.0,5095116.0,894672.0,894672.0,35.78688,0,0.0,0.0,0.0,35.78688,436.0,379.0
16,1,0,uniform_full,32,0,,2785,0,0.0,5714820.0,5714820.0,1432296.0,1432296.0,57.29184,0,0.0,0.0,0.0,57.29184,698.0,512.0
17,1,1,uniform_full,32,0,,2797,0,0.0,5739444.0,5739444.0,1264032.0,1264032.0,50.56128,0,0.0,0.0,0.0,50.56128,616.0,507.0
18,1,2,uniform_full,32,0,,2669,0,0.0,5476788.0,5476788.0,1009584.0,1009584.0,40.38336,0,0.0,0.0,0.0,40.38336,456.0,492.0
19,1,3,uniform_full,32,0,,2548,0,0.0,5228496.0,5228496.0,1032156.0,1032156.0,41.28624,0,0.0,0.0,0.0,41.28624,503.0,385.0
20,1,4,uniform_full,32,0,,2746,0,0.0,5634792.0,5634792.0,1672380.0,1672380.0,66.8952,0,0.0,0.0,0.0,66.8952,815.0,472.0
21,1,5,uniform_full,32,0,,2865,0,0.0,5878980.0,5878980.0,1206576.0,1206576.0,48.26304,0,0.0,0.0,0.0,48.26304,588.0,564.0
22,1,6,uniform_full,32,0,,2664,0,0.0,5466528.0,5466528.0,1056780.0,1056780.0,42.2712,0,0.0,0.0,0.0,42.2712,515.0,419.0
23,1,7,uniform_full,32,0,,2753,0,0.0,5649156.0,5649156.0,1101924.0,1101924.0,44.07696,0,0.0,0.0,0.0,44.07696,537.0,485.0
24,1,8,uniform_full,32,0,,2708,0,0.0,5556816.0,5556816.0,972648.0,972648.0,38.90592,0,0.0,0.0,0.0,38.90592,412.0,474.0
25,1,9,uniform_full,32,0,,2693,0,0.0,5526036.0,5526036.0,1284552.0,1284552.0,51.38208,0,0.0,0.0,0.0,51.38208,626.0,466.0
26,1,10,uniform_full,32,0,,2676,0,0.0,5491152.0,5491152.0,1050624.0,1050624.0,42.02496,0,0.0,0.0,0.0,42.02496,512.0,463.0
27,1,11,uniform_full,32,0,,2689,0,0.0,5517828.0,5517828.0,896724.0,896724.0,35.86896,0,0.0,0.0,0.0,35.86896,414.0,437.0
28,1,12,uniform_full,32,0,,2633,0,0.0,5402916.0,5402916.0,921348.0,921348.0,36.85392,0,0.0,0.0,0.0,36.85392,417.0,449.0
29,1,13,uniform_full,32,0,,2818,0,0.0,5782536.0,5782536.0,1594404.0,1594404.0,63.77616,0,0.0,0.0,0.0,63.77616,777.0,518.0
30,1,14,uniform_full,32,0,,2721,0,0.0,5583492.0,5583492.0,1081404.0,1081404.0,43.25616,0,0.0,0.0,0.0,43.25616,527.0,503.0
31,1,15,uniform_full,32,0,,2781,0,0.0,5706612.0,5706612.0,1101924.0,1101924.0,44.07696,0,0.0,0.0,0.0,44.07696,537.0,530.0
