request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,computer_security,1,1,1,1.2707880735397339,0.015625,-1.9973505735397339,-1.2707880735397339,-1.2864130735397339,-1.5989130735397339,16.367693374999988,6704,0,0.0,13756608.0
1,abstract_algebra,2,3,0,1.7447052001953125,-0.7812499403953552,-1.9243927001953125,-2.4087677001953125,-1.7447052001953125,-0.9634552597999573,16.367693374999988,5331,0,0.0,10939212.0
2,abstract_algebra,2,3,0,1.8900763988494873,-0.046875,-1.9838263988494873,-2.0150763988494873,-1.8900763988494873,-1.8432013988494873,16.367693374999988,6301,0,0.0,12929652.0
3,computer_security,1,1,1,0.4013724625110626,2.2890625,-2.6904349327087402,-0.4013724625110626,-3.4248099327087402,-3.1669974327087402,16.367693374999988,3264,0,0.0,6697728.0
4,computer_security,2,2,1,0.9938768744468689,1.078125,-2.5485644340515137,-2.3063769340515137,-0.9938768744468689,-2.0720019340515137,16.367693374999988,4685,0,0.0,9613620.0
5,abstract_algebra,0,3,0,1.7790672779083252,-0.2890625,-1.7790672779083252,-1.8259422779083252,-2.115004777908325,-1.4900047779083252,16.367693374999988,4654,0,0.0,9550008.0
6,computer_security,2,2,1,0.6812604069709778,0.8984374403953552,-2.751572847366333,-1.579697847366333,-0.6812604069709778,-2.282822847366333,16.367693374999988,4781,0,0.0,9810612.0
7,computer_security,0,0,1,1.0322132110595703,0.4140625,-1.0322132110595703,-1.4462757110595703,-2.1259632110595703,-2.1650257110595703,16.367693374999988,3648,0,0.0,7485696.0
8,abstract_algebra,3,3,1,1.7452828884124756,0.1015625,-2.1905953884124756,-2.1515328884124756,-1.8468453884124756,-1.7452828884124756,17.945213832999997,4823,0,0.0,9896796.0
9,computer_security,2,2,1,0.303458571434021,2.5703125,-3.5456461906433105,-2.9987711906433105,-0.303458571434021,-2.8737711906433105,17.945213832999997,4496,0,0.0,9225792.0
10,abstract_algebra,1,1,1,1.0699081420898438,0.6328125,-1.7027206420898438,-1.0699081420898438,-2.1011581420898438,-2.2730331420898438,17.945213832999997,3731,0,0.0,7656012.0
11,abstract_algebra,2,3,0,1.7382842302322388,-0.109375,-2.339846611022949,-1.9023467302322388,-1.7382842302322388,-1.6289092302322388,17.945213832999997,5100,0,0.0,10465200.0
12,abstract_algebra,2,3,0,1.5700010061264038,-0.0859375,-2.1637511253356934,-1.8981260061264038,-1.5700010061264038,-1.4840635061264038,17.945213832999997,6326,0,0.0,12980952.0
13,abstract_algebra,3,3,1,1.711425542831421,0.1953125,-2.258300542831421,-2.016113042831421,-1.906738042831421,-1.711425542831421,17.945213832999997,4812,0,0.0,9874224.0
14,computer_security,2,2,1,1.228198528289795,0.4375,-1.954761028289795,-1.759448528289795,-1.228198528289795,-1.665698528289795,17.945213832999997,7441,0,0.0,15268932.0
15,computer_security,1,1,1,0.8547751903533936,1.2421875,-2.4094626903533936,-0.8547751903533936,-2.2844626903533936,-2.0969626903533936,17.945213832999997,6740,0,0.0,13830480.0
