global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,uniform_full,20,0,,2294,0,0.0,4707288.0,4707288.0,2526012.0,2526012.0,101.04048,0,0.0,0.0,0.0,101.04048,545.0,1231.0
1,0,1,uniform_full,20,0,,2224,0,0.0,4563648.0,4563648.0,2474712.0,2474712.0,98.98848,0,0.0,0.0,0.0,98.98848,705.0,1206.0
2,0,2,uniform_full,20,0,,2549,0,0.0,5230548.0,5230548.0,2889216.0,2889216.0,115.56864,0,0.0,0.0,0.0,115.56864,860.0,1408.0
3,0,3,uniform_full,20,0,,3021,0,0.0,6199092.0,6199092.0,3613572.0,3613572.0,144.54288,0,0.0,0.0,0.0,144.54288,928.0,1761.0
4,0,4,uniform_full,20,0,,2456,0,0.0,5039712.0,5039712.0,2669652.0,2669652.0,106.78608,0,0.0,0.0,0.0,106.78608,644.0,1301.0
5,0,5,uniform_full,20,0,,2155,0,0.0,4422060.0,4422060.0,2351592.0,2351592.0,94.06368,0,0.0,0.0,0.0,94.06368,631.0,1146.0
6,0,6,uniform_full,20,0,,2646,0,0.0,5429592.0,5429592.0,3006180.0,3006180.0,120.2472,0,0.0,0.0,0.0,120.2472,777.0,1465.0
7,0,7,uniform_full,20,0,,2235,0,0.0,4586220.0,4586220.0,2355696.0,2355696.0,94.22784,0,0.0,0.0,0.0,94.22784,858.0,1148.0
8,0,8,uniform_full,20,0,,2490,0,0.0,5109480.0,5109480.0,2835864.0,2835864.0,113.43456,0,0.0,0.0,0.0,113.43456,757.0,1382.0
9,0,9,uniform_full,20,0,,2586,0,0.0,5306472.0,5306472.0,2911788.0,2911788.0,116.47152,0,0.0,0.0,0.0,116.47152,812.0,1419.0
10,0,10,uniform_full,20,0,,2542,0,0.0,5216184.0,5216184.0,2940516.0,2940516.0,117.62064,0,0.0,0.0,0.0,117.62064,759.0,1433.0
11,0,11,uniform_full,20,0,,2488,0,0.0,5105376.0,5105376.0,2798928.0,2798928.0,111.95712,0,0.0,0.0,0.0,111.95712,765.0,1364.0
12,0,12,uniform_full,20,0,,2777,0,0.0,5698404.0,5698404.0,3293460.0,3293460.0,131.7384,0,0.0,0.0,0.0,131.7384,822.0,1605.0
13,0,13,uniform_full,20,0,,2160,0,0.0,4432320.0,4432320.0,2277720.0,2277720.0,91.1088,0,0.0,0.0,0.0,91.1088,603.0,1110.0
14,0,14,uniform_full,20,0,,2571,0,0.0,5275692.0,5275692.0,2961036.0,2961036.0,118.44144,0,0.0,0.0,0.0,118.44144,789.0,1443.0
15,0,15,uniform_full,20,0,,2174,0,0.0,4461048.0,4461048.0,2417256.0,2417256.0,96.69024,0,0.0,0.0,0.0,96.69024,638.0,1178.0
16,1,0,uniform_full,20,0,,2557,0,0.0,5246964.0,5246964.0,2140236.0,2140236.0,85.60944,0,0.0,0.0,0.0,85.60944,588.0,1043.0
17,1,1,uniform_full,20,0,,2454,0,0.0,5035608.0,5035608.0,2080728.0,2080728.0,83.22912,0,0.0,0.0,0.0,83.22912,752.0,1014.0
18,1,2,uniform_full,20,0,,2789,0,0.0,5723028.0,5723028.0,2365956.0,2365956.0,94.63824,0,0.0,0.0,0.0,94.63824,856.0,1153.0
19,1,3,uniform_full,20,0,,3085,0,0.0,6330420.0,6330420.0,2842020.0,2842020.0,113.6808,0,0.0,0.0,0.0,113.6808,944.0,1385.0
20,1,4,uniform_full,20,0,,2622,0,0.0,5380344.0,5380344.0,2238732.0,2238732.0,89.54928,0,0.0,0.0,0.0,89.54928,719.0,1091.0
21,1,5,uniform_full,20,0,,2493,0,0.0,5115636.0,5115636.0,2052000.0,2052000.0,82.08,0,0.0,0.0,0.0,82.08,672.0,1000.0
22,1,6,uniform_full,20,0,,2914,0,0.0,5979528.0,5979528.0,2546532.0,2546532.0,101.86128,0,0.0,0.0,0.0,101.86128,916.0,1241.0
23,1,7,uniform_full,20,0,,2564,0,0.0,5261328.0,5261328.0,2140236.0,2140236.0,85.60944,0,0.0,0.0,0.0,85.60944,964.0,1043.0
24,1,8,uniform_full,20,0,,2795,0,0.0,5735340.0,5735340.0,2374164.0,2374164.0,94.96656,0,0.0,0.0,0.0,94.96656,758.0,1157.0
25,1,9,uniform_full,20,0,,2736,0,0.0,5614272.0,5614272.0,2324916.0,2324916.0,92.99664,0,0.0,0.0,0.0,92.99664,779.0,1133.0
26,1,10,uniform_full,20,0,,2767,0,0.0,5677884.0,5677884.0,2378268.0,2378268.0,95.13072,0,0.0,0.0,0.0,95.13072,781.0,1159.0
27,1,11,uniform_full,20,0,,2742,0,0.0,5626584.0,5626584.0,2349540.0,2349540.0,93.9816,0,0.0,0.0,0.0,93.9816,800.0,1145.0
28,1,12,uniform_full,20,0,,3002,0,0.0,6160104.0,6160104.0,2729160.0,2729160.0,109.1664,0,0.0,0.0,0.0,109.1664,816.0,1330.0
29,1,13,uniform_full,20,0,,2576,0,0.0,5285952.0,5285952.0,2113560.0,2113560.0,84.5424,0,0.0,0.0,0.0,84.5424,655.0,1030.0
30,1,14,uniform_full,20,0,,2826,0,0.0,5798952.0,5798952.0,2450088.0,2450088.0,98.00352,0,0.0,0.0,0.0,98.00352,766.0,1194.0
31,1,15,uniform_full,20,0,,2547,0,0.0,5226444.0,5226444.0,2117664.0,2117664.0,84.70656,0,0.0,0.0,0.0,84.70656,733.0,1032.0
