global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2434,2434,1.0,2502152.0,4994568.0,822852.0,412228.0,32.91408,87,51.5012788772583,4480.611262321472,51.5012788772583,67.9903988772583,401.0,374.0
1,0,1,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2500,2500,1.0,2570000.0,5130000.0,933660.0,467740.0,37.3464,93,51.5012788772583,4789.618935585022,51.5012788772583,70.2108788772583,455.0,410.0
2,0,2,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2571,2571,1.0,2642988.0,5275692.0,1155276.0,578764.0,46.21104,97,51.5012788772583,4995.624051094055,51.5012788772583,74.6518388772583,563.0,439.0
3,0,3,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2658,2658,1.0,2732424.0,5454216.0,1196316.0,599324.0,47.85264,99,51.5012788772583,5098.626608848572,51.5012788772583,75.4742388772583,556.0,583.0
4,0,4,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2401,2401,1.0,2468228.0,4926852.0,958284.0,480076.0,38.33136,91,51.5012788772583,4686.616377830505,51.5012788772583,70.7043188772583,467.0,417.0
5,0,5,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2355,2355,1.0,2420940.0,4832460.0,800280.0,400920.0,32.0112,88,51.5012788772583,4532.1125411987305,51.5012788772583,67.5380788772583,390.0,359.0
6,0,6,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2478,2478,1.0,2547384.0,5084856.0,1030104.0,516056.0,41.20416,92,51.5012788772583,4738.117656707764,51.5012788772583,72.1435188772583,502.0,459.0
7,0,7,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2342,2342,1.0,2407576.0,4805784.0,1034208.0,518112.0,41.36832,89,51.5012788772583,4583.613820075989,51.5012788772583,72.2257588772583,504.0,351.0
8,0,8,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2483,2483,1.0,2552524.0,5095116.0,984960.0,493440.0,39.3984,90,51.5012788772583,4635.115098953247,51.5012788772583,71.2388788772583,480.0,449.0
9,0,9,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2502,2502,1.0,2572056.0,5134104.0,954180.0,478020.0,38.1672,95,51.5012788772583,4892.621493339539,51.5012788772583,70.6220788772583,465.0,449.0
