request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,computer_security,1,2,0,1.325616478919983,-0.1875,-2.3334288597106934,-1.325616478919983,-1.138116478919983,-1.497491478919983,17.132811832999977,6709,6709,1.0,6896852.0
1,abstract_algebra,2,3,0,1.5775036811828613,-0.234375,-1.8275036811828613,-2.2571911811828613,-1.5775036811828613,-1.3431286811828613,17.132811832999977,5333,5333,1.0,5482324.0
2,abstract_algebra,2,3,0,2.084710121154785,-0.328125,-1.8347101211547852,-2.069085121154785,-2.084710121154785,-1.7565851211547852,17.132811832999977,6311,6311,1.0,6487708.0
3,computer_security,1,1,1,0.2603377401828766,2.8984375,-3.1587753295898438,-0.2603377401828766,-3.8150253295898438,-3.8853378295898438,17.132811832999977,3265,3265,1.0,3356420.0
4,computer_security,2,2,1,1.1268391609191895,0.75,-2.1659016609191895,-1.8768391609191895,-1.1268391609191895,-2.2284016609191895,17.132811832999977,4685,4685,1.0,4816180.0
5,abstract_algebra,0,3,0,1.7000770568847656,-0.2578125,-1.7000770568847656,-1.5282020568847656,-1.6922645568847656,-1.4422645568847656,17.132811832999977,4674,4674,1.0,4804872.0
6,computer_security,2,2,1,0.7312701940536499,0.7578125,-2.8875203132629395,-1.48908269405365,-0.7312701940536499,-2.2703328132629395,17.132811832999977,4795,4795,1.0,4929260.0
7,computer_security,0,1,0,1.5248090028762817,-0.0546875,-1.5248090028762817,-1.4701215028762817,-1.6029340028762817,-1.8998090028762817,17.132811832999977,3661,3661,1.0,3763508.0
8,abstract_algebra,3,3,1,1.4388411045074463,0.2734375,-1.9154036045074463,-1.7122786045074463,-1.8763411045074463,-1.4388411045074463,18.634215208,4810,4810,1.0,4944680.0
9,computer_security,2,2,1,0.3556423783302307,2.2421875,-2.925954818725586,-2.597829818725586,-0.3556423783302307,-3.082204818725586,18.634215208,4513,4513,1.0,4639364.0
10,abstract_algebra,1,1,1,0.9631160497665405,0.9296875,-2.01780366897583,-0.9631160497665405,-1.8928035497665405,-2.29124116897583,18.634215208,3734,3734,1.0,3838552.0
11,abstract_algebra,2,3,0,1.7603105306625366,-0.203125,-2.096248149871826,-1.9321855306625366,-1.7603105306625366,-1.5571855306625366,18.634215208,5084,5084,1.0,5226352.0
12,abstract_algebra,2,3,0,1.7448512315750122,-0.4140625,-2.4011011123657227,-1.8151637315750122,-1.7448512315750122,-1.3307887315750122,18.634215208,6349,6349,1.0,6526772.0
13,abstract_algebra,3,3,1,1.6704342365264893,0.078125,-2.1313717365264893,-1.8969967365264893,-1.7485592365264893,-1.6704342365264893,18.634215208,4816,4816,1.0,4950848.0
14,computer_security,2,2,1,1.117764949798584,0.6640625,-1.984952449798584,-1.781827449798584,-1.117764949798584,-1.906827449798584,18.634215208,7427,7427,1.0,7634956.0
15,computer_security,1,1,1,0.9495866298675537,0.7578125,-1.7073991298675537,-0.9495866298675537,-1.7230241298675537,-1.9964616298675537,18.634215208,6740,6740,1.0,6928720.0
