global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2294,2294,1.0,2358232.0,4707288.0,2526012.0,1265468.0,101.04048,80,51.5012788772583,4120.102310180664,51.5012788772583,102.1199988772583,545.0,1231.0
1,0,1,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2250,2250,1.0,2313000.0,4617000.0,2507544.0,1256216.0,100.30176,80,51.5012788772583,4120.102310180664,51.5012788772583,101.7499188772583,723.0,1222.0
2,0,2,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2554,2554,1.0,2625512.0,5240808.0,2887164.0,1446396.0,115.48656,89,51.5012788772583,4583.613820075989,51.5012788772583,109.3571188772583,845.0,1407.0
3,0,3,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,3015,3015,1.0,3099420.0,6186780.0,3603312.0,1805168.0,144.13248,104,51.5012788772583,5356.133003234863,51.5012788772583,123.7079988772583,919.0,1756.0
4,0,4,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2451,2451,1.0,2519628.0,5029452.0,2671704.0,1338456.0,106.86816,84,51.5012788772583,4326.107425689697,51.5012788772583,105.0395188772583,659.0,1302.0
5,0,5,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2163,2163,1.0,2223564.0,4438476.0,2355696.0,1180144.0,94.22784,78,51.5012788772583,4017.0997524261475,51.5012788772583,98.7070388772583,652.0,1148.0
6,0,6,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2660,2660,1.0,2734480.0,5458320.0,3039012.0,1522468.0,121.56048,94,51.5012788772583,4841.12021446228,51.5012788772583,112.3999988772583,779.0,1481.0
7,0,7,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2247,2247,1.0,2309916.0,4610844.0,2370060.0,1187340.0,94.8024,81,51.5012788772583,4171.603589057922,51.5012788772583,98.9948788772583,852.0,1155.0
8,0,8,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2507,2507,1.0,2577196.0,5144364.0,2837916.0,1421724.0,113.51664,86,51.5012788772583,4429.109983444214,51.5012788772583,108.3702388772583,750.0,1383.0
9,0,9,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2597,2597,1.0,2669716.0,5329044.0,2903580.0,1454620.0,116.1432,89,51.5012788772583,4583.613820075989,51.5012788772583,109.6860788772583,822.0,1415.0
10,0,10,uniform_low,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,2561,2561,1.0,2632708.0,5255172.0,2958984.0,1482376.0,118.35936,90,51.5012788772583,4635.115098953247,51.5012788772583,110.7963188772583,756.0,1442.0
