layer,receiver_group,rank,count,mean_share,median_share,p75_share,p90_share,full_bytes,policy_bytes,policy_byte_saving
0,0,1,1674,0.17026451230049133,0.13952520489692688,0.1822550743818283,0.26942679286003113,1714176.0,1714176.0,0.0
0,0,2,3074,0.11150401085615158,0.1060677170753479,0.1282421052455902,0.15538960695266724,3147776.0,3147776.0,0.0
0,0,3,3726,0.09332826733589172,0.08917546272277832,0.10670676082372665,0.1246921569108963,3815424.0,3815424.0,0.0
0,0,4,3305,0.07939515262842178,0.0763983204960823,0.08927995711565018,0.10518208146095276,3384320.0,3384320.0,0.0
0,0,5,3474,0.07315871864557266,0.07017533481121063,0.08223701268434525,0.09507313370704651,3557376.0,3557376.0,0.0
0,0,6,3961,0.06587617099285126,0.06358100473880768,0.0748463124036789,0.08629520237445831,4056064.0,4056064.0,0.0
0,0,7,4048,0.0606369711458683,0.05864157900214195,0.06818103790283203,0.07847966253757477,4145152.0,4145152.0,0.0
0,0,8,4086,0.05565400421619415,0.05397038161754608,0.06321130692958832,0.07274806499481201,4184064.0,4184064.0,0.0
0,0,9,4030,0.05112648010253906,0.04956957697868347,0.05773595720529556,0.06715795397758484,4126720.0,4126720.0,0.0
0,0,10,3861,0.047427352517843246,0.04658416286110878,0.054006628692150116,0.06210312247276306,3953664.0,3953664.0,0.0
0,0,11,3875,0.04417901858687401,0.04344476759433746,0.0506293959915638,0.05814768373966217,3968000.0,3968000.0,0.0
0,0,12,3643,0.041514620184898376,0.04073714837431908,0.04784516245126724,0.055712878704071045,3730432.0,3730432.0,0.0
0,0,13,3516,0.03892102092504501,0.03825945407152176,0.04534066468477249,0.05214992165565491,3600384.0,3600384.0,0.0
0,0,14,3438,0.036383114755153656,0.03596628084778786,0.04294968768954277,0.05005327984690666,3520512.0,3520512.0,0.0
0,0,15,3298,0.03498886525630951,0.03432462736964226,0.0411381796002388,0.047265492379665375,3377152.0,3377152.0,0.0
0,0,16,3129,0.03330550715327263,0.03258495405316353,0.0390813909471035,0.04554147645831108,3204096.0,3204096.0,0.0
0,1,1,7138,0.1455005407333374,0.13644205033779144,0.1692017912864685,0.20817428827285767,7309312.0,7309312.0,0.0
0,1,2,4947,0.11521295458078384,0.10320433974266052,0.134144127368927,0.17553657293319702,5065728.0,5065728.0,0.0
0,1,3,4206,0.0905272588133812,0.08535391092300415,0.10464192181825638,0.12792742252349854,4306944.0,4306944.0,0.0
0,1,4,4768,0.08027659356594086,0.07637719064950943,0.08993838727474213,0.10934773087501526,4882432.0,4882432.0,0.0
0,1,5,4083,0.06934899091720581,0.06721799075603485,0.07803928852081299,0.09073735028505325,4180992.0,4180992.0,0.0
0,1,6,3502,0.06424247473478317,0.061983827501535416,0.07184895873069763,0.08249486237764359,3586048.0,3586048.0,0.0
0,1,7,3362,0.05774913355708122,0.05661232769489288,0.06531223654747009,0.07515684515237808,3442688.0,3442688.0,0.0
0,1,8,3151,0.05466437339782715,0.053425807505846024,0.061038628220558167,0.06928262859582901,3226624.0,3226624.0,0.0
0,1,9,3199,0.05066399648785591,0.0494709387421608,0.05651261657476425,0.06488902866840363,3275776.0,3275776.0,0.0
0,1,10,3259,0.04716929420828819,0.0461900420486927,0.05314365401864052,0.06103089824318886,3337216.0,3337216.0,0.0
0,1,11,3366,0.044246163219213486,0.043314170092344284,0.050201330333948135,0.05807625874876976,3446784.0,3446784.0,0.0
0,1,12,3607,0.04016958177089691,0.039672330021858215,0.04651400446891785,0.05319969356060028,3693568.0,3693568.0,0.0
0,1,13,3353,0.03836364299058914,0.03768725320696831,0.04422563314437866,0.050415877252817154,3433472.0,3433472.0,0.0
0,1,14,3536,0.036140359938144684,0.03546759858727455,0.04185517504811287,0.04820683225989342,3620864.0,3620864.0,0.0
0,1,15,3655,0.03350676968693733,0.033515699207782745,0.039565470069646835,0.045855481177568436,3742720.0,3742720.0,0.0
0,1,16,3581,0.0321694053709507,0.03190871700644493,0.03760544955730438,0.043020810931921005,3666944.0,3666944.0,0.0
0,2,1,1488,0.1224324107170105,0.11797445267438889,0.1398298293352127,0.16990280151367188,1523712.0,1523712.0,0.0
0,2,2,1714,0.10088794678449631,0.09474688768386841,0.11586835235357285,0.13572914898395538,1755136.0,1755136.0,0.0
0,2,3,2275,0.0870736762881279,0.08204738795757294,0.09785382449626923,0.11696596443653107,2329600.0,2329600.0,0.0
0,2,4,2859,0.07849007844924927,0.07590463757514954,0.08995075523853302,0.10471522063016891,2927616.0,2927616.0,0.0
0,2,5,3578,0.07266820222139359,0.07020706683397293,0.08207819610834122,0.09499843418598175,3663872.0,3663872.0,0.0
0,2,6,3651,0.06501293927431107,0.06359244138002396,0.07286590337753296,0.08288291096687317,3738624.0,3738624.0,0.0
0,2,7,3729,0.05861693620681763,0.05735204368829727,0.06597332656383514,0.07476687431335449,3818496.0,3818496.0,0.0
0,2,8,3705,0.05316375568509102,0.05226963758468628,0.060583870857954025,0.06940045952796936,3793920.0,3793920.0,0.0
0,2,9,3554,0.05002659186720848,0.0486297570168972,0.05640783905982971,0.0646817609667778,3639296.0,3639296.0,0.0
0,2,10,3686,0.04616474360227585,0.045369263738393784,0.052847426384687424,0.06104736775159836,3774464.0,3774464.0,0.0
0,2,11,3382,0.043375346809625626,0.04242251068353653,0.04989146441221237,0.057193655520677567,3463168.0,3463168.0,0.0
0,2,12,3430,0.040696319192647934,0.03978000953793526,0.047230418771505356,0.054214321076869965,3512320.0,3512320.0,0.0
0,2,13,3640,0.03793272003531456,0.03729608654975891,0.04455774277448654,0.0518045537173748,3727360.0,3727360.0,0.0
0,2,14,3480,0.036533012986183167,0.03550470247864723,0.04205280914902687,0.04884506016969681,3563520.0,3563520.0,0.0
0,2,15,3385,0.03462952375411987,0.03355099633336067,0.040225476026535034,0.04678019881248474,3466240.0,3466240.0,0.0
0,2,16,3384,0.033236313611269,0.03258705511689186,0.03884615749120712,0.04474741220474243,3465216.0,3465216.0,0.0
0,3,1,3163,0.1413584202528,0.1307407170534134,0.1609847992658615,0.21188002824783325,3238912.0,3238912.0,0.0
0,3,2,3728,0.11122399568557739,0.10548430681228638,0.12661954760551453,0.15109111368656158,3817472.0,3817472.0,0.0
0,3,3,3256,0.09254266321659088,0.08859744668006897,0.10641585290431976,0.125135138630867,3334144.0,3334144.0,0.0
0,3,4,2531,0.07718111574649811,0.07485741376876831,0.08594231307506561,0.0986027717590332,2591744.0,2591744.0,0.0
0,3,5,2328,0.06893160194158554,0.06638675928115845,0.07730264961719513,0.08941017836332321,2383872.0,2383872.0,0.0
0,3,6,2349,0.06469859182834625,0.06268922239542007,0.07228318601846695,0.08216434717178345,2405376.0,2405376.0,0.0
0,3,7,2324,0.05897007882595062,0.05711642652750015,0.06583737581968307,0.07506472617387772,2379776.0,2379776.0,0.0
0,3,8,2521,0.05470199137926102,0.053250305354595184,0.061183661222457886,0.07032974064350128,2581504.0,2581504.0,0.0
0,3,9,2680,0.04967451095581055,0.04882580414414406,0.05670097842812538,0.06498825550079346,2744320.0,2744320.0,0.0
0,3,10,2657,0.046770092099905014,0.04565313085913658,0.05268068239092827,0.05965736135840416,2720768.0,2720768.0,0.0
0,3,11,2840,0.04288245365023613,0.04207942262291908,0.04913144186139107,0.056161727756261826,2908160.0,2908160.0,0.0
0,3,12,2783,0.04095064476132393,0.04039333760738373,0.04683028161525726,0.05329221114516258,2849792.0,2849792.0,0.0
0,3,13,2954,0.03819232061505318,0.037563350051641464,0.043952152132987976,0.0503668449819088,3024896.0,3024896.0,0.0
0,3,14,3009,0.03604842349886894,0.03532414138317108,0.0420110709965229,0.048423606902360916,3081216.0,3081216.0,0.0
0,3,15,3125,0.03410044312477112,0.03340236842632294,0.03950728476047516,0.04543760418891907,3200000.0,3200000.0,0.0
0,3,16,3369,0.03182096406817436,0.031113971024751663,0.03751552477478981,0.04352915659546852,3449856.0,3449856.0,0.0
1,0,1,2318,0.17698511481285095,0.16825813055038452,0.20038190484046936,0.2442476600408554,2373632.0,2373632.0,0.0
1,0,2,2772,0.12780480086803436,0.12375281006097794,0.14933493733406067,0.16890239715576172,2838528.0,2838528.0,0.0
1,0,3,3451,0.10206210613250732,0.09759614616632462,0.11703483760356903,0.14025281369686127,3533824.0,3533824.0,0.0
1,0,4,3670,0.08365889638662338,0.08160074800252914,0.09363250434398651,0.10730211436748505,3758080.0,3758080.0,0.0
1,0,5,3731,0.07179036736488342,0.07000675797462463,0.08056559413671494,0.09215369075536728,3820544.0,3820544.0,0.0
1,0,6,4020,0.06284596771001816,0.06157344579696655,0.07110833376646042,0.08132778108119965,4116480.0,4116480.0,0.0
1,0,7,4345,0.05536918714642525,0.054518721997737885,0.06314411759376526,0.07193350791931152,4449280.0,4449280.0,0.0
1,0,8,4489,0.04989885911345482,0.049246687442064285,0.056922778487205505,0.06465712934732437,4596736.0,4596736.0,0.0
1,0,9,4593,0.0448545478284359,0.0442848764359951,0.051444388926029205,0.05853968858718872,4703232.0,4703232.0,0.0
1,0,10,4621,0.040819719433784485,0.04031936079263687,0.046881020069122314,0.05380820482969284,4731904.0,4731904.0,0.0
1,0,11,4442,0.03735548257827759,0.03675415739417076,0.043355539441108704,0.04937447980046272,4548608.0,4548608.0,0.0
1,0,12,4388,0.03398032858967781,0.03356382995843887,0.039642710238695145,0.04508586972951889,4493312.0,4493312.0,0.0
1,0,13,4280,0.031588565558195114,0.031164299696683884,0.03685341030359268,0.042525921016931534,4382720.0,4382720.0,0.0
1,0,14,4144,0.029219700023531914,0.02878771722316742,0.034570563584566116,0.039536431431770325,4243456.0,4243456.0,0.0
1,0,15,4150,0.027115436270833015,0.026656916365027428,0.03213583678007126,0.03737102821469307,4249600.0,4249600.0,0.0
1,0,16,3827,0.02561919204890728,0.025205060839653015,0.030558068305253983,0.0353078693151474,3918848.0,3918848.0,0.0
1,1,1,5709,0.18255549669265747,0.16839811205863953,0.21457885205745697,0.26937830448150635,5846016.0,5846016.0,0.0
1,1,2,4836,0.12726540863513947,0.12064076960086823,0.14544154703617096,0.1744190752506256,4952064.0,4952064.0,0.0
1,1,3,3961,0.09820966422557831,0.09492338448762894,0.10952683538198471,0.12578228116035461,4056064.0,4056064.0,0.0
1,1,4,3696,0.0816441997885704,0.08006498962640762,0.09103216230869293,0.10256823152303696,3784704.0,3784704.0,0.0
1,1,5,3567,0.07008340954780579,0.06876140832901001,0.07794757187366486,0.08624619245529175,3652608.0,3652608.0,0.0
1,1,6,3312,0.06188435107469559,0.06126588210463524,0.06916555762290955,0.0768653005361557,3391488.0,3391488.0,0.0
1,1,7,3071,0.05576576292514801,0.055232323706150055,0.06221156567335129,0.06904744356870651,3144704.0,3144704.0,0.0
1,1,8,3117,0.0492575578391552,0.04895719885826111,0.05578390508890152,0.061450663954019547,3191808.0,3191808.0,0.0
1,1,9,3019,0.04515504837036133,0.04536237567663193,0.05136258155107498,0.056942351162433624,3091456.0,3091456.0,0.0
1,1,10,2888,0.04152864217758179,0.04153367504477501,0.04729766398668289,0.05277726799249649,2957312.0,2957312.0,0.0
1,1,11,2900,0.03796154260635376,0.03808103874325752,0.043446656316518784,0.048331934958696365,2969600.0,2969600.0,0.0
1,1,12,2976,0.03536523878574371,0.03538559004664421,0.040566280484199524,0.04536878317594528,3047424.0,3047424.0,0.0
1,1,13,3078,0.032199677079916,0.032316673547029495,0.037646591663360596,0.042097415775060654,3151872.0,3151872.0,0.0
1,1,14,3036,0.02996705286204815,0.029908960685133934,0.03498624637722969,0.03956449031829834,3108864.0,3108864.0,0.0
1,1,15,3086,0.028098952025175095,0.02805189974606037,0.032872579991817474,0.03720209002494812,3160064.0,3160064.0,0.0
1,1,16,3152,0.025971535593271255,0.02591751702129841,0.03057551383972168,0.03508739173412323,3227648.0,3227648.0,0.0
1,2,1,3282,0.17261429131031036,0.16413770616054535,0.1979971081018448,0.23968268930912018,3360768.0,3360768.0,0.0
1,2,2,3536,0.12522469460964203,0.1202469989657402,0.14364460110664368,0.1668243110179901,3620864.0,3620864.0,0.0
1,2,3,3209,0.10098476707935333,0.09824930876493454,0.11364053189754486,0.12999001145362854,3286016.0,3286016.0,0.0
1,2,4,3258,0.08524835109710693,0.08289818465709686,0.09575938433408737,0.10974732041358948,3336192.0,3336192.0,0.0
1,2,5,3136,0.07424549013376236,0.07195921242237091,0.0835522711277008,0.0950368344783783,3211264.0,3211264.0,0.0
1,2,6,3170,0.0651976615190506,0.06323947757482529,0.07330883294343948,0.08398162573575974,3246080.0,3246080.0,0.0
1,2,7,2917,0.05905609577894211,0.057425450533628464,0.0666486844420433,0.07680609822273254,2987008.0,2987008.0,0.0
1,2,8,2815,0.05347253009676933,0.05220275744795799,0.06062164157629013,0.06961847841739655,2882560.0,2882560.0,0.0
1,2,9,2801,0.04862767457962036,0.0475253164768219,0.05526381731033325,0.06390758603811264,2868224.0,2868224.0,0.0
1,2,10,2809,0.043658409267663956,0.04280025139451027,0.04985670745372772,0.057182274758815765,2876416.0,2876416.0,0.0
1,2,11,2866,0.040259405970573425,0.039672091603279114,0.04614102840423584,0.05368591099977493,2934784.0,2934784.0,0.0
1,2,12,2761,0.03713904693722725,0.03678622841835022,0.043025124818086624,0.04981249198317528,2827264.0,2827264.0,0.0
1,2,13,2760,0.03437740355730057,0.033950258046388626,0.039797574281692505,0.046163711696863174,2826240.0,2826240.0,0.0
1,2,14,2835,0.03204277530312538,0.03174280747771263,0.03737003356218338,0.04344528540968895,2903040.0,2903040.0,0.0
1,2,15,2830,0.02967776544392109,0.029393887147307396,0.035265855491161346,0.040939558297395706,2897920.0,2897920.0,0.0
1,2,16,3058,0.027347082272171974,0.026486678048968315,0.03226717188954353,0.038092199712991714,3131392.0,3131392.0,0.0
1,3,1,2154,0.17293775081634521,0.15898913145065308,0.20454348623752594,0.26074185967445374,2205696.0,2205696.0,0.0
1,3,2,2319,0.1188073679804802,0.11262667924165726,0.13552071154117584,0.16490840911865234,2374656.0,2374656.0,0.0
1,3,3,2842,0.09286073595285416,0.0901273712515831,0.10492908954620361,0.11998753994703293,2910208.0,2910208.0,0.0
1,3,4,2839,0.07766737788915634,0.0763908177614212,0.08695477247238159,0.09735836088657379,2907136.0,2907136.0,0.0
1,3,5,3029,0.06762151420116425,0.06687398254871368,0.07561396062374115,0.08525165915489197,3101696.0,3101696.0,0.0
1,3,6,2961,0.060423001646995544,0.06008759140968323,0.06774287670850754,0.07490149140357971,3032064.0,3032064.0,0.0
