layer,rank,count,mean_share,median_share,p75_share,p90_share,rank1_over_rankk_median
0,1,13823,0.8781174421310425,0.9523670673370361,0.9960861206054688,0.9997261166572571,
0,2,13823,0.12188252806663513,0.04763295128941536,0.214726060628891,0.373708575963974,19.99386978149414
1,1,13823,0.9204649925231934,0.9933551549911499,0.9999188184738159,0.9999996423721313,
1,2,13823,0.07953500002622604,0.006644850131124258,0.09949249029159546,0.3108949363231659,149.4924774169922
2,1,13823,0.9351047873497009,0.9980765581130981,0.9999910593032837,1.0,
2,2,13823,0.06489532440900803,0.0019234224455431104,0.064444899559021,0.26148146390914917,518.9065551757812
3,1,13823,0.9421150088310242,0.9993662238121033,0.9999988675117493,1.0,
3,2,13823,0.057885050773620605,0.0006337853264994919,0.0420360267162323,0.24647639691829681,1576.8212890625
4,1,13823,0.9503010511398315,0.9996997714042664,0.9999997615814209,1.0,
4,2,13823,0.04969898983836174,0.00030022975988686085,0.026023544371128082,0.203841432929039,3329.782470703125
5,1,13823,0.9523606896400452,0.9997693300247192,0.9999998807907104,1.0,
5,2,13823,0.047639403492212296,0.00023069081362336874,0.02265002951025963,0.19152788817882538,4333.806640625
6,1,13823,0.9573167562484741,0.9999600052833557,1.0,1.0,
6,2,13823,0.04268323630094528,4.003106732852757e-05,0.013098333030939102,0.1640625,24979.599609375
7,1,13823,0.9608387351036072,0.9999786019325256,1.0,1.0,
7,2,13823,0.0391613245010376,2.1393276256276295e-05,0.00859740935266018,0.14823037385940552,46742.66015625
8,1,13823,0.9608429670333862,0.9999842643737793,1.0,1.0,
8,2,13823,0.0391569659113884,1.573801455378998e-05,0.008615783415734768,0.14738205075263977,63539.41796875
9,1,13823,0.9677761197090149,0.9999966621398926,1.0,1.0,
9,2,13823,0.032223884016275406,3.309944304419332e-06,0.0035865954123437405,0.10481023043394089,302118.875
10,1,13823,0.9676843285560608,0.9999966621398926,1.0,1.0,
10,2,13823,0.032315678894519806,3.310891770524904e-06,0.0032171255443245173,0.10657601058483124,302032.4375
11,1,13823,0.9715548753738403,0.9999996423721313,1.0,1.0,
11,2,13823,0.02844512090086937,3.930543641672557e-07,0.0018993597477674484,0.07630007714033127,2544176.25
