layer,receiver_group,rank,count,mean_share,median_share,p75_share,p90_share,full_bytes,policy_bytes,policy_byte_saving
0,0,1,1103,0.8410993218421936,0.900018036365509,0.9844138622283936,0.9984166622161865,2258944.0,2258944.0,0.0
0,0,2,2310,0.08609309792518616,0.012382054701447487,0.12026721239089966,0.32082608342170715,4730880.0,4730880.0,0.0
0,1,1,4575,0.8831554651260376,0.9540812969207764,0.9952914714813232,0.9997473955154419,9369600.0,9369600.0,0.0
0,1,2,4254,0.13088451325893402,0.05486565828323364,0.2368019074201584,0.3894578218460083,8712192.0,8712192.0,0.0
0,2,1,6692,0.8875009417533875,0.9664106369018555,0.9976769685745239,0.9998273253440857,13705216.0,13705216.0,0.0
0,2,2,4918,0.13923025131225586,0.07585610449314117,0.24575918912887573,0.38469403982162476,10072064.0,10072064.0,0.0
0,3,1,1453,0.847139298915863,0.9093658328056335,0.9860333204269409,0.9988017678260803,2975744.0,2975744.0,0.0
0,3,2,2341,0.10439559072256088,0.028991444036364555,0.16596387326717377,0.34809422492980957,4794368.0,4794368.0,0.0
1,0,1,4766,0.9275120496749878,0.9960579872131348,0.9999725818634033,0.9999999403953552,9760768.0,9760768.0,0.0
1,0,2,4472,0.07843693345785141,0.005872162990272045,0.09552773088216782,0.3162522614002228,9158656.0,9158656.0,0.0
1,1,1,4205,0.9218100309371948,0.9923201203346252,0.9998793005943298,0.9999992847442627,8611840.0,8611840.0,0.0
1,1,2,3625,0.08570144325494766,0.00864494126290083,0.11812693625688553,0.3293186128139496,7424000.0,7424000.0,0.0
1,2,1,1763,0.9035069346427917,0.9841325879096985,0.9997693300247192,0.9999957084655762,3610624.0,3610624.0,0.0
1,2,2,2426,0.08023106306791306,0.0067687444388866425,0.10678677260875702,0.30992820858955383,4968448.0,4968448.0,0.0
1,3,1,3089,0.9174397587776184,0.9940810203552246,0.9998912215232849,0.9999995827674866,6326272.0,6326272.0,0.0
1,3,2,3300,0.07373759150505066,0.005209725350141525,0.08590489625930786,0.28722578287124634,6758400.0,6758400.0,0.0
2,0,1,4015,0.943519651889801,0.9993322491645813,0.9999984502792358,1.0,8222720.0,8222720.0,0.0
2,0,2,3579,0.06042226776480675,0.001926573459059,0.04892586171627045,0.24587993323802948,7329792.0,7329792.0,0.0
2,1,1,2180,0.9285284876823425,0.9969784617424011,0.9999834895133972,1.0,4464640.0,4464640.0,0.0
2,1,2,2692,0.06100955978035927,0.0011574382660910487,0.07043024897575378,0.2240714579820633,5513216.0,5513216.0,0.0
2,2,1,4544,0.9299243092536926,0.9968243837356567,0.999973475933075,0.9999998807907104,9306112.0,9306112.0,0.0
2,2,2,4463,0.07104598730802536,0.0027966322377324104,0.08344153314828873,0.2735588848590851,9140224.0,9140224.0,0.0
2,3,1,3084,0.9364306330680847,0.9980735778808594,0.999993085861206,1.0,6316032.0,6316032.0,0.0
2,3,2,3089,0.06457779556512833,0.0014997562393546104,0.05997074767947197,0.2696292996406555,6326272.0,6326272.0,0.0
