layer,tokens,dispatch_us,combine_us,max_receiver_combine_us,combine_frac_of_comm,max_recv_over_mean_recv
0,24235.0,2.62144,2.62144,0.7688682979162369,0.5,1.1731999174747267
1,24235.0,2.62144,2.62144,0.6940298906540129,0.5,1.0590055704559522
2,24235.0,2.62144,2.62144,0.7007633191664948,0.5,1.0692799669898907
3,24235.0,2.62144,2.62144,0.7972217107489168,0.5,1.2164637920363113
4,24235.0,2.62144,2.62144,0.8360944155147515,0.5,1.275778832267382
5,24235.0,2.62144,2.62144,0.8004532155972767,0.5,1.221394677119868
6,24235.0,2.62144,2.62144,0.8129195230039199,0.5,1.240416752630493
7,24235.0,2.62144,2.62144,0.8924767386011966,0.5,1.361811429750361
8,24235.0,2.62144,2.62144,0.7581732337528369,0.5,1.1568805446668042
9,24235.0,2.62144,2.62144,0.7591602624303694,0.5,1.158386630905715
10,24235.0,2.62144,2.62144,0.69254258716732,0.5,1.0567361254384156
11,24235.0,2.62144,2.62144,0.7372292964720445,0.5,1.1249226325562203
12,24235.0,2.62144,2.62144,0.7305634726635032,0.5,1.114751392613988
13,24235.0,2.62144,2.62144,0.7741414648236022,0.5,1.1812461316278111
14,24235.0,2.62144,2.62144,0.8290905681865072,0.5,1.2650918093666186
15,24235.0,2.62144,2.62144,0.8259807518052403,0.5,1.2603466061481328
