layer,rank,count,mean_share,median_share,p75_share,p90_share,rank1_over_rankk_median
0,1,24235,0.2848532497882843,0.26307642459869385,0.3476249873638153,0.4498031437397003,
0,2,24235,0.19736051559448242,0.176798015832901,0.24703097343444824,0.3168070316314697,
0,3,24235,0.14938485622406006,0.1282913237810135,0.1816304624080658,0.25873813033103943,
0,4,24235,0.11094098538160324,0.09599708765745163,0.12867125868797302,0.19036105275154114,
0,5,24235,0.08477111160755157,0.07428016513586044,0.09807756543159485,0.1326284557580948,
0,6,24235,0.06762758642435074,0.060169246047735214,0.0785415768623352,0.10281120240688324,
0,7,24235,0.056270334869623184,0.05050111562013626,0.06581101566553116,0.08490439504384995,
0,8,24235,0.04879136011004448,0.044553570449352264,0.057229407131671906,0.07305945456027985,5.734867095947266
1,1,24235,0.31778615713119507,0.2879865765571594,0.3698640763759613,0.4672488868236542,
1,2,24235,0.19281414151191711,0.1844741404056549,0.23134344816207886,0.2832345962524414,
1,3,24235,0.1364995241165161,0.1317177712917328,0.16476257145404816,0.2045195996761322,
1,4,24235,0.10249608755111694,0.09869863837957382,0.12400510907173157,0.1540147066116333,
1,5,24235,0.07943081110715866,0.07620857656002045,0.09787066280841827,0.11983466148376465,
1,6,24235,0.06509512662887573,0.06248771399259567,0.08064001798629761,0.09914238750934601,
1,7,24235,0.05600932613015175,0.053826697170734406,0.06963609158992767,0.08585774153470993,
1,8,24235,0.04986884444952011,0.0478612519800663,0.0616990365087986,0.07665789127349854,5.9008307456970215
2,1,24235,0.2916294038295746,0.2701065242290497,0.33916139602661133,0.41620907187461853,
2,2,24235,0.1951071321964264,0.18548555672168732,0.22893933951854706,0.2806345522403717,
2,3,24235,0.14652404189109802,0.1379193812608719,0.17175062000751495,0.21285699307918549,
2,4,24235,0.10913163423538208,0.10413419455289841,0.12929178774356842,0.15783792734146118,
2,5,24235,0.08330222964286804,0.08020689338445663,0.09982550144195557,0.12110204994678497,
2,6,24235,0.06738947331905365,0.06515230983495712,0.08129281550645828,0.09818895161151886,
2,7,24235,0.05686204880475998,0.05513634905219078,0.06846131384372711,0.08276022225618362,
2,8,24235,0.05005401745438576,0.048712290823459625,0.05999656021595001,0.07214804738759995,5.561085224151611
3,1,24235,0.2931065261363983,0.27069544792175293,0.33600205183029175,0.41562408208847046,
3,2,24235,0.18825280666351318,0.18299603462219238,0.22155681252479553,0.2616650462150574,
3,3,24235,0.14191670715808868,0.13898232579231262,0.1689964085817337,0.19953957200050354,
3,4,24235,0.11125732213258743,0.10797487199306488,0.13210414350032806,0.1594528704881668,
