strategy,total_bytes,full_total_bytes,byte_saving,bottleneck_bytes,full_bottleneck_bytes,bottleneck_byte_saving,simulated_latency_us,latency_saving
full,12706119680.0,12706119680.0,0.0,3759366144.0,3759366144.0,0.0,300749.29151999997,0.0
uniform_int4,3176529920.0,12706119680.0,0.75,939841536.0,3759366144.0,0.75,75187.32287999999,0.75
rank1_int4,11514920960.0,12706119680.0,0.09375,3450344448.0,3759366144.0,0.08220047852832923,276027.55584,0.08220047852832923
rank2_int4,11514920960.0,12706119680.0,0.09375,3427595264.0,3759366144.0,0.08825181354827882,274207.62112,0.08825181354827871
rank3_int4,11514920960.0,12706119680.0,0.09375,3409117184.0,3759366144.0,0.09316702512709552,272729.37472,0.0931670251270953
rank4_int4,11514920960.0,12706119680.0,0.09375,3390774272.0,3759366144.0,0.09804628170849428,271261.94175999996,0.09804628170849439
rank5_int4,11514920960.0,12706119680.0,0.09375,3391609856.0,3759366144.0,0.09782401445172983,271328.78848,0.09782401445172983
rank6_int4,11514920960.0,12706119680.0,0.09375,3393532928.0,3759366144.0,0.09731247289755873,271482.63424,0.09731247289755873
rank7_int4,11514920960.0,12706119680.0,0.09375,3394538496.0,3759366144.0,0.09704498950767804,271563.07968,0.09704498950767781
rank8_int4,11514920960.0,12706119680.0,0.09375,3404021760.0,3759366144.0,0.09452241957520802,272321.7408,0.0945224195752079
group0_rank8_int4,12411920384.0,12706119680.0,0.02315414173715702,3711034368.0,3759366144.0,0.012856363053952102,296882.74944000004,0.01285636305395188
group1_rank8_int4,12411766784.0,12706119680.0,0.023166230400247567,3693372416.0,3759366144.0,0.017554482716541697,295469.79328,0.017554482716541697
group2_rank8_int4,12409524224.0,12706119680.0,0.023342724881369903,3689988096.0,3759366144.0,0.01845471958370648,295199.04768,0.01845471958370637
group3_rank8_int4,12400068608.0,12706119680.0,0.02408690298122551,3665473536.0,3759366144.0,0.02497564866083979,293237.88288000005,0.024975648660839567
