layer,rank,precision,delta_kl,local_relative_mse,bytes_per_element,byte_saving_per_rank
4,1,int8,0.15179850533604622,0.007126228711660762,1.0,0.0625
4,1,int4,8.536325127352029,0.038512344417528085,0.5,0.09375
4,1,drop,6.538627237081528,0.9560727578798492,0.0,0.125
4,2,int8,0.06057966430671513,1.6939925176254757e-06,1.0,0.0625
4,2,int4,0.12344701960682869,0.00036754598396598003,0.5,0.09375
4,2,drop,1.4845243180170655,0.01210165980136991,0.0,0.125
4,3,int8,0.06132413836894557,1.1680332486750139e-06,1.0,0.0625
4,3,int4,0.10798077966319397,0.0002415756298588216,0.5,0.09375
4,3,drop,1.4748931666836143,0.007538883589421971,0.0,0.125
4,4,int8,0.06920848716981709,8.260630103816893e-07,1.0,0.0625
4,4,int4,0.09251754969591275,0.0001539572302367875,0.5,0.09375
4,4,drop,0.5716204517520964,0.0046887366138113696,0.0,0.125
4,5,int8,0.05670112115330994,5.769673945855794e-07,1.0,0.0625
4,5,int4,0.0845103962928988,9.069291304612119e-05,0.5,0.09375
4,5,drop,0.49528123158961535,0.0031817752664430503,0.0,0.125
4,6,int8,0.05571607383899391,4.5281948639330825e-07,1.0,0.0625
4,6,int4,0.08197695604758337,6.146015257119198e-05,0.5,0.09375
4,6,drop,0.34311925736255944,0.0021291201700509954,0.0,0.125
4,7,int8,0.05989283905364573,3.7009486555604147e-07,1.0,0.0625
4,7,int4,0.06928631040500477,4.291412707879893e-05,0.5,0.09375
4,7,drop,0.29413545737043023,0.0015609956788383377,0.0,0.125
4,8,int8,0.05757769593037665,2.983344252412195e-07,1.0,0.0625
4,8,int4,0.06740819243714213,2.858300476963511e-05,0.5,0.09375
4,8,drop,0.2245019965339452,0.0011153712013752762,0.0,0.125
5,1,int8,0.05570509866811335,6.0533092996820176e-05,1.0,0.0625
5,1,int4,0.1820179398637265,0.017829374820165028,0.5,0.09375
5,1,drop,3.2288648635149,0.38912290701386376,0.0,0.125
5,2,int8,0.05432539083994925,2.865489863420845e-05,1.0,0.0625
5,2,int4,0.12045842327643186,0.0076317314496362745,0.5,0.09375
5,2,drop,1.7530439160764217,0.18486077832072975,0.0,0.125
5,3,int8,0.04888034670148045,1.7750941277065492e-05,1.0,0.0625
5,3,int4,0.10819311917293817,0.004186301252280809,0.5,0.09375
5,3,drop,0.8311125123873353,0.09981251754864344,0.0,0.125
5,4,int8,0.05391881175455637,1.1950865990552848e-05,1.0,0.0625
5,4,int4,0.08444240596145391,0.002475888463585884,0.5,0.09375
5,4,drop,0.5999088482931256,0.06279289481232118,0.0,0.125
5,5,int8,0.05674969492247328,9.053074264525703e-06,1.0,0.0625
5,5,int4,0.07868168817367405,0.0016620649278179152,0.5,0.09375
5,5,drop,0.38612936483696103,0.04301080994147416,0.0,0.125
5,6,int8,0.04207101068459451,7.073475083365569e-06,1.0,0.0625
5,6,int4,0.07985279185231775,0.0011336919705498174,0.5,0.09375
5,6,drop,0.3763667559251189,0.030329872613441708,0.0,0.125
5,7,int8,0.04876653687097132,5.4780410800684875e-06,1.0,0.0625
5,7,int4,0.06677735387347639,0.0007464754472993009,0.5,0.09375
5,7,drop,0.24340731231495738,0.021372656263374618,0.0,0.125
5,8,int8,0.04963174520526081,4.541127177842635e-06,1.0,0.0625
5,8,int4,0.06671182153513655,0.0005374819725523768,0.5,0.09375
5,8,drop,0.21822864562273026,0.016885688050782513,0.0,0.125
6,1,int8,0.04393836605595425,0.0005076647133894667,1.0,0.0625
6,1,int4,2.130162440473214,0.09750175244969458,0.5,0.09375
6,1,drop,3.356291949748993,0.5278308208903058,0.0,0.125
6,2,int8,0.049798083142377436,0.0002353357188100439,1.0,0.0625
6,2,int4,0.11881125089712441,0.009129922601324026,0.5,0.09375
6,2,drop,1.2121225018054247,0.13584255204456938,0.0,0.125
6,3,int8,0.043388658785261214,1.43441686934955e-05,1.0,0.0625
6,3,int4,0.08840772055555135,0.003272207269438661,0.5,0.09375
6,3,drop,0.7561657335609198,0.07120246757886689,0.0,0.125
6,4,int8,0.04800771159352735,7.805569270505685e-05,1.0,0.0625
6,4,int4,0.0975737600820139,0.003488567820323634,0.5,0.09375
6,4,drop,0.6291428804397583,0.05647436625728283,0.0,0.125
6,5,int8,0.045977206667885184,6.00908955710397e-06,1.0,0.0625
6,5,int4,0.06544914119876921,0.0011020631359810297,0.5,0.09375
6,5,drop,0.3970613933634013,0.029362938088938476,0.0,0.125
6,6,int8,0.04872522864025086,4.5654854453595394e-06,1.0,0.0625
6,6,int4,0.06535679148510098,0.0007122795071781159,0.5,0.09375
6,6,drop,0.2996463740710169,0.020629004351792976,0.0,0.125
6,7,int8,0.0477220889297314,3.990831225373665e-06,1.0,0.0625
6,7,int4,0.057876348844729364,0.0005315652573453784,0.5,0.09375
6,7,drop,0.26758917863480747,0.014274185905800204,0.0,0.125
6,8,int8,0.04374076722888276,3.512779871377053e-06,1.0,0.0625
6,8,int4,0.05755147855961695,0.00039089722419868053,0.5,0.09375
6,8,drop,0.20585894398391247,0.010257509912220193,0.0,0.125
7,1,int8,0.03964585397625342,7.050377863939176e-05,1.0,0.0625
7,1,int4,0.1507312785834074,0.01967916122577848,0.5,0.09375
7,1,drop,2.8363966196775436,0.3653287560234347,0.0,0.125
7,2,int8,0.036950616689864546,3.5186220709448234e-05,1.0,0.0625
7,2,int4,0.11050985474139452,0.009606147402398832,0.5,0.09375
7,2,drop,1.2365585267543793,0.17945707662974605,0.0,0.125
7,3,int8,0.0411005049245432,2.8595412993450727e-05,1.0,0.0625
7,3,int4,0.1066732534673065,0.007536302804695212,0.5,0.09375
7,3,drop,0.7525014905259013,0.11119060280977587,0.0,0.125
7,4,int8,0.04021406779065728,2.036563643646387e-05,1.0,0.0625
7,4,int4,0.0808659583562985,0.004977680326785917,0.5,0.09375
7,4,drop,0.507234001532197,0.07647622881828671,0.0,0.125
7,5,int8,0.03837051009759307,1.5043728734941762e-05,1.0,0.0625
7,5,int4,0.07160435640253127,0.0034254359110349377,0.5,0.09375
7,5,drop,0.43658447777852416,0.05423613535978858,0.0,0.125
7,6,int8,0.041984876355854794,9.771392922280023e-06,1.0,0.0625
7,6,int4,0.05968023539753631,0.0018926272835246916,0.5,0.09375
7,6,drop,0.30224982486106455,0.036793093524524506,0.0,0.125
7,7,int8,0.03835238114697859,7.029906211179546e-06,1.0,0.0625
7,7,int4,0.05317524290876463,0.0011331679148590147,0.5,0.09375
7,7,drop,0.21890181489288807,0.02530964222213293,0.0,0.125
7,8,int8,0.03754932025913149,5.4671859677688505e-06,1.0,0.0625
7,8,int4,0.057070481474511325,0.0007691946005348049,0.5,0.09375
7,8,drop,0.17565254354849458,0.017514226065866084,0.0,0.125
