method,epsilon,pred_kl,byte_saving,bottleneck_saving,max_traffic,group_traffic
milp,0.02,0.020000892310750584,0.338032142949247,0.35559836037797654,1026878.5,"[1026873.5, 1026810.0, 1026878.5, 1026392.5]"
rank_only,0.02,0.019988233895105623,0.333984375,0.3397684899889428,1052104.0,"[1003826.5, 1030564.5, 1045572.5, 1052104.0]"
greedy,0.02,0.016414970549255316,0.28564559908190634,0.2833870293648473,1141950.0,"[1113093.5, 1086232.0, 1090693.5, 1141950.0]"
milp,0.05,0.049999152422759804,0.4881569785434289,0.5016237454017413,794181.5,"[793941.0, 794181.5, 793280.0, 794153.5]"
rank_only,0.05,0.04998923181415194,0.48828125,0.48579261994379797,819409.0,"[775404.0, 795840.5, 784131.5, 819409.0]"
greedy,0.05,0.03995036219639623,0.4491398513255622,0.4500011923154641,876444.0,"[838130.5, 869101.5, 833948.5, 876444.0]"
milp,0.1,0.09999959959954471,0.5578461870744791,0.5696136521375705,685837.0,"[685715.0, 685826.0, 685837.0, 685815.0]"
rank_only,0.1,0.09990196452145016,0.556640625,0.5569101584022471,706080.5,"[672728.0, 694374.5, 677489.5, 706080.5]"
greedy,0.1,0.07874936757637589,0.5302513152465442,0.5229574067264163,760185.5,"[722041.0, 732100.5, 700069.0, 760185.5]"
milp,0.2,0.19965955169598842,0.6104615290385806,0.6207231958070658,604392.0,"[603866.5, 604392.0, 604161.0, 604339.5]"
rank_only,0.2,0.19993477564958093,0.611328125,0.6087432492981026,623482.5,"[591184.5, 612443.5, 584272.0, 623482.5]"
greedy,0.2,0.16397620219056486,0.595709652878069,0.5964391812432461,643089.5,"[619196.5, 638219.0, 607777.0, 643089.5]"
milp,0.5,0.49990454680488916,0.6606261766298742,0.6694352440920769,526767.5,"[526471.0, 526767.5, 526754.5, 525536.5]"
rank_only,0.5,0.49817576426630666,0.662109375,0.6595067077157871,542589.0,"[515227.5, 532021.5, 506489.5, 542589.0]"
greedy,0.5,0.4407557650402185,0.6560390125335258,0.6512652977211714,555722.0,"[522741.0, 544242.0, 511284.0, 555722.0]"
milp,1.0,0.831934986846339,0.6775401504796781,0.68594912703682,500452.0,"[500247.0, 499449.5, 500444.0, 500452.0]"
rank_only,1.0,0.9893709159869107,0.685546875,0.684351424314952,502998.0,"[478731.0, 498914.5, 470274.0, 502998.0]"
greedy,1.0,0.8622708845037347,0.6817007459511037,0.6801428644939751,509704.5,"[480256.5, 508642.5, 476176.0, 509704.5]"
all_bf16,0.0,0.0,0.0,0.0,1593538.0,"[1497918.0, 1534978.0, 1577726.0, 1593538.0]"
uniform_int4,0.0,0.22390757194898456,0.75,0.75,398384.5,"[374479.5, 383744.5, 394431.5, 398384.5]"
