model_key,split,text_sha256,policy,period,document_mean_kl,document_cvar90_kl,document_p95_kl,total_candidate_forward_calls,audit_events,dangerous_steps,dangerous_step_recall,threshold_violation_fraction,diagnostic_high_forward_calls,diagnostic_low_forward_calls,physical_high_forward_calls,physical_low_forward_calls
olmoe,sealed,b9d9720b68f767c1cf0f92720830862e1853d2e76b3dd6ab9c29aef8c7ebac0c,always_bf16,,0.0,0.0,0.0,32,0,0,1.0,0.0,0,0,32,0
olmoe,sealed,b9d9720b68f767c1cf0f92720830862e1853d2e76b3dd6ab9c29aef8c7ebac0c,always_low,,0.05472747153908131,0.20007814094424248,0.16006880849599836,32,0,3,0.0,0.09375,32,0,32,32
olmoe,sealed,b9d9720b68f767c1cf0f92720830862e1853d2e76b3dd6ab9c29aef8c7ebac0c,triage_2_4_8,8,0.05472747153908131,0.20007814094424248,0.16006880849599836,36,4,3,0.0,0.09375,28,0,32,32
olmoe,sealed,b9d9720b68f767c1cf0f92720830862e1853d2e76b3dd6ab9c29aef8c7ebac0c,hash_budget_matched_2_4_8,4,0.04528269994989387,0.17737644724547863,0.15529737398028373,40,8,3,0.3333333333333333,0.0625,21,3,32,32
olmoe,sealed,b9d9720b68f767c1cf0f92720830862e1853d2e76b3dd6ab9c29aef8c7ebac0c,fixed_2,2,0.04528269994989387,0.17737644724547863,0.15529737398028373,47,15,3,0.3333333333333333,0.0625,14,3,32,32
olmoe,sealed,b9d9720b68f767c1cf0f92720830862e1853d2e76b3dd6ab9c29aef8c7ebac0c,fixed_4,4,0.04528269994989387,0.17737644724547863,0.15529737398028373,40,8,3,0.3333333333333333,0.0625,21,3,32,32
olmoe,sealed,b9d9720b68f767c1cf0f92720830862e1853d2e76b3dd6ab9c29aef8c7ebac0c,fixed_8,8,0.05472747153908131,0.20007814094424248,0.16006880849599836,36,4,3,0.0,0.09375,28,0,32,32
olmoe,sealed,b9d9720b68f767c1cf0f92720830862e1853d2e76b3dd6ab9c29aef8c7ebac0c,full_shadow,1,0.03513087925603031,0.08141661807894707,0.07449284642934799,64,32,2,1.0,0.0,0,0,32,32
olmoe,sealed,af05f7dd968f91d4d4334998425b6c6ce7305c2ff5b1cd23f73f419b99522ccd,always_bf16,,0.0,0.0,0.0,32,0,0,1.0,0.0,0,0,32,0
olmoe,sealed,af05f7dd968f91d4d4334998425b6c6ce7305c2ff5b1cd23f73f419b99522ccd,always_low,,0.13738195120095043,0.6808717623353004,0.5498760223388671,32,0,7,0.0,0.21875,32,0,32,32
olmoe,sealed,af05f7dd968f91d4d4334998425b6c6ce7305c2ff5b1cd23f73f419b99522ccd,triage_2_4_8,4,0.10913465693010949,0.5839281938970089,0.397318176925182,40,8,7,0.2857142857142857,0.15625,18,6,32,32
olmoe,sealed,af05f7dd968f91d4d4334998425b6c6ce7305c2ff5b1cd23f73f419b99522ccd,hash_budget_matched_2_4_8,4,0.10913465693010949,0.5839281938970089,0.397318176925182,40,8,7,0.2857142857142857,0.15625,18,6,32,32
olmoe,sealed,af05f7dd968f91d4d4334998425b6c6ce7305c2ff5b1cd23f73f419b99522ccd,fixed_2,2,0.04369789902284538,0.24550290778279305,0.14944391921162603,44,12,8,0.75,0.0625,8,12,32,32
olmoe,sealed,af05f7dd968f91d4d4334998425b6c6ce7305c2ff5b1cd23f73f419b99522ccd,fixed_4,4,0.10913465693010949,0.5839281938970089,0.397318176925182,40,8,7,0.2857142857142857,0.15625,18,6,32,32
olmoe,sealed,af05f7dd968f91d4d4334998425b6c6ce7305c2ff5b1cd23f73f419b99522ccd,fixed_8,8,0.13738195120095043,0.6808717623353004,0.5498760223388671,36,4,7,0.0,0.21875,28,0,32,32
olmoe,sealed,af05f7dd968f91d4d4334998425b6c6ce7305c2ff5b1cd23f73f419b99522ccd,full_shadow,1,0.03725562432373408,0.11715860664844513,0.10801529251039028,64,32,7,1.0,0.0,0,0,32,32
olmoe,sealed,69873d3d413368c6fd9763d23e01fd65ed4ac02d5f4b626c16abcde7655ecae2,always_bf16,,0.0,0.0,0.0,32,0,0,1.0,0.0,0,0,32,0
olmoe,sealed,69873d3d413368c6fd9763d23e01fd65ed4ac02d5f4b626c16abcde7655ecae2,always_low,,0.03841946350985381,0.11604029312729836,0.11116900853812695,32,0,1,0.0,0.03125,32,0,32,32
olmoe,sealed,69873d3d413368c6fd9763d23e01fd65ed4ac02d5f4b626c16abcde7655ecae2,triage_2_4_8,4,0.032735283240981516,0.08932754211127758,0.0888358525931835,40,8,1,1.0,0.0,21,3,32,32
olmoe,sealed,69873d3d413368c6fd9763d23e01fd65ed4ac02d5f4b626c16abcde7655ecae2,hash_budget_matched_2_4_8,8,0.03841946350985381,0.11604029312729836,0.11116900853812695,36,4,1,0.0,0.03125,28,0,32,32
olmoe,sealed,69873d3d413368c6fd9763d23e01fd65ed4ac02d5f4b626c16abcde7655ecae2,fixed_2,2,0.03841946350985381,0.11604029312729836,0.11116900853812695,48,16,1,0.0,0.03125,16,0,32,32
olmoe,sealed,69873d3d413368c6fd9763d23e01fd65ed4ac02d5f4b626c16abcde7655ecae2,fixed_4,4,0.032735283240981516,0.08932754211127758,0.0888358525931835,40,8,1,1.0,0.0,21,3,32,32
olmoe,sealed,69873d3d413368c6fd9763d23e01fd65ed4ac02d5f4b626c16abcde7655ecae2,fixed_8,8,0.03841946350985381,0.11604029312729836,0.11116900853812695,36,4,1,0.0,0.03125,28,0,32,32
olmoe,sealed,69873d3d413368c6fd9763d23e01fd65ed4ac02d5f4b626c16abcde7655ecae2,full_shadow,1,0.034756930468574865,0.09386131167411804,0.09446040168404578,64,32,1,1.0,0.0,0,0,32,32
olmoe,sealed,737aac87f7a4db9e7db8a023e83eeb95f473916bc4b5af0bc16882fdfc4ddbb1,always_bf16,,0.0,0.0,0.0,32,0,0,1.0,0.0,0,0,32,0
olmoe,sealed,737aac87f7a4db9e7db8a023e83eeb95f473916bc4b5af0bc16882fdfc4ddbb1,always_low,,0.07975394313587003,0.40078604966402054,0.22494587376713748,32,0,3,0.0,0.09375,32,0,32,32
olmoe,sealed,737aac87f7a4db9e7db8a023e83eeb95f473916bc4b5af0bc16882fdfc4ddbb1,triage_2_4_8,2,0.0642901424480371,0.35387521609663963,0.1685043171048164,47,15,3,0.3333333333333333,0.0625,14,3,32,32
olmoe,sealed,737aac87f7a4db9e7db8a023e83eeb95f473916bc4b5af0bc16882fdfc4ddbb1,hash_budget_matched_2_4_8,4,0.029213612877356354,0.10591249540448189,0.0941170275211334,40,8,4,0.75,0.03125,18,6,32,32
olmoe,sealed,737aac87f7a4db9e7db8a023e83eeb95f473916bc4b5af0bc16882fdfc4ddbb1,fixed_2,2,0.0642901424480371,0.35387521609663963,0.1685043171048164,47,15,3,0.3333333333333333,0.0625,14,3,32,32
olmoe,sealed,737aac87f7a4db9e7db8a023e83eeb95f473916bc4b5af0bc16882fdfc4ddbb1,fixed_4,4,0.029213612877356354,0.10591249540448189,0.0941170275211334,40,8,4,0.75,0.03125,18,6,32,32
olmoe,sealed,737aac87f7a4db9e7db8a023e83eeb95f473916bc4b5af0bc16882fdfc4ddbb1,fixed_8,8,0.07975394313587003,0.40078604966402054,0.22494587376713748,36,4,3,0.0,0.09375,28,0,32,32
olmoe,sealed,737aac87f7a4db9e7db8a023e83eeb95f473916bc4b5af0bc16882fdfc4ddbb1,full_shadow,1,0.03626943916469827,0.11880907043814659,0.11209938935935496,64,32,3,1.0,0.0,0,0,32,32
olmoe,sealed,331b9fc289113af48e1db5a40fb59dd622184d5f35955a1f862d94745dc87205,always_bf16,,0.0,0.0,0.0,32,0,0,1.0,0.0,0,0,32,0
olmoe,sealed,331b9fc289113af48e1db5a40fb59dd622184d5f35955a1f862d94745dc87205,always_low,,0.03400801908719586,0.10830989480018616,0.09944381602108478,32,0,1,0.0,0.03125,32,0,32,32
olmoe,sealed,331b9fc289113af48e1db5a40fb59dd622184d5f35955a1f862d94745dc87205,triage_2_4_8,2,0.03029060992412269,0.09260552003979683,0.09187871776521206,47,15,1,1.0,0.0,14,3,32,32
olmoe,sealed,331b9fc289113af48e1db5a40fb59dd622184d5f35955a1f862d94745dc87205,hash_budget_matched_2_4_8,8,0.03400801908719586,0.10830989480018616,0.09944381602108478,36,4,1,0.0,0.03125,28,0,32,32
olmoe,sealed,331b9fc289113af48e1db5a40fb59dd622184d5f35955a1f862d94745dc87205,fixed_2,2,0.03029060992412269,0.09260552003979683,0.09187871776521206,47,15,1,1.0,0.0,14,3,32,32
olmoe,sealed,331b9fc289113af48e1db5a40fb59dd622184d5f35955a1f862d94745dc87205,fixed_4,4,0.03029060992412269,0.09260552003979683,0.09187871776521206,40,8,1,1.0,0.0,21,3,32,32
olmoe,sealed,331b9fc289113af48e1db5a40fb59dd622184d5f35955a1f862d94745dc87205,fixed_8,8,0.03400801908719586,0.10830989480018616,0.09944381602108478,36,4,1,0.0,0.03125,28,0,32,32
olmoe,sealed,331b9fc289113af48e1db5a40fb59dd622184d5f35955a1f862d94745dc87205,full_shadow,1,0.032870866167286295,0.10545403882861137,0.09944381602108478,64,32,1,1.0,0.0,0,0,32,32
olmoe,sealed,3981e1440f5e78baa27a7cf1923a26dafd469a42069ddc69a145a514b98b3f09,always_bf16,,0.0,0.0,0.0,32,0,0,1.0,0.0,0,0,32,0
olmoe,sealed,3981e1440f5e78baa27a7cf1923a26dafd469a42069ddc69a145a514b98b3f09,always_low,,0.05498930712735728,0.21588277630507946,0.18372774645686143,32,0,3,0.0,0.09375,32,0,32,32
olmoe,sealed,3981e1440f5e78baa27a7cf1923a26dafd469a42069ddc69a145a514b98b3f09,triage_2_4_8,8,0.0418796812112987,0.15222506038844585,0.11490827910602093,36,4,2,0.5,0.03125,25,3,32,32
