proxy_trained_for_action,evaluated_harm_action,test_transfer_spearman
fp8top8_rest_int4,fp8top8_rest_int4,-0.10294117647058824
fp8top8_rest_int4,rankk_drop_renorm,0.2823529411764706
fp8top8_rest_int4,keep12_drop_renorm,-0.2088235294117647
fp8top8_rest_int4,keep8_drop_renorm,-0.18823529411764706
rankk_drop_renorm,fp8top8_rest_int4,0.15
rankk_drop_renorm,rankk_drop_renorm,-0.3970588235294118
rankk_drop_renorm,keep12_drop_renorm,-0.08529411764705883
rankk_drop_renorm,keep8_drop_renorm,0.02058823529411765
keep12_drop_renorm,fp8top8_rest_int4,0.09999999999999999
keep12_drop_renorm,rankk_drop_renorm,-0.4764705882352941
keep12_drop_renorm,keep12_drop_renorm,-0.07647058823529412
keep12_drop_renorm,keep8_drop_renorm,0.06764705882352941
keep8_drop_renorm,fp8top8_rest_int4,0.15588235294117647
keep8_drop_renorm,rankk_drop_renorm,-0.4647058823529412
keep8_drop_renorm,keep12_drop_renorm,-0.09999999999999999
keep8_drop_renorm,keep8_drop_renorm,0.044117647058823525
