model,budget_fraction,joint_minus_independent_low_frac,ci_low,ci_high,n_documents,joint_beats_independent
olmoe,0.1,-0.2119791666666667,-0.2588541666666667,-0.16510416666666666,20,False
olmoe,0.2,-0.2869791666666667,-0.32499999999999996,-0.25052083333333336,20,False
olmoe,0.3,-0.2703125,-0.30989583333333337,-0.23229166666666665,20,False
olmoe,0.4,-0.2098958333333333,-0.2375,-0.18489583333333331,20,False
olmoe,0.5,-0.13489583333333333,-0.17916666666666664,-0.09427083333333333,20,False
llmjp,0.1,-0.16822916666666665,-0.19322916666666665,-0.14062499999999997,20,False
llmjp,0.2,-0.2739583333333333,-0.30781249999999993,-0.23854166666666665,20,False
llmjp,0.3,-0.21979166666666666,-0.2421875,-0.196875,20,False
llmjp,0.4,-0.17187499999999997,-0.19739583333333335,-0.14739583333333334,20,False
llmjp,0.5,-0.14270833333333333,-0.1786458333333333,-0.10832031250000006,20,False
