period,escalate_quantile,threshold_tau,n_documents,reduction,reduction_ci_low,reduction_ci_high,reactive_high_frac,oracle_ratio,model,go_at_45pct,go_at_50pct,go_at_55pct
1,0.6,0.0447605997323989,20,1.0,1.0,1.0,1.0000000000000002,0.0,olmoe,False,False,False
1,0.7,0.058840163052082,20,1.0,1.0,1.0,1.0000000000000002,0.0,olmoe,False,False,False
1,0.75,0.06695763953030102,20,1.0,1.0,1.0,1.0000000000000002,0.0,olmoe,False,False,False
1,0.8,0.0862288922071456,20,1.0,1.0,1.0,1.0000000000000002,0.0,olmoe,False,False,False
1,0.9,0.17645754665136332,20,1.0,1.0,1.0,1.0000000000000002,0.0,olmoe,False,False,False
2,0.6,0.0447605997323989,20,0.7334583733982405,0.670855194915706,0.7950435665692595,0.6885416666666666,1.4819847333224725,olmoe,False,False,False
2,0.7,0.058840163052082,20,0.695098801219803,0.6372427716055266,0.7449056085697234,0.6427083333333333,1.1654240904990651,olmoe,False,False,False
2,0.75,0.06695763953030102,20,0.6775273771143844,0.6207826127348505,0.7270219644213374,0.625,1.0710707889273186,olmoe,False,False,False
2,0.8,0.0862288922071456,20,0.6516990417827794,0.6085237042235849,0.6965990561281004,0.6020833333333334,0.9521981341026426,olmoe,False,False,False
2,0.9,0.17645754665136332,20,0.5750815430944971,0.5242307102391994,0.6114657776153034,0.5375000000000001,0.6969038468037658,olmoe,False,False,False
3,0.6,0.0447605997323989,20,0.6621902061267901,0.5932951884885526,0.7334491177617563,0.5875,1.87823929668929,olmoe,False,False,False
3,0.7,0.058840163052082,20,0.613919587640615,0.5382863677109485,0.6735633649887174,0.5249999999999999,1.4757154620366284,olmoe,False,False,False
3,0.75,0.06695763953030102,20,0.5881226294700417,0.5110668618058926,0.6506267683508316,0.4999999999999999,1.3680225510223003,olmoe,True,True,True
3,0.8,0.0862288922071456,20,0.5094980316189812,0.4453692223157082,0.5705128698788342,0.45833333333333326,1.3409525528057749,olmoe,True,True,False
3,0.9,0.17645754665136332,20,0.3909559295278284,0.31755770580885173,0.46311650061584864,0.37708333333333327,0.9988861361215761,olmoe,False,False,False
4,0.6,0.0447605997323989,20,0.5924169192742847,0.5060821305494515,0.6606659903522709,0.540625,2.2661822503939932,olmoe,False,False,False
4,0.7,0.058840163052082,20,0.5333117777566196,0.4593837103323784,0.5944937512814022,0.4625,1.7838227567832783,olmoe,True,True,False
4,0.75,0.06695763953030102,20,0.5007912797456266,0.4245736962672677,0.5665262847743807,0.434375,1.6580876635592972,olmoe,True,True,False
4,0.8,0.0862288922071456,20,0.4509583682539884,0.3832948005629974,0.506842515720382,0.390625,1.500990465168851,olmoe,True,False,False
4,0.9,0.17645754665136332,20,0.3158854030052819,0.2615881552199355,0.3629281224323577,0.29375,1.1220084384478821,olmoe,False,False,False
6,0.6,0.0447605997323989,20,0.5475799247243771,0.44766019439256843,0.6392414573709497,0.4739583333333334,2.515478175605352,olmoe,False,False,False
6,0.7,0.058840163052082,20,0.46738763813166806,0.36466771964549183,0.5695643498794369,0.39583333333333337,2.0358046472176574,olmoe,False,False,False
6,0.75,0.06695763953030102,20,0.4102363824639932,0.31026311436150134,0.5004746789246436,0.34895833333333337,1.9588595691082378,olmoe,False,False,False
6,0.8,0.0862288922071456,20,0.3776844768198391,0.28815225427773833,0.4677648691827003,0.3177083333333333,1.701309359090823,olmoe,False,False,False
6,0.9,0.17645754665136332,20,0.28641903473907593,0.1814841972579785,0.38915651230158216,0.234375,1.1703358882499089,olmoe,False,False,False
8,0.6,0.0447605997323989,20,0.5077590966043795,0.4088035422993728,0.600064096187492,0.475,2.736883965366916,olmoe,False,False,False
8,0.7,0.058840163052082,20,0.46120326555508206,0.3720224634635293,0.5490011103591771,0.409375,2.0594431793526886,olmoe,False,False,False
8,0.75,0.06695763953030102,20,0.4170511970550984,0.31555240268234874,0.5159401920824036,0.3583333333333334,1.936224627961381,olmoe,False,False,False
8,0.8,0.0862288922071456,20,0.38785261132393833,0.28536502659871216,0.4732462655363588,0.3218750000000001,1.673511334211231,olmoe,False,False,False
8,0.9,0.17645754665136332,20,0.21154702437043382,0.15702594014645604,0.2652796592357923,0.18333333333333338,1.2931326065281221,olmoe,False,False,False
16,0.6,0.0447605997323989,20,0.49743046123244683,0.3389102085960093,0.6484032482490726,0.46874999999999983,2.7943116930071046,olmoe,False,False,False
16,0.7,0.058840163052082,20,0.44436199328929926,0.3035357210175291,0.5681110654069041,0.40624999999999983,2.1238155875023406,olmoe,False,False,False
16,0.75,0.06695763953030102,20,0.38920403811637727,0.22217453259269454,0.5602015159533605,0.34374999999999983,2.028717064147073,olmoe,False,False,False
16,0.8,0.0862288922071456,20,0.3436613017196406,0.17468825320721842,0.49541090125855136,0.2812499999999999,1.7943231825740533,olmoe,False,False,False
16,0.9,0.17645754665136332,20,0.10194343239416892,0.04454283148068408,0.18744103126773629,0.09375000000000003,1.4728921901151353,olmoe,False,False,False
1,0.6,0.0539926029741764,20,1.0,1.0,1.0,1.0000000000000002,0.0,llmjp,False,False,False
1,0.7,0.0691498890519142,20,1.0,1.0,1.0,1.0000000000000002,0.0,llmjp,False,False,False
1,0.75,0.07871864549815652,20,1.0,1.0,1.0,1.0000000000000002,0.0,llmjp,False,False,False
1,0.8,0.095153622329235,20,1.0,1.0,1.0,1.0000000000000002,0.0,llmjp,False,False,False
1,0.9,0.16353274136781687,20,1.0,1.0,1.0,1.0000000000000002,0.0,llmjp,False,False,False
2,0.6,0.0539926029741764,20,0.725728056992549,0.6811080135863103,0.7659105955163955,0.6541666666666667,1.0084957618125951,llmjp,False,False,False
2,0.7,0.0691498890519142,20,0.6988674214583133,0.6429776846003857,0.7481972814791414,0.6197916666666667,0.8323949236617999,llmjp,False,False,False
2,0.75,0.07871864549815652,20,0.6509037705748459,0.5916419506786651,0.7133301902365725,0.5937500000000001,0.8313854465456353,llmjp,False,False,False
2,0.8,0.095153622329235,20,0.624851713633472,0.5511666054862475,0.6873826672082886,0.5708333333333334,0.7870434628992874,llmjp,False,False,False
2,0.9,0.16353274136781687,20,0.5558688588662093,0.4896668526782583,0.6280497102310665,0.5375000000000002,0.710757063712515,llmjp,False,False,False
3,0.6,0.0539926029741764,20,0.6098365843763497,0.5417897822283917,0.678143718658041,0.525,1.4346277885962553,llmjp,False,False,False
3,0.7,0.0691498890519142,20,0.5546333894978565,0.4637883848075717,0.6319606059083342,0.4708333333333332,1.231088670464548,llmjp,True,True,True
3,0.75,0.07871864549815652,20,0.5107974049298027,0.4355104556022013,0.5765729368983232,0.4374999999999999,1.1650538839203333,llmjp,True,True,False
3,0.8,0.095153622329235,20,0.4878251958339209,0.4152028216519847,0.550686311743903,0.4208333333333333,1.074518653370028,llmjp,True,False,False
3,0.9,0.16353274136781687,20,0.4396634533941297,0.36472522975805954,0.5004297660562038,0.38749999999999996,0.896724236764172,llmjp,False,False,False
4,0.6,0.0539926029741764,20,0.5916388017684242,0.53173659634464,0.6425108717946229,0.503125,1.5015408910931494,llmjp,False,False,False
4,0.7,0.0691498890519142,20,0.5315244040265767,0.47148130920441966,0.5879026615623222,0.44999999999999996,1.2949668542546315,llmjp,True,True,False
4,0.75,0.07871864549815652,20,0.47014954168750545,0.40161042276006975,0.5330004349783191,0.40312499999999996,1.2618582578560553,llmjp,True,False,False
4,0.8,0.095153622329235,20,0.4160242571250351,0.34015664315918726,0.4804904843069397,0.35624999999999996,1.2251536462369526,llmjp,False,False,False
4,0.9,0.16353274136781687,20,0.3286337737517613,0.25110017713565447,0.41589206904784076,0.30312500000000003,1.074408532636995,llmjp,False,False,False
6,0.6,0.0539926029741764,20,0.44910972124943127,0.33220262939262596,0.5618707023120034,0.39583333333333337,2.0256191911274537,llmjp,False,False,False
6,0.7,0.0691498890519142,20,0.38420876068049126,0.2433957299286928,0.5021993916509301,0.3385416666666667,1.702178834742084,llmjp,False,False,False
6,0.75,0.07871864549815652,20,0.31504863113676596,0.2081569475715954,0.4304750961748268,0.28645833333333337,1.6312367526916969,llmjp,False,False,False
6,0.8,0.095153622329235,20,0.2964752074557445,0.1901281991965792,0.40591185410047925,0.26562500000000006,1.4759619304739466,llmjp,False,False,False
6,0.9,0.16353274136781687,20,0.25014844813749404,0.17455262697145657,0.33863265793274605,0.22395833333333331,1.2000110729941296,llmjp,False,False,False
8,0.6,0.0539926029741764,20,0.42675151806402034,0.329401522848847,0.5268192395265516,0.43124999999999997,2.107830127131284,llmjp,False,False,False
8,0.7,0.0691498890519142,20,0.3652539854984761,0.26942395087115517,0.4698827528915346,0.37291666666666673,1.754573891819829,llmjp,False,False,False
8,0.75,0.07871864549815652,20,0.2941793632927071,0.1986999538208432,0.39622164371015095,0.3145833333333333,1.6809376778325489,llmjp,False,False,False
8,0.8,0.095153622329235,20,0.24086853590055846,0.15170554616139448,0.33550830017779915,0.26354166666666673,1.5926221124115438,llmjp,False,False,False
8,0.9,0.16353274136781687,20,0.16651246831921962,0.10455093969446884,0.24251061466738613,0.17604166666666674,1.3338563676172523,llmjp,False,False,False
16,0.6,0.0539926029741764,20,0.4084020652111202,0.3176035175519377,0.507715049438046,0.42187499999999983,2.1753009199175044,llmjp,False,False,False
16,0.7,0.0691498890519142,20,0.3320259184963228,0.23191711992459615,0.44614743206387963,0.34374999999999983,1.8464233835939567,llmjp,False,False,False
16,0.75,0.07871864549815652,20,0.2514616186800893,0.15798925458722435,0.34557061576440323,0.2812499999999999,1.7826715500048864,llmjp,False,False,False
16,0.8,0.095153622329235,20,0.17442652817831628,0.09694413810099742,0.26599705990769723,0.20312499999999997,1.7320143200800697,llmjp,False,False,False
16,0.9,0.16353274136781687,20,0.11751079829870303,0.06179926552703016,0.18958976351234685,0.12500000000000003,1.412275284633252,llmjp,False,False,False
