block,tokens,bf16_us,per_expert_us,quantize_once_us
0,256,1311.7120265960693,3359.5199584960938,2500.063896179199
0,16,1231.935977935791,3256.160020828247,2386.336088180542
0,32,1223.904013633728,3202.752113342285,2385.8559131622314
0,8,1164.8319959640503,3070.2080726623535,2256.063938140869
0,128,1353.5360097885132,3354.3999195098877,2428.287982940674
0,64,1391.4239406585693,3317.023992538452,2474.8799800872803
1,128,1377.0560026168823,3376.768112182617,2489.824056625366
1,64,1383.3279609680176,3391.200065612793,2489.4399642944336
1,8,1185.5679750442505,3081.696033477783,2285.088062286377
1,16,1197.0239877700806,3261.535882949829,2436.448097229004
1,32,1238.271951675415,3187.455892562866,2406.752109527588
1,256,1276.4159440994263,3348.2561111450195,2435.904026031494
2,16,1210.2080583572388,3190.016031265259,2415.1999950408936
2,8,1149.2160558700562,3026.3679027557373,2279.616117477417
2,256,1267.0400142669678,3324.928045272827,2483.0079078674316
2,64,1348.863959312439,3263.200044631958,2454.240083694458
2,128,1364.3840551376343,3347.1360206604004,2414.911985397339
2,32,1187.1360540390015,3227.2961139678955,2357.1200370788574
3,16,1213.919997215271,3220.992088317871,2370.271921157837
3,64,1363.4560108184814,3267.040014266968,2423.935890197754
3,256,1258.1119537353516,3338.560104370117,2469.696044921875
3,8,1147.007942199707,3040.7040119171143,2247.0080852508545
3,32,1182.1759939193726,3257.7600479125977,2368.607997894287
3,128,1365.3440475463867,3312.096118927002,2419.5199012756348
4,8,1146.3680267333984,3023.263931274414,2288.288116455078
4,64,1349.4399785995483,3270.1120376586914,2486.560106277466
4,256,1263.9679908752441,3287.2960567474365,2440.2239322662354
4,128,1324.512004852295,3331.4239978790283,2430.2399158477783
4,16,1214.303970336914,3200.7360458374023,2373.311996459961
4,32,1193.2799816131592,3191.4238929748535,2367.1040534973145
5,64,1363.1360530853271,3234.879970550537,2436.9919300079346
5,32,1202.1119594573975,3183.93611907959,2391.968011856079
5,128,1353.760004043579,3308.9599609375,2443.455934524536
5,256,1261.2160444259644,3349.7281074523926,2465.5680656433105
5,16,1204.9599885940552,3232.0001125335693,2378.528118133545
5,8,1150.272011756897,3064.3200874328613,2255.0721168518066
