block,rows,bf16_linear_us,dynamic_fp8_linear_us,prequant_fp8_mm_us,quant_only_us
0,16,40.41599854826927,117.24799871444702,30.848000198602676,71.03999704122543
0,2048,38.46399858593941,96.25600278377533,23.80800060927868,74.46400076150894
0,1024,34.68799963593483,96.12800180912018,25.312000885605812,68.38399916887283
0,4096,61.02399900555611,97.88800030946732,31.71199932694435,69.24799829721451
0,2,27.424000203609467,85.63199639320374,23.455999791622162,65.43999910354614
0,8,24.064000695943832,97.50399738550186,26.528000831604004,65.24799764156342
0,32,27.583999559283257,91.93599969148636,28.00000086426735,67.03999638557434
0,4,39.103999733924866,89.82399851083755,25.151999667286873,68.9919963479042
0,512,29.055999591946602,89.47200328111649,22.71999977529049,71.6480016708374
0,64,24.768000468611717,92.76799857616425,27.103999629616737,65.34399837255478
0,1,28.64000014960766,85.34400165081024,23.16799946129322,65.37599861621857
0,256,25.82399919629097,95.71199864149094,23.135999217629433,69.69600170850754
0,128,24.000000208616257,85.91999858617783,22.71999977529049,65.15199691057205
1,8,25.151999667286873,91.23200178146362,26.944000273942947,64.57599997520447
1,16,24.671999737620354,86.496002972126,26.87999978661537,67.4239993095398
1,128,24.480000138282776,87.13600039482117,24.54400062561035,65.18399715423584
1,2,25.472000241279602,85.21600067615509,24.57600086927414,65.98400324583054
1,64,24.70399998128414,89.9519994854927,26.75200067460537,64.03200328350067
1,4096,61.216000467538834,96.83199971914291,33.344000577926636,69.85600292682648
1,2048,33.79200026392937,88.8959988951683,24.57600086927414,70.30399888753891
1,4,25.18399991095066,90.68799763917923,25.887999683618546,65.05600363016129
1,32,25.728000327944756,95.83999961614609,26.655999943614006,64.60800021886826
1,512,24.607999250292778,93.82399916648865,24.89599958062172,68.80000233650208
1,1024,32.99200162291527,90.52799642086029,25.439999997615814,69.50400024652481
1,1,25.151999667286873,85.1840004324913,23.04000034928322,67.35999882221222
1,256,25.79200081527233,90.4960036277771,22.911999374628067,71.48800045251846
2,128,24.89599958062172,84.16000008583069,24.447999894618988,67.19999760389328
2,2048,31.840000301599503,89.75999802350998,23.93599972128868,68.09599697589874
2,2,24.57600086927414,87.87199854850769,23.679999634623528,63.87200206518173
2,1,24.12799932062626,86.91199868917465,22.431999444961548,64.00000303983688
2,64,25.631999596953392,92.25600212812424,28.28799933195114,64.80000168085098
2,4,24.25600029528141,90.52799642086029,26.1439997702837,63.968002796173096
2,256,22.655999287962914,88.92799913883209,25.312000885605812,71.07199728488922
2,4096,60.95999851822853,92.03200042247772,30.7839997112751,68.2239979505539
2,8,22.463999688625336,86.94399893283844,27.871999889612198,67.61600077152252
2,512,26.1439997702837,95.87199985980988,23.455999791622162,69.40799951553345
2,32,24.831999093294144,86.7839977145195,25.119999423623085,65.11999666690826
2,16,24.768000468611717,86.62399649620056,26.847999542951584,67.64800101518631
2,1024,31.072000041604042,91.32800251245499,23.104000836610794,69.85600292682648
3,8,24.512000381946564,89.72799777984619,27.264000847935677,67.26399809122086
3,4096,60.35200133919716,97.85600006580353,32.127998769283295,69.76000219583511
3,32,23.711999878287315,88.86399865150452,24.86399933695793,65.5359998345375
3,1024,32.15999901294708,89.47200328111649,25.536000728607178,71.45600020885468
3,256,26.176000013947487,93.24800223112106,24.288000538945198,69.60000097751617
3,4,25.37599951028824,87.80799806118011,26.815999299287796,67.1359971165657
3,16,23.80800060927868,94.08000111579895,26.59199945628643,68.12799721956253
3,128,25.95200017094612,86.65599673986435,22.304000332951546,66.56000018119812
3,64,25.567999109625816,90.33600240945816,26.72000043094158,65.34399837255478
3,2,25.472000241279602,89.63199704885483,25.02400055527687,65.95200300216675
3,2048,37.248000502586365,90.2400016784668,24.383999407291412,72.25599884986877
3,1,24.351999163627625,87.45600283145905,25.98400041460991,70.39999961853027
3,512,25.18399991095066,94.65599805116653,23.679999634623528,72.03199714422226
4,4096,61.63199990987778,100.67199915647507,31.840000301599503,72.54400104284286
4,2,25.34399926662445,87.39200234413147,25.760000571608543,68.2239979505539
4,4,25.855999439954758,88.8959988951683,26.496000587940216,66.75200164318085
4,1024,31.87200054526329,96.57599776983261,24.831999093294144,72.51200079917908
4,128,25.05600079894066,87.8399983048439,22.6879995316267,67.6800012588501
4,256,24.25600029528141,93.6959981918335,23.615999147295952,71.9040036201477
4,1,24.54400062561035,86.59200370311737,24.288000538945198,66.04799628257751
4,16,25.05600079894066,91.5519967675209,26.335999369621277,68.54400038719177
4,2048,33.1839993596077,92.8959995508194,24.54400062561035,74.8480036854744
4,32,23.360000923275948,93.6959981918335,27.51999907195568,65.76000154018402
4,8,25.536000728607178,90.14400094747543,27.39199995994568,66.91200286149979
4,64,25.151999667286873,89.63199704885483,26.464000344276428,72.73600250482559
4,512,26.43200010061264,93.82399916648865,24.320000782608986,72.12799787521362
5,1,23.96799996495247,88.48000317811966,26.240000501275063,66.14399701356888
5,32,24.70399998128414,86.04799956083298,24.671999737620354,66.43199920654297
5,8,23.744000121951103,90.14400094747543,24.800000712275505,66.59200042486191
5,256,24.191999807953835,90.11200070381165,25.151999667286873,72.48000055551529
5,512,25.312000885605812,90.20800143480301,23.711999878287315,67.71200150251389
5,16,25.02400055527687,88.67199718952179,27.936000376939774,62.04799935221672
5,1024,31.295999884605408,89.6959975361824,23.48800003528595,68.83200258016586
5,2048,31.5839983522892,92.99200028181076,23.455999791622162,68.60800087451935
5,4,25.37599951028824,90.11200070381165,25.248000398278236,64.35199826955795
5,2,25.439999997615814,86.97599917650223,23.840000852942467,63.87200206518173
5,4096,60.447998344898224,95.29600292444229,31.295999884605408,71.99999690055847
5,64,25.95200017094612,89.08800035715103,26.784000918269157,65.24799764156342
5,128,25.119999423623085,84.99199897050858,24.12799932062626,64.15999680757523
6,1024,29.37600016593933,88.03199976682663,28.672000393271446,72.28799909353256
6,128,24.89599958062172,85.53600311279297,24.064000695943832,64.99200314283371
6,2048,31.840000301599503,89.56799656152725,23.264000192284584,68.83200258016586
6,256,24.89599958062172,89.15200084447861,25.312000885605812,68.06399673223495
6,64,23.584000766277313,89.37600255012512,27.55199931561947,63.32799792289734
6,8,25.919999927282333,86.36800199747086,26.784000918269157,65.47199934720993
6,16,22.495999932289124,87.3280018568039,27.456000447273254,66.14399701356888
6,4096,59.90400165319443,94.59199756383896,33.535998314619064,71.55200093984604
6,4,25.312000885605812,90.59199690818787,26.847999542951584,64.44799900054932
6,512,25.087999179959297,86.97599917650223,24.480000138282776,71.16799801588058
6,32,25.18399991095066,89.40800279378891,26.367999613285065,64.06400352716446
6,2,24.57600086927414,84.03199911117554,22.304000332951546,64.60800021886826
6,1,24.351999163627625,85.11999994516373,25.536000728607178,65.21599739789963
7,32,25.37599951028824,88.25600147247314,25.696000084280968,65.69600105285645
7,512,26.30399912595749,95.16800194978714,24.224000051617622,69.66400146484375
7,256,25.472000241279602,90.46400338411331,24.671999737620354,68.9919963479042
7,1024,33.02399814128876,88.16000074148178,24.512000381946564,70.04799693822861
7,16,25.887999683618546,85.56800335645676,26.559999212622643,65.85600227117538
7,8,23.104000836610794,90.17600119113922,27.008000761270523,64.70400094985962
7,2048,33.79200026392937,87.8399983048439,24.927999824285507,70.91200351715088
7,4096,61.08799949288368,94.65599805116653,32.6399989426136,68.57600063085556
7,2,25.18399991095066,89.05600011348724,23.104000836610794,64.09599632024765
7,1,25.02400055527687,86.62399649620056,23.744000121951103,69.82400268316269
7,4,25.37599951028824,87.2960016131401,26.016000658273697,65.37599861621857
7,64,23.520000278949738,87.87199854850769,26.208000257611275,67.45599955320358
7,128,25.312000885605812,84.41600203514099,22.463999688625336,67.03999638557434
8,128,24.57600086927414,86.94399893283844,24.447999894618988,64.96000289916992
8,8,23.840000852942467,89.40800279378891,26.559999212622643,63.58399987220764
8,64,25.18399991095066,86.14400029182434,26.815999299287796,65.31199812889099
8,2,24.992000311613083,82.30400085449219,23.296000435948372,64.99200314283371
8,256,22.71999977529049,88.79999816417694,22.431999444961548,70.52800059318542
8,32,24.86399933695793,83.5840031504631,25.919999927282333,64.44799900054932
8,4,24.73600022494793,89.6959975361824,26.016000658273697,65.05600363016129
8,1024,33.24799984693527,91.36000275611877,22.943999618291855,68.41599941253662
8,16,24.89599958062172,87.55200356245041,27.96800062060356,65.88800251483917
