block,rows,first_arm,bf16_us,fp8_us
0,16,BF16,109.15199667215347,199.8080015182495
0,2048,BF16,105.18400371074677,823.2319951057434
0,1024,BF16,99.80800002813339,443.90401244163513
0,4096,BF16,159.64800119400024,1553.2159805297852
0,2,BF16,95.04000097513199,146.2080031633377
0,8,BF16,84.16000008583069,150.04800260066986
0,32,BF16,82.11199939250946,147.16799557209015
0,4,BF16,81.18399977684021,149.63200688362122
0,512,BF16,85.9839990735054,252.48000025749207
0,64,BF16,83.74399691820145,145.79200744628906
0,1,FP8,88.83199840784073,153.21600437164307
0,256,BF16,73.98399710655212,176.54399573802948
0,128,BF16,81.34400099515915,140.54399728775024
1,4,FP8,89.9839997291565,147.07200229167938
1,1,BF16,72.51200079917908,148.3519971370697
1,16,FP8,85.85599809885025,141.50400459766388
1,256,FP8,83.03999900817871,169.18399930000305
1,64,FP8,81.34400099515915,143.5520052909851
1,2,FP8,83.8719978928566,142.2400027513504
1,128,FP8,80.38400113582611,138.84800672531128
1,2048,FP8,95.96800059080124,810.2080225944519
1,8,FP8,82.87999778985977,145.4080045223236
1,1024,FP8,95.07200121879578,435.84001064300537
1,32,FP8,82.71999657154083,153.85599434375763
1,4096,FP8,156.51200711727142,1542.3359870910645
1,512,FP8,82.36800134181976,256.48000836372375
2,4096,BF16,151.74399316310883,1535.4880094528198
2,128,BF16,81.08799904584885,138.047993183136
2,512,BF16,80.4160013794899,249.34400618076324
2,8,BF16,79.64800298213959,141.88799262046814
2,32,BF16,79.8719972372055,140.3840035200119
2,2048,BF16,94.11200135946274,809.1840147972107
2,64,BF16,83.0719992518425,147.5840061903
2,1,FP8,82.56000280380249,137.69599795341492
2,256,BF16,70.56000083684921,173.3119934797287
2,2,BF16,80.19199967384338,133.05599987506866
2,4,BF16,79.1039988398552,138.5280042886734
2,1024,BF16,90.62399715185165,434.01598930358887
2,16,BF16,80.38400113582611,140.6400054693222
3,4,FP8,86.91199868917465,138.91200721263885
3,8,FP8,79.45600152015686,141.56800508499146
3,1024,FP8,91.48799628019333,435.42400002479553
3,512,FP8,82.30400085449219,253.76001000404358
3,1,BF16,75.58400183916092,149.9200016260147
3,16,FP8,83.48800241947174,136.6720050573349
3,128,FP8,81.11999928951263,136.51199638843536
3,64,FP8,79.99999821186066,139.96799290180206
3,256,FP8,80.4160013794899,164.67200219631195
3,32,FP8,78.97599786520004,139.00800049304962
3,2,FP8,80.4160013794899,133.40799510478973
3,4096,FP8,157.18400478363037,1541.5040254592896
3,2048,FP8,94.40000355243683,811.743974685669
4,1024,BF16,81.37600123882294,437.44000792503357
4,2048,BF16,89.9519994854927,807.6800107955933
4,4096,BF16,158.36800634860992,1541.4079427719116
4,32,BF16,83.42400193214417,148.8640010356903
4,8,BF16,87.26400136947632,142.65599846839905
4,128,BF16,80.89599758386612,136.25599443912506
4,1,FP8,81.53600245714188,134.5279961824417
4,4,BF16,70.20799815654755,144.28800344467163
4,256,BF16,80.70400357246399,174.43199455738068
4,2,BF16,80.22399991750717,133.215993642807
4,512,BF16,80.38400113582611,253.66398692131042
4,64,BF16,81.15199953317642,141.9840008020401
4,16,BF16,78.46400141716003,138.5599970817566
5,8,FP8,82.87999778985977,137.95199990272522
5,16,FP8,78.84799689054489,137.60000467300415
5,128,FP8,79.23199981451035,133.760005235672
5,2,FP8,81.24800026416779,130.17599284648895
5,64,FP8,83.16799998283386,142.11200177669525
5,4096,FP8,158.62399339675903,1540.7359600067139
5,2048,FP8,92.6399976015091,810.4640245437622
5,4,FP8,81.79199695587158,145.28000354766846
5,32,FP8,79.1039988398552,139.48799669742584
5,512,FP8,80.38400113582611,251.19999051094055
5,1024,FP8,88.79999816417694,433.4399998188019
5,1,BF16,72.9919970035553,156.67200088500977
5,256,FP8,93.31200271844864,169.0559983253479
6,16,BF16,73.95199686288834,150.4639983177185
6,4096,BF16,160.76800227165222,1550.5919456481934
6,1024,BF16,91.87199920415878,435.13599038124084
6,8,BF16,80.64000308513641,143.93599331378937
6,512,BF16,81.216000020504,254.07999753952026
6,2,BF16,79.93599772453308,138.87999951839447
6,64,BF16,80.73599636554718,150.33599734306335
6,4,BF16,80.25600016117096,141.02399349212646
6,2048,BF16,92.47999638319016,805.184006690979
6,128,BF16,80.25600016117096,137.31199502944946
6,1,FP8,82.62400329113007,135.903999209404
6,32,BF16,71.71200215816498,154.11199629306793
6,256,BF16,82.62400329113007,169.18399930000305
7,2,FP8,90.11200070381165,128.86400520801544
7,8,FP8,80.28800040483475,139.74399864673615
7,256,FP8,79.64800298213959,166.49599373340607
7,4096,FP8,157.56799280643463,1535.6800556182861
7,2048,FP8,94.11200135946274,810.9760284423828
7,128,FP8,81.91999793052673,140.00000059604645
7,32,FP8,80.35200089216232,140.25600254535675
7,512,FP8,83.55200290679932,252.57599353790283
7,16,FP8,80.44800162315369,148.70400726795197
7,64,FP8,80.4160013794899,147.0080018043518
7,4,FP8,79.39200103282928,140.1280015707016
7,1,BF16,69.05599683523178,141.15199446678162
7,1024,FP8,98.30400347709656,431.551992893219
8,128,BF16,72.64000177383423,144.19199526309967
8,256,BF16,79.32800054550171,166.84800386428833
8,1,FP8,80.79999685287476,129.7599971294403
8,16,BF16,70.43199986219406,145.4399973154068
8,2048,BF16,93.82399916648865,804.1279911994934
8,512,BF16,81.79199695587158,250.7840096950531
8,4,BF16,79.68000322580338,140.9599930047989
8,8,BF16,79.39200103282928,138.84800672531128
8,1024,BF16,91.23200178146362,436.6079866886139
8,4096,BF16,159.84000265598297,1547.584056854248
8,32,BF16,83.61600339412689,143.61600577831268
8,64,BF16,81.727996468544,141.88799262046814
8,2,BF16,80.92799782752991,133.08799266815186
9,1,BF16,80.22399991750717,139.52000439167023
9,8,FP8,87.39200234413147,141.82400703430176
9,1024,FP8,92.0960009098053,435.64799427986145
9,64,FP8,81.02399855852127,142.752006649971
9,2,FP8,79.45600152015686,131.71200454235077
9,2048,FP8,94.68799829483032,804.6079874038696
9,512,FP8,82.30400085449219,252.76800990104675
9,16,FP8,79.39200103282928,140.70400595664978
9,4,FP8,79.3600007891655,137.92000710964203
9,4096,FP8,156.8319946527481,1539.4560098648071
9,32,FP8,79.8719972372055,151.07199549674988
9,128,FP8,80.22399991750717,139.71200585365295
9,256,FP8,80.48000186681747,176.86399817466736
10,32,BF16,71.77600264549255,146.17599546909332
10,2,BF16,81.60000294446945,132.64000415802002
10,512,BF16,81.66400343179703,253.12000513076782
10,128,BF16,78.62400263547897,134.49600338935852
10,256,BF16,78.5600021481514,162.04799711704254
10,8,BF16,79.13599908351898,138.11199367046356
10,4096,BF16,157.6640009880066,1532.863974571228
10,4,BF16,78.8159966468811,138.65600526332855
10,16,BF16,85.82399785518646,144.99199390411377
10,1,FP8,81.91999793052673,131.99999928474426
10,2048,BF16,87.39200234413147,808.1920146942139
10,1024,BF16,89.6959975361824,438.52800130844116
10,64,BF16,81.98399841785431,142.752006649971
11,4,FP8,83.36000144481659,134.17600095272064
11,2,FP8,80.19199967384338,133.66399705410004
11,16,FP8,79.26400005817413,137.56799697875977
11,4096,FP8,158.75199437141418,1536.0959768295288
11,64,FP8,82.33600109815598,154.4319987297058
11,256,FP8,80.44800162315369,170.23999989032745
11,8,FP8,79.19999957084656,142.752006649971
11,128,FP8,80.06399869918823,135.1040005683899
11,2048,FP8,93.9520001411438,810.0159764289856
11,32,FP8,81.4720019698143,140.83200693130493
11,512,FP8,80.6720033288002,254.2400062084198
11,1,BF16,71.1359977722168,140.79999923706055
11,1024,FP8,96.54399752616882,432.6080083847046
12,1,FP8,84.06399935483932,149.79200065135956
12,64,BF16,73.7600028514862,158.01599621772766
12,4,BF16,80.76799660921097,142.46399700641632
12,16,BF16,78.84799689054489,139.16799426078796
12,8,BF16,79.03999835252762,137.82399892807007
12,2048,BF16,92.44800359010696,806.1439990997314
12,32,BF16,79.16799932718277,138.7840062379837
12,2,BF16,79.93599772453308,130.62399625778198
12,4096,BF16,158.4320068359375,1537.984013557434
12,256,BF16,84.57600325345993,176.67199671268463
12,1024,BF16,93.82399916648865,438.400000333786
12,512,BF16,80.60800284147263,251.0400116443634
12,128,BF16,79.9039974808693,136.99199259281158
13,32,FP8,83.39200168848038,136.22400164604187
13,128,FP8,79.45600152015686,136.1600011587143
13,2048,FP8,92.67199784517288,808.2559704780579
13,64,FP8,82.33600109815598,141.40799641609192
13,4096,FP8,158.4639996290207,1536.3199710845947
13,8,FP8,79.8719972372055,144.896000623703
13,1024,FP8,92.54399687051773,435.42400002479553
13,512,FP8,80.9599980711937,254.07999753952026
13,1,BF16,71.71200215816498,150.27199685573578
13,256,FP8,87.0399996638298,168.64000260829926
13,2,FP8,79.99999821186066,135.5839967727661
13,16,FP8,81.24800026416779,142.7839994430542
13,4,FP8,81.79199695587158,139.23199474811554
14,8,BF16,73.56800138950348,150.9760022163391
14,256,BF16,80.54400235414505,168.7999963760376
14,1024,BF16,93.40800344944,434.30399894714355
14,4,BF16,81.53600245714188,141.40799641609192
14,512,BF16,81.24800026416779,252.9599964618683
14,4096,BF16,159.2639982700348,1541.8239831924438
14,16,BF16,87.3280018568039,149.56800639629364
14,32,BF16,79.8719972372055,153.3759981393814
14,128,BF16,83.03999900817871,141.34399592876434
14,64,BF16,81.95199817419052,142.7839994430542
14,2,BF16,80.92799782752991,134.2719942331314
14,1,FP8,82.20800012350082,133.02400708198547
14,2048,BF16,85.1840004324913,808.2240223884583
15,32,FP8,87.74399757385254,140.25600254535675
15,1024,FP8,94.52799707651138,437.75999546051025
15,256,FP8,82.56000280380249,170.97599804401398
15,16,FP8,79.48800176382065,146.08000218868256
15,512,FP8,80.64000308513641,258.84801149368286
15,64,FP8,82.65600353479385,153.43999862670898
15,4096,FP8,161.9199961423874,1544.8960065841675
15,4,FP8,86.17600053548813,151.19999647140503
15,2,FP8,79.68000322580338,132.64000415802002
15,8,FP8,80.22399991750717,140.73599874973297
15,128,FP8,81.11999928951263,143.10400187969208
15,2048,FP8,96.38399630784988,803.1039834022522
15,1,BF16,71.23199850320816,159.84000265598297
16,1,FP8,87.67999708652496,119.77600306272507
16,256,BF16,75.16799867153168,173.5360026359558
16,64,BF16,82.20800012350082,142.87999272346497
16,1024,BF16,94.17600184679031,437.72798776626587
16,32,BF16,81.7599967122078,142.59199798107147
