block,rows,first_arm,bf16_us,fp8_us
0,16,BF16,108.31999778747559,216.70399606227875
0,2048,BF16,192.57600605487823,248.86399507522583
0,1024,BF16,134.0479999780655,209.53600108623505
0,4096,BF16,339.4559919834137,372.96000123023987
0,2,BF16,84.25600081682205,191.29599630832672
0,8,BF16,81.82399719953537,184.57600474357605
0,32,BF16,89.47200328111649,183.77600610256195
0,4,BF16,82.24000036716461,198.2080042362213
0,512,BF16,107.87200182676315,188.25599551200867
0,64,BF16,89.34400230646133,184.28799510002136
0,1,FP8,90.04800021648407,172.95999825000763
0,256,BF16,85.1840004324913,189.95200097560883
0,128,BF16,84.32000130414963,195.80799341201782
1,4,FP8,87.48800307512283,177.2480010986328
1,1,BF16,70.592001080513,160.12799739837646
1,16,FP8,83.8719978928566,177.37600207328796
1,256,FP8,91.23200178146362,172.7679967880249
1,64,FP8,86.81599795818329,179.9039989709854
1,2,FP8,82.24000036716461,182.52800405025482
1,128,FP8,82.5280025601387,190.91199338436127
1,2048,FP8,190.43199717998505,231.1359941959381
1,8,FP8,81.28000050783157,182.52800405025482
1,1024,FP8,123.23199957609177,173.75999689102173
1,32,FP8,91.45600348711014,195.96800208091736
1,4096,FP8,336.0320031642914,371.67999148368835
1,512,FP8,100.35199671983719,180.57599663734436
2,4096,BF16,328.67199182510376,369.9840009212494
2,128,BF16,80.76799660921097,183.3920031785965
2,512,BF16,99.67999905347824,181.08800053596497
2,8,BF16,94.04800087213516,210.27199923992157
2,32,BF16,93.34400296211243,185.88800728321075
2,2048,BF16,188.86399269104004,229.91999983787537
2,64,BF16,88.60799670219421,189.2479956150055
2,1,FP8,84.35200154781342,151.32799744606018
2,256,BF16,83.36000144481659,181.60000443458557
2,2,BF16,81.28000050783157,183.29599499702454
2,4,BF16,80.19199967384338,186.49600446224213
2,1024,BF16,127.07200646400452,179.74400520324707
2,16,BF16,81.24800026416779,182.78400599956512
3,4,FP8,83.5840031504631,170.52799463272095
3,8,FP8,80.35200089216232,176.70400440692902
3,1024,FP8,123.9359974861145,174.04800653457642
3,512,FP8,101.56799852848053,175.04000663757324
3,1,BF16,71.32799923419952,170.04799842834473
3,16,FP8,88.28800171613693,184.06400084495544
3,128,FP8,83.55200290679932,185.08799374103546
3,64,FP8,85.85599809885025,180.89599907398224
3,256,FP8,90.40000289678574,174.14399981498718
3,32,FP8,88.86399865150452,180.16000092029572
3,2,FP8,82.36800134181976,183.26400220394135
3,4096,FP8,335.1359963417053,370.91198563575745
3,2048,FP8,189.43999707698822,229.76000607013702
4,1024,BF16,117.5680011510849,179.77599799633026
4,2048,BF16,186.75200641155243,226.81599855422974
4,4096,BF16,336.1920118331909,364.6720051765442
4,32,BF16,93.28000247478485,189.05599415302277
4,8,BF16,79.71200346946716,180.92800676822662
4,128,BF16,85.79199761152267,199.68000054359436
4,1,FP8,91.77599847316742,150.87999403476715
4,4,BF16,72.80000299215317,188.09600174427032
4,256,BF16,93.79199892282486,176.4480024576187
4,2,BF16,81.11999928951263,179.3919950723648
4,512,BF16,100.99200159311295,185.7600063085556
4,64,BF16,93.98400038480759,186.62400543689728
4,16,BF16,82.17599987983704,177.44000256061554
5,8,FP8,87.2960016131401,172.89599776268005
5,16,FP8,78.62400263547897,176.54399573802948
5,128,FP8,88.57599645853043,173.40800166130066
5,2,FP8,82.0159986615181,184.7359985113144
5,64,FP8,89.9519994854927,176.86399817466736
5,4096,FP8,340.2239978313446,369.05598640441895
5,2048,FP8,190.11199474334717,228.7680059671402
5,4,FP8,83.93599838018417,185.7600063085556
5,32,FP8,90.36800265312195,183.52000415325165
5,512,FP8,100.92800110578537,177.0240068435669
5,1024,FP8,125.18399953842163,174.84800517559052
5,1,BF16,72.51200079917908,161.8880033493042
5,256,FP8,104.86400127410889,177.98399925231934
6,16,BF16,73.69600236415863,203.5519927740097
6,4096,BF16,342.6879942417145,373.63201379776
6,1024,BF16,125.50400197505951,176.256000995636
6,8,BF16,83.0719992518425,184.03199315071106
6,512,BF16,101.15200281143188,177.3120015859604
6,2,BF16,81.44000172615051,190.43199717998505
6,64,BF16,91.96799993515015,182.3039948940277
6,4,BF16,81.02399855852127,180.51199615001678
6,2048,BF16,187.8719925880432,242.62399971485138
6,128,BF16,90.46400338411331,186.52799725532532
6,1,FP8,84.73599702119827,150.2079963684082
6,32,BF16,80.54400235414505,192.51200556755066
6,256,BF16,97.43999689817429,187.55200505256653
7,2,FP8,89.47200328111649,177.15199291706085
7,8,FP8,81.85599744319916,189.31199610233307
7,256,FP8,91.16800129413605,176.1920005083084
7,4096,FP8,338.8800024986267,368.22399497032166
7,2048,FP8,189.05599415302277,226.78400576114655
7,128,FP8,85.11999994516373,195.16800343990326
7,32,FP8,89.31200206279755,185.05600094795227
7,512,FP8,101.47199779748917,178.68800461292267
7,16,FP8,81.05599880218506,184.86399948596954
7,64,FP8,95.77599912881851,178.97599935531616
7,4,FP8,81.95199817419052,181.95199966430664
7,1,BF16,70.97599655389786,157.27999806404114
7,1024,FP8,138.5280042886734,178.56000363826752
8,128,BF16,75.39200037717819,193.4400051832199
8,256,BF16,95.07200121879578,180.35200238227844
8,1,FP8,86.07999980449677,146.40000462532043
8,16,BF16,73.15199822187424,193.53599846363068
8,2048,BF16,189.63199853897095,231.77599906921387
8,512,BF16,100.28800368309021,181.92000687122345
8,4,BF16,82.5280025601387,182.75199830532074
8,8,BF16,80.35200089216232,180.09600043296814
8,1024,BF16,126.0479986667633,175.6799966096878
8,4096,BF16,337.7920091152191,366.65600538253784
8,32,BF16,92.06400066614151,185.92000007629395
8,64,BF16,109.95200276374817,215.29600024223328
8,2,BF16,88.32000195980072,195.0400024652481
9,1,BF16,83.20000022649765,159.16800498962402
9,8,FP8,88.8959988951683,187.8719925880432
9,1024,FP8,128.76799702644348,182.8799992799759
9,64,FP8,95.29600292444229,187.96800076961517
9,2,FP8,82.46400207281113,190.40000438690186
9,2048,FP8,189.63199853897095,229.312002658844
9,512,FP8,101.40799731016159,175.29599368572235
9,16,FP8,81.66400343179703,188.73600661754608
9,4,FP8,79.16799932718277,177.5359958410263
9,4096,FP8,338.8479948043823,364.80000615119934
9,32,FP8,91.13600105047226,179.83999848365784
9,128,FP8,82.49600231647491,188.48000466823578
9,256,FP8,90.91199934482574,175.77600479125977
10,32,BF16,77.69600301980972,185.47199666500092
10,2,BF16,79.96799796819687,179.6479970216751
10,512,BF16,100.89600086212158,177.47199535369873
10,128,BF16,80.76799660921097,178.0479997396469
10,256,BF16,89.34400230646133,175.55199563503265
10,8,BF16,83.00799876451492,194.0159946680069
