block,rows,first_arm,bf16_us,fp8_us
0,256,BF16,90.84799885749817,292.4160063266754
0,16,BF16,79.23199981451035,275.64799785614014
0,4,BF16,73.72800260782242,269.8560059070587
0,2,BF16,75.26399940252304,253.4399926662445
0,64,BF16,74.07999783754349,266.400009393692
0,8,BF16,73.31199944019318,264.44798707962036
0,32,BF16,71.87200337648392,264.6400034427643
0,1,FP8,73.11999797821045,257.6639950275421
0,128,BF16,68.44799965620041,265.0879919528961
1,256,FP8,73.15199822187424,266.7520046234131
1,64,FP8,73.02399724721909,264.8000121116638
1,32,FP8,71.03999704122543,263.10399174690247
1,4,FP8,80.79999685287476,266.975998878479
1,128,FP8,73.31199944019318,271.263986825943
1,2,FP8,71.55200093984604,255.77598810195923
1,1,BF16,67.9360032081604,257.24801421165466
1,16,FP8,72.28799909353256,259.16799902915955
1,8,FP8,70.75200229883194,263.264000415802
2,16,BF16,66.52799993753433,262.2720003128052
2,1,FP8,69.95200365781784,245.08799612522125
2,256,BF16,68.25599819421768,272.44800329208374
2,64,BF16,72.57600128650665,262.62399554252625
2,128,BF16,70.52800059318542,260.3519856929779
2,8,BF16,71.6480016708374,267.3279941082001
2,2,BF16,71.10399752855301,252.25600600242615
2,4,BF16,70.62400132417679,262.2720003128052
2,32,BF16,70.04799693822861,258.36798548698425
3,16,FP8,72.80000299215317,266.4960026741028
3,128,FP8,71.74400240182877,259.552001953125
3,256,FP8,70.72000205516815,269.1839933395386
3,8,FP8,69.7920024394989,261.4719867706299
3,32,FP8,69.60000097751617,264.44798707962036
3,4,FP8,69.31199878454208,259.0720057487488
3,64,FP8,71.10399752855301,261.6319954395294
3,1,BF16,66.49599969387054,261.6960108280182
3,2,FP8,72.06399738788605,247.80799448490143
4,4,BF16,66.6240006685257,265.6959891319275
4,256,BF16,71.99999690055847,274.6239900588989
4,128,BF16,69.82400268316269,258.0159902572632
4,1,FP8,70.30399888753891,247.16800451278687
4,64,BF16,67.35999882221222,263.808012008667
4,8,BF16,69.40799951553345,261.4400088787079
4,16,BF16,69.92000341415405,261.21601462364197
4,32,BF16,70.43199986219406,266.9120132923126
4,2,BF16,70.30399888753891,250.71999430656433
5,4,FP8,71.96799665689468,261.31200790405273
5,64,FP8,70.75200229883194,262.1760070323944
5,32,FP8,69.31199878454208,261.24799251556396
5,2,FP8,70.56000083684921,251.42401456832886
5,1,BF16,66.11199676990509,251.2960135936737
5,128,FP8,71.68000191450119,256.22400641441345
5,256,FP8,72.03199714422226,268.5120105743408
5,16,FP8,71.03999704122543,262.4639868736267
5,8,FP8,69.08799707889557,259.8080039024353
6,8,BF16,65.95200300216675,260.51199436187744
6,2,BF16,71.03999704122543,251.64800882339478
6,4,BF16,74.94399696588516,264.2560005187988
6,128,BF16,71.96799665689468,260.22401452064514
6,1,FP8,70.20799815654755,247.55200743675232
6,256,BF16,67.00800359249115,269.1200077533722
6,16,BF16,72.51200079917908,264.99199867248535
6,32,BF16,69.98399645090103,261.28000020980835
6,64,BF16,70.17599791288376,261.7279887199402
7,8,FP8,70.78400254249573,258.7519884109497
7,16,FP8,70.43199986219406,260.8639895915985
7,256,FP8,70.56000083684921,266.1759853363037
7,64,FP8,70.91200351715088,259.68000292778015
7,128,FP8,70.592001080513,265.31198620796204
7,1,BF16,65.5680000782013,255.23200631141663
7,32,FP8,72.60800153017044,258.432000875473
7,2,FP8,70.68800181150436,250.59199333190918
7,4,FP8,69.98399645090103,257.9199969768524
8,8,BF16,66.75200164318085,260.09601354599
8,256,BF16,71.45600020885468,267.551988363266
8,16,BF16,70.20799815654755,264.95999097824097
8,64,BF16,72.12799787521362,261.0880136489868
8,32,BF16,69.21599805355072,261.85598969459534
8,2,BF16,71.00799679756165,250.97599625587463
8,4,BF16,69.50400024652481,265.8880054950714
8,128,BF16,70.91200351715088,256.6399872303009
8,1,FP8,70.62400132417679,247.48800694942474
9,64,FP8,72.73600250482559,261.28000020980835
9,256,FP8,70.39999961853027,264.44798707962036
9,16,FP8,69.72800195217133,260.76799631118774
9,32,FP8,68.64000111818314,259.3280076980591
9,4,FP8,70.56000083684921,259.5199942588806
9,8,FP8,68.09599697589874,258.7519884109497
9,2,FP8,69.76000219583511,249.34400618076324
9,1,BF16,65.63200056552887,253.50400805473328
9,128,FP8,71.96799665689468,261.24799251556396
10,256,BF16,65.47199934720993,270.04799246788025
10,64,BF16,73.37599992752075,259.10401344299316
10,32,BF16,70.11199742555618,262.14399933815
10,4,BF16,69.98399645090103,259.10401344299316
10,8,BF16,68.15999746322632,264.0959918498993
10,1,FP8,69.24799829721451,246.65600061416626
10,128,BF16,67.45599955320358,261.05600595474243
10,2,BF16,70.46400010585785,249.59999322891235
10,16,BF16,69.24799829721451,258.7839961051941
11,256,FP8,72.25599884986877,269.0559923648834
11,64,FP8,71.3919997215271,266.9439911842346
11,1,BF16,65.88800251483917,252.83199548721313
11,16,FP8,69.56800073385239,259.2960000038147
11,4,FP8,70.04799693822861,259.5840096473694
11,128,FP8,69.7920024394989,257.6639950275421
11,2,FP8,69.5360004901886,251.0719895362854
11,32,FP8,69.40799951553345,260.6079876422882
11,8,FP8,69.60000097751617,257.24801421165466
12,8,BF16,65.34399837255478,258.5279941558838
12,1,FP8,68.92800331115723,246.3040053844452
12,32,BF16,65.95200300216675,263.3279860019684
12,64,BF16,70.3359991312027,270.8800137042999
12,2,BF16,71.07199728488922,249.7279942035675
12,16,BF16,69.023996591568,261.1840069293976
12,4,BF16,69.82400268316269,258.62398743629456
12,128,BF16,69.95200365781784,258.8160037994385
12,256,BF16,70.49600034952164,267.36000180244446
13,256,FP8,71.87200337648392,264.95999097824097
13,2,FP8,71.10399752855301,253.1839907169342
13,16,FP8,70.88000327348709,261.59998774528503
13,128,FP8,70.81600278615952,261.02399826049805
13,1,BF16,65.66400080919266,251.48800015449524
13,8,FP8,71.3919997215271,264.3519937992096
