block,rows,first_arm,bf16_us,fp8_us
0,256,BF16,110.30399799346924,297.2800135612488
0,16,BF16,82.56000280380249,276.8000066280365
0,4,BF16,80.12799918651581,281.823992729187
0,2,BF16,76.31999999284744,276.5440046787262
0,64,BF16,85.60000360012054,280.0639867782593
0,8,BF16,75.39200037717819,270.08000016212463
0,32,BF16,81.34400099515915,272.99201488494873
0,1,FP8,75.9039968252182,266.04801416397095
0,128,BF16,70.43199986219406,283.26401114463806
1,256,FP8,87.80799806118011,277.8240144252777
1,64,FP8,81.79199695587158,292.1600043773651
1,32,FP8,80.25600016117096,270.9760069847107
1,4,FP8,77.63200253248215,277.72799134254456
1,128,FP8,76.48000121116638,283.55199098587036
1,2,FP8,73.11999797821045,266.27200841903687
1,1,BF16,76.9599974155426,270.1759934425354
1,16,FP8,72.73600250482559,260.76799631118774
1,8,FP8,73.79200309515,267.2959864139557
2,16,BF16,67.52000004053116,268.5759961605072
2,1,FP8,72.4480003118515,261.4719867706299
2,256,BF16,83.5840031504631,289.18400406837463
2,64,BF16,84.3840017914772,278.656005859375
2,128,BF16,73.95199686288834,276.6079902648926
2,8,BF16,73.69600236415863,266.9120132923126
2,2,BF16,72.03199714422226,267.07199215888977
2,4,BF16,72.4480003118515,264.8000121116638
2,32,BF16,82.65600353479385,272.5439965724945
3,16,FP8,73.37599992752075,259.7759962081909
3,128,FP8,72.9919970035553,275.7120132446289
3,256,FP8,84.16000008583069,270.27198672294617
3,8,FP8,81.216000020504,267.64801144599915
3,32,FP8,82.75199681520462,274.6559977531433
3,4,FP8,73.18399846553802,270.9760069847107
3,64,FP8,80.19199967384338,276.0320007801056
3,1,BF16,68.03199648857117,270.33600211143494
3,2,FP8,74.65600222349167,260.0640058517456
4,4,BF16,68.57600063085556,272.09600806236267
4,256,BF16,86.27200126647949,280.89600801467896
4,128,BF16,73.31199944019318,277.9519855976105
4,1,FP8,72.89600372314453,262.59198784828186
4,64,BF16,75.6160020828247,275.2639949321747
4,8,BF16,73.21599870920181,278.2079875469208
