block,rows,first_arm,bf16_us,fp8_us
0,16,BF16,98.08000177145004,244.1920042037964
0,2048,BF16,94.08000111579895,222.20799326896667
0,1024,BF16,86.33600175380707,209.34399962425232
0,4096,BF16,153.9199948310852,207.0080041885376
0,2,BF16,76.60800218582153,201.56799256801605
0,8,BF16,74.49600100517273,209.05600488185883
0,32,BF16,75.00799745321274,205.9520035982132
0,4,BF16,80.83199709653854,204.54399287700653
0,512,BF16,76.99199765920639,205.76000213623047
0,64,BF16,74.78400319814682,203.45599949359894
0,1,FP8,77.27999985218048,194.91200149059296
0,256,BF16,71.23199850320816,213.47199380397797
0,128,BF16,74.52800124883652,203.77600193023682
1,4,FP8,75.03999769687653,202.55999267101288
1,1,BF16,67.96800345182419,194.240003824234
1,16,FP8,72.67200201749802,196.9279944896698
1,256,FP8,72.48000055551529,205.47200739383698
1,64,FP8,73.47200065851212,201.75999402999878
1,2,FP8,73.88799637556076,199.13600385189056
1,128,FP8,79.48800176382065,203.5519927740097
1,2048,FP8,86.81599795818329,210.91200411319733
1,8,FP8,73.88799637556076,208.38400721549988
1,1024,FP8,83.48800241947174,206.2399983406067
1,32,FP8,71.99999690055847,205.9839963912964
1,4096,FP8,153.4080058336258,204.44799959659576
1,512,FP8,74.52800124883652,210.62399446964264
2,4096,BF16,150.4960060119629,212.54399418830872
2,128,BF16,76.83199644088745,204.3839991092682
2,512,BF16,74.52800124883652,203.77600193023682
2,8,BF16,73.63200187683105,205.02400398254395
2,32,BF16,73.18399846553802,203.2639980316162
2,2048,BF16,87.16800063848495,211.5519940853119
2,64,BF16,73.60000163316727,204.67199385166168
2,1,FP8,74.11199808120728,189.2479956150055
2,256,BF16,67.84000247716904,205.6960016489029
2,2,BF16,72.64000177383423,192.28799641132355
2,4,BF16,70.62400132417679,202.72000133991241
2,1024,BF16,84.32000130414963,203.42400670051575
2,16,BF16,72.31999933719635,200.03199577331543
3,4,FP8,73.15199822187424,198.04799556732178
3,8,FP8,70.94399631023407,199.5840072631836
3,1024,FP8,78.72000336647034,201.53599977493286
3,512,FP8,72.12799787521362,200.06400346755981
3,1,BF16,67.58400052785873,195.00799477100372
3,16,FP8,77.53600180149078,197.79199361801147
3,128,FP8,71.16799801588058,200.1280039548874
3,64,FP8,74.62400197982788,200.44800639152527
3,256,FP8,74.07999783754349,201.664000749588
3,32,FP8,72.38399982452393,202.01599597930908
3,2,FP8,72.12799787521362,192.7040070295334
3,4096,FP8,152.12799608707428,204.57600057125092
3,2048,FP8,85.28000116348267,205.24799823760986
4,1024,BF16,79.83999699354172,227.4239957332611
4,2048,BF16,91.36000275611877,237.56800591945648
4,4096,BF16,152.76800096035004,205.02400398254395
4,32,BF16,74.40000027418137,207.48800039291382
4,8,BF16,72.06399738788605,216.8000042438507
4,128,BF16,73.27999919652939,200.19200444221497
4,1,FP8,72.95999675989151,191.55199825763702
4,4,BF16,69.21599805355072,204.73599433898926
4,256,BF16,73.27999919652939,209.18400585651398
4,2,BF16,74.23999905586243,194.59199905395508
4,512,BF16,74.65600222349167,202.97600328922272
4,64,BF16,71.74400240182877,203.0400037765503
4,16,BF16,71.16799801588058,200.32000541687012
5,8,FP8,72.51200079917908,198.59200716018677
5,16,FP8,69.43999975919724,200.8640021085739
5,128,FP8,72.41600006818771,199.8399943113327
5,2,FP8,71.96799665689468,192.7040070295334
5,64,FP8,79.3600007891655,201.08799636363983
5,4096,FP8,152.96000242233276,209.6319943666458
5,2048,FP8,85.7279971241951,206.14400506019592
5,4,FP8,74.5920017361641,205.47200739383698
5,32,FP8,70.46400010585785,203.87199521064758
5,512,FP8,73.95199686288834,206.08000457286835
5,1024,FP8,81.66400343179703,203.61599326133728
5,1,BF16,70.01599669456482,200.41599869728088
5,256,FP8,73.60000163316727,209.27999913692474
6,16,BF16,70.01599669456482,207.16799795627594
6,4096,BF16,157.24800527095795,205.08800446987152
6,1024,BF16,82.84799754619598,201.82399451732635
6,8,BF16,73.15199822187424,204.3199986219406
6,512,BF16,74.65600222349167,202.65600085258484
6,2,BF16,73.47200065851212,194.36800479888916
6,64,BF16,72.89600372314453,201.24800503253937
6,4,BF16,71.29599899053574,201.24800503253937
6,2048,BF16,85.24800091981888,203.2960057258606
6,128,BF16,71.35999947786331,197.6960003376007
6,1,FP8,71.77600264549255,187.04000115394592
6,32,BF16,68.54400038719177,201.27999782562256
6,256,BF16,71.99999690055847,200.03199577331543
7,2,FP8,72.03199714422226,189.2479956150055
7,8,FP8,71.35999947786331,199.77599382400513
7,256,FP8,72.41600006818771,201.34399831295013
7,4096,FP8,152.70400047302246,203.93599569797516
7,2048,FP8,84.03199911117554,204.96000349521637
7,128,FP8,71.61600142717361,202.2400051355362
7,32,FP8,72.25599884986877,204.48000729084015
7,512,FP8,72.89600372314453,202.5279998779297
7,16,FP8,70.65600156784058,204.12799715995789
7,64,FP8,70.72000205516815,203.96800339221954
7,4,FP8,71.35999947786331,202.4960070848465
7,1,BF16,68.7360018491745,196.83200120925903
7,1024,FP8,83.39200168848038,198.97599518299103
8,128,BF16,69.40799951553345,203.10400426387787
8,256,BF16,73.34399968385696,201.9519954919815
8,1,FP8,70.88000327348709,190.528005361557
8,16,BF16,67.391999065876,208.38400721549988
8,2048,BF16,86.94399893283844,207.2959989309311
8,512,BF16,73.40800017118454,202.62399315834045
8,4,BF16,72.60800153017044,203.16800475120544
8,8,BF16,71.71200215816498,200.19200444221497
8,1024,BF16,79.83999699354172,201.7280012369156
8,4096,BF16,156.031996011734,206.33600652217865
8,32,BF16,74.72000271081924,203.3279985189438
