block,rows,first_arm,bf16_us,fp8_us
0,16,BF16,96.54399752616882,233.98399353027344
0,2048,BF16,188.54400515556335,235.3920042514801
0,1024,BF16,122.84799665212631,211.5200012922287
0,4096,BF16,332.99198746681213,310.016006231308
0,2,BF16,73.85600358247757,209.21599864959717
0,8,BF16,74.23999905586243,206.30399882793427
0,32,BF16,82.78399705886841,206.59199357032776
0,4,BF16,72.89600372314453,203.13599705696106
0,512,BF16,97.75999933481216,212.67199516296387
0,64,BF16,79.99999821186066,213.59999477863312
0,1,FP8,74.91199672222137,200.70399343967438
0,256,BF16,81.15199953317642,207.35999941825867
0,128,BF16,73.69600236415863,208.28799903392792
1,4,FP8,72.80000299215317,202.27199792861938
1,1,BF16,67.23199784755707,204.51200008392334
1,16,FP8,74.5920017361641,199.48799908161163
1,256,FP8,88.70399743318558,204.3199986219406
1,64,FP8,79.83999699354172,207.45599269866943
1,2,FP8,73.34399968385696,209.6319943666458
1,128,FP8,72.31999933719635,206.84799551963806
1,2048,FP8,184.89600718021393,219.84000504016876
1,8,FP8,71.48800045251846,206.01600408554077
1,1024,FP8,119.03999745845795,205.47200739383698
1,32,FP8,77.98399776220322,210.55999398231506
1,4096,FP8,333.15199613571167,320.25599479675293
1,512,FP8,94.94400024414062,201.82399451732635
2,4096,BF16,327.7760148048401,310.59199571609497
2,128,BF16,71.80800288915634,209.18400585651398
2,512,BF16,95.87199985980988,202.5279998779297
2,8,BF16,72.09599763154984,203.2639980316162
2,32,BF16,79.68000322580338,208.99200439453125
2,2048,BF16,186.0799938440323,218.52800250053406
2,64,BF16,80.48000186681747,207.90399610996246
2,1,FP8,74.5600014925003,199.8720020055771
2,256,BF16,79.99999821186066,208.639994263649
2,2,BF16,72.06399738788605,201.9519954919815
2,4,BF16,71.19999825954437,200.73600113391876
2,1024,BF16,120.06399780511856,205.56800067424774
2,16,BF16,70.20799815654755,198.65599274635315
3,4,FP8,73.66400212049484,200.32000541687012
3,8,FP8,70.01599669456482,200.41599869728088
3,1024,FP8,119.4240003824234,202.14399695396423
3,512,FP8,96.67199850082397,209.9519968032837
3,1,BF16,67.4239993095398,204.12799715995789
3,16,FP8,72.60800153017044,194.33599710464478
3,128,FP8,73.2479989528656,212.0320051908493
3,64,FP8,78.65600287914276,205.24799823760986
3,256,FP8,82.20800012350082,201.05600357055664
3,32,FP8,77.53600180149078,204.83200252056122
3,2,FP8,70.23999840021133,200.00000298023224
3,4096,FP8,336.8319869041443,320.41600346565247
3,2048,FP8,182.68799781799316,217.40800142288208
4,1024,BF16,118.9119964838028,210.01599729061127
4,2048,BF16,184.1599941253662,223.00800681114197
4,4096,BF16,334.9440097808838,310.07999181747437
4,32,BF16,81.08799904584885,206.36799931526184
4,8,BF16,70.94399631023407,198.55999946594238
4,128,BF16,72.83200323581696,205.85599541664124
4,1,FP8,72.51200079917908,197.56799936294556
4,4,BF16,67.35999882221222,203.87199521064758
4,256,BF16,83.26400071382523,207.519993185997
4,2,BF16,73.60000163316727,202.4960070848465
4,512,BF16,95.77599912881851,201.53599977493286
4,64,BF16,80.73599636554718,206.08000457286835
4,16,BF16,71.77600264549255,207.48800039291382
5,8,FP8,73.40800017118454,197.11999595165253
5,16,FP8,70.94399631023407,198.2399970293045
5,128,FP8,71.77600264549255,204.19199764728546
5,2,FP8,70.97599655389786,198.40000569820404
5,64,FP8,77.2159993648529,204.0639966726303
5,4096,FP8,331.6799998283386,315.5519962310791
5,2048,FP8,183.77600610256195,219.87199783325195
