model,base_strategy,candidate_signal_strategy,n_docs,spearman_rho,p_value
olmoe,fixed_tail4,kl_profile_3_5,32,0.75,7.750968362937215e-07
olmoe,fixed_tail4,p95_profile_3_5,32,0.752932551319648,6.635454678926701e-07
olmoe,fixed_tail4,gate_mass_profile_3_5,32,0.8526392961876832,5.842784033363457e-10
olmoe,fixed_tail4,anti_kl_profile_3_5,32,0.8526392961876832,5.842784033363457e-10
olmoe,fixed_tail4,kl_profile_2_4_6,32,0.8101173020527858,1.9374917391002988e-08
llmjp,fixed_tail8,kl_profile_7_9,32,0.9765395894428152,1.4555609622538478e-21
llmjp,fixed_tail8,p95_profile_7_9,32,0.9794721407624633,2.0025881439323286e-22
llmjp,fixed_tail8,gate_mass_profile_7_9,32,0.9791055718475072,2.605191314984601e-22
llmjp,fixed_tail8,anti_kl_profile_7_9,32,0.9849706744868034,1.9334149138486542e-24
llmjp,fixed_tail8,kl_profile_6_8_10,32,0.9842375366568914,3.930883405362915e-24
