model,base_strategy,quota_frac,quota_m,baseline_p95_kl,baseline_max_kl,baseline_mean_kl,oracle_p95_kl,oracle_mean_kl,random_p95_kl_mean,random_p95_kl_std,random_mean_kl_mean,oracle_p95_reduction_pct,random_p95_reduction_pct,oracle_advantage_over_random_pp,proxy_signal_strategy,proxy_realized_p95_kl,proxy_realized_p95_reduction_pct
olmoe,fixed_tail4,0.1,3,0.014909472029040093,0.0238333313088668,0.007394324062978891,0.008703929036855695,0.005705439868481649,0.01398866674641391,0.0016514328839582018,0.006705541270404924,41.6214804930549,6.175975117245425,35.445505375809475,gate_mass_profile_3_5,0.008703929036855695,41.6214804930549
olmoe,fixed_tail4,0.15,5,0.014909472029040093,0.0238333313088668,0.007394324062978891,0.008490079466993525,0.00513571445489666,0.013504657937695345,0.0019190936558093916,0.006263990780446782,43.05580069866407,9.42229267816128,33.63350802050279,gate_mass_profile_3_5,0.008692687973380075,41.69687594269741
olmoe,fixed_tail4,0.25,8,0.014909472029040093,0.0238333313088668,0.007394324062978891,0.007825047799203564,0.004333526226689206,0.012686690122667533,0.002215025264093129,0.005562892824835386,47.51626493572516,14.90852192514337,32.60774301058179,gate_mass_profile_3_5,0.008692687973380075,41.69687594269741
olmoe,fixed_tail4,0.35,11,0.014909472029040093,0.0238333313088668,0.007394324062978891,0.00690398146127882,0.0035856401828807155,0.011725302162114912,0.0022674411699637816,0.004862277947382638,53.69399098887263,21.356690972847183,32.33730001602545,gate_mass_profile_3_5,0.008470248368590364,43.18881076343721
olmoe,fixed_tail4,0.5,16,0.014909472029040093,0.0238333313088668,0.007394324062978891,0.005863460695023885,0.0025329606459253092,0.010428127874119668,0.0021017394576290493,0.0036909742117286807,60.67291528765564,30.05702781555133,30.61588747210431,gate_mass_profile_3_5,0.0076801745880108185,48.48795065947559
llmjp,fixed_tail8,0.1,3,0.04185575757707861,0.0475368738174438,0.023126180991937084,0.03225302410125726,0.01901611145449048,0.040903650603124,0.0016040800005918056,0.020919642541174583,22.942443361914144,2.2747335828321225,20.66770977908202,anti_kl_profile_7_9,0.03225302410125726,22.942443361914144
llmjp,fixed_tail8,0.15,5,0.04185575757707861,0.0475368738174438,0.023126180991937084,0.031558003633252986,0.016852848416689697,0.04023692341600138,0.002261924153287232,0.019493960292076437,24.602956773299354,3.8676498880616306,20.735306885237726,anti_kl_profile_7_9,0.031797060132026614,24.031813129958547
llmjp,fixed_tail8,0.25,8,0.04185575757707861,0.0475368738174438,0.023126180991937084,0.02850619401006892,0.013874892017848828,0.039015725726431895,0.002898263331081007,0.017314336980837716,31.894210832108516,6.785283590714397,25.10892724139412,anti_kl_profile_7_9,0.02850619401006892,31.894210832108516
llmjp,fixed_tail8,0.35,11,0.04185575757707861,0.0475368738174438,0.023126180991937084,0.026051230397489293,0.011118307940758475,0.03788260478992201,0.0033168068498099306,0.015187812560056501,37.75950572746131,9.49248805218713,28.267017675274175,anti_kl_profile_7_9,0.026051230397489293,37.75950572746131
llmjp,fixed_tail8,0.5,16,0.04185575757707861,0.0475368738174438,0.023126180991937084,0.019306982575722418,0.007196927435772438,0.03547607613132921,0.003538343043336542,0.011527949619885269,53.872576454582045,15.242064210643013,38.63051224393903,anti_kl_profile_7_9,0.019306982575722418,53.872576454582045
