mode,rows,hidden,pack_us,unpack_us,h2d_us,codec_total_us_p50,codec_total_us_p95,break_even_gbps,net_delta_us_200gbps_p50,net_delta_us_200gbps_p95
homo_fp8,32,512,24.192,23.424,11.232,58.848,58.848,2.2098966829798807,-58.19776,-58.19776
homo_int4,32,512,23.488,23.392,11.296,58.175999999999995,58.175999999999995,3.3619361936193624,-57.19808,-57.19808
homo_fp8,128,512,23.984,23.392,11.392,58.768,58.768,8.851619929213177,-56.16704,-56.16704
homo_int4,128,512,23.328,23.296,11.232,57.855999999999995,57.855999999999995,13.522123893805311,-53.94432,-53.94432
homo_fp8,512,512,24.08,23.296,11.04,58.416,58.416,35.61983018351137,-48.01216,-48.01216
homo_int4,512,512,23.312,23.296,11.168,57.776,57.776,54.16338964275824,-42.12928000000001,-42.12928000000001
homo_fp8,2048,512,24.128,23.68,23.52,71.328,71.328,116.68730372364288,-29.712640000000015,-29.712640000000015
homo_int4,2048,512,23.504,23.616,14.08,61.2,61.2,204.53228758169936,1.3868799999999908,1.3868799999999908
homo_fp8,32,2048,24.192,23.584,11.264,59.03999999999999,59.03999999999999,8.862872628726288,-56.42367999999999,-56.42367999999999
homo_int4,32,2048,23.328,23.232,11.2,57.760000000000005,57.760000000000005,13.597783933518006,-53.83296000000001,-53.83296000000001
homo_fp8,128,2048,23.968,23.296,11.072,58.336,58.336,35.87931980252331,-47.87072,-47.87072
homo_int4,128,2048,23.424,23.44,11.232,58.096,58.096,54.076562930322225,-42.38784,-42.38784
homo_fp8,512,2048,24.192,23.36,23.424,70.976,70.976,117.9585211902615,-29.114880000000007,-29.114880000000007
homo_int4,512,2048,23.68,23.52,13.984,61.184000000000005,61.184000000000005,205.3891213389121,1.6486399999999932,1.6486399999999932
homo_fp8,2048,2048,24.192,23.296,79.232,126.72,126.72,264.27474747474747,40.72447999999997,40.72447999999997
homo_int4,2048,2048,23.424,23.648,42.048,89.12,89.12,564.0272890484739,162.21056,162.21056
incr_fp8_to_int4,32,512,23.488,23.392,11.296,58.175999999999995,58.175999999999995,1.1265126512651267,-57.848319999999994,-57.848319999999994
incr_fp8_to_int4,32,2048,23.328,23.232,11.2,57.760000000000005,57.760000000000005,4.538504155124653,-56.44928,-56.44928
incr_fp8_to_int4,128,512,23.328,23.296,11.232,57.855999999999995,57.855999999999995,4.5309734513274345,-56.54527999999999,-56.54527999999999
incr_fp8_to_int4,128,2048,23.424,23.44,11.232,58.096000000000004,58.096000000000004,18.049022307904156,-52.853120000000004,-52.853120000000004
incr_fp8_to_int4,512,512,23.312,23.296,11.168,57.776,57.776,18.14898919966768,-52.533120000000004,-52.533120000000004
incr_fp8_to_int4,512,2048,23.68,23.52,13.984,61.184000000000005,61.184000000000005,68.55230125523012,-40.21248,-40.21248
incr_fp8_to_int4,2048,512,23.504,23.616,14.08,61.2,61.2,68.53437908496733,-40.228480000000005,-40.228480000000005
incr_fp8_to_int4,2048,2048,23.424,23.648,42.048,89.12,89.12,188.25421903052066,-5.233919999999998,-5.233919999999998
