mode,rows,hidden,baseline_wire_bytes,policy_wire_bytes,pack_us_p50,pack_us_p95,unpack_us_p50,unpack_us_p95,h2d_us_p50,h2d_us_p95,codec_total_us_p50,codec_total_us_p95,pack_us,unpack_us,h2d_us,break_even_gbps,timing_source,p95_note,baseline_wire_us_100gbps,policy_wire_us_100gbps,net_delta_us_100gbps_p50,net_delta_us_100gbps_p95,baseline_wire_us_200gbps,policy_wire_us_200gbps,net_delta_us_200gbps_p50,net_delta_us_200gbps_p95,baseline_wire_us_400gbps,policy_wire_us_400gbps,net_delta_us_400gbps_p50,net_delta_us_400gbps_p95,baseline_wire_us_800gbps,policy_wire_us_800gbps,net_delta_us_800gbps_p50,net_delta_us_800gbps_p95,note
baseline_bf16,32,512,32768.0,32768.0,0.0,0.0,0.0,0.0,11.328,11.328,0.0,0.0,0.0,0.0,11.328,0.0,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,2.62144,2.62144,0.0,0.0,1.31072,1.31072,0.0,0.0,0.6553599999999999,0.6553599999999999,0.0,0.0,0.3276799999999999,0.3276799999999999,0.0,0.0,
homo_fp8,32,512,32768.0,16512.0,24.192,24.192,23.424,23.424,11.232,11.232,58.848,58.848,24.192,23.424,11.232,2.2098966829798807,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,2.62144,1.32096,-57.54752,-57.54752,1.31072,0.6604800000000001,-58.19776,-58.19776,0.6553599999999999,0.33024,-58.52288,-58.52288,0.3276799999999999,0.16512,-58.68544,-58.68544,
homo_int4,32,512,32768.0,8320.0,23.488,23.488,23.392,23.392,11.296,11.296,58.175999999999995,58.175999999999995,23.488,23.392,11.296,3.3619361936193624,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,2.62144,0.6656000000000001,-56.22015999999999,-56.22015999999999,1.31072,0.3328,-57.19808,-57.19808,0.6553599999999999,0.1664,-57.68704,-57.68704,0.3276799999999999,0.0832,-57.93151999999999,-57.93151999999999,
baseline_bf16,128,512,131072.0,131072.0,0.0,0.0,0.0,0.0,11.232,11.232,0.0,0.0,0.0,0.0,11.232,0.0,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,10.48576,10.48576,0.0,0.0,5.2428799999999995,5.2428799999999995,0.0,0.0,2.62144,2.62144,0.0,0.0,1.31072,1.31072,0.0,0.0,
homo_fp8,128,512,131072.0,66048.0,23.984,23.984,23.392,23.392,11.392,11.392,58.768,58.768,23.984,23.392,11.392,8.851619929213177,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,10.48576,5.2838400000000005,-53.56608,-53.56608,5.2428799999999995,2.6419200000000003,-56.16704,-56.16704,2.62144,1.32096,-57.46752,-57.46752,1.31072,0.6604800000000001,-58.11776,-58.11776,
homo_int4,128,512,131072.0,33280.0,23.328,23.328,23.296,23.296,11.232,11.232,57.855999999999995,57.855999999999995,23.328,23.296,11.232,13.522123893805311,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,10.48576,2.6624000000000003,-50.032639999999994,-50.032639999999994,5.2428799999999995,1.3312000000000002,-53.94432,-53.94432,2.62144,0.6656000000000001,-55.90015999999999,-55.90015999999999,1.31072,0.3328,-56.87808,-56.87808,
baseline_bf16,512,512,524288.0,524288.0,0.0,0.0,0.0,0.0,13.952,13.952,0.0,0.0,0.0,0.0,13.952,0.0,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,41.94304,41.94304,0.0,0.0,20.97152,20.97152,0.0,0.0,10.48576,10.48576,0.0,0.0,5.2428799999999995,5.2428799999999995,0.0,0.0,
homo_fp8,512,512,524288.0,264192.0,24.08,24.08,23.296,23.296,11.04,11.04,58.416,58.416,24.08,23.296,11.04,35.61983018351137,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,41.94304,21.13536,-37.608320000000006,-37.608320000000006,20.97152,10.56768,-48.01216,-48.01216,10.48576,5.2838400000000005,-53.21408,-53.21408,5.2428799999999995,2.6419200000000003,-55.81504,-55.81504,
homo_int4,512,512,524288.0,133120.0,23.312,23.312,23.296,23.296,11.168,11.168,57.776,57.776,23.312,23.296,11.168,54.16338964275824,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,41.94304,10.6496,-26.482560000000007,-26.482560000000007,20.97152,5.324800000000001,-42.12928000000001,-42.12928000000001,10.48576,2.6624000000000003,-49.95264,-49.95264,5.2428799999999995,1.3312000000000002,-53.864320000000006,-53.864320000000006,
baseline_bf16,2048,512,2097152.0,2097152.0,0.0,0.0,0.0,0.0,42.08,42.08,0.0,0.0,0.0,0.0,42.08,0.0,autodl_rtx5090_stdout_p50_2026-07-21,p95 columns mirrored from p50 because full sample arrays were not re-fetched,167.77216,167.77216,0.0,0.0,83.88607999999999,83.88607999999999,0.0,0.0,41.94304,41.94304,0.0,0.0,20.97152,20.97152,0.0,0.0,
