steps_csv,arm,tax_mode,n_steps,n_steps_with_low,n_blocked,block_rate_among_low,orig_net_mean_us,orig_net_p50_us,orig_net_p95_us,hardgate_net_mean_us,hardgate_net_p50_us,unblocked_acted_net_median_us,codec_unit_us,tile_scale,lookup_rows,lookup_hidden,lookup_mode
outputs/receiver_task_quality_llmjp_cpu_batch64_n128_2026-07-21/controller_balanced_steps.csv,controller_balanced,once_per_step,32,30,6,0.2,10.986655000000004,15.329280000000011,29.80096000000001,12.642560000000003,15.329280000000011,16.435200000000002,57.855999999999995,0.25,128,512,homo_int4
outputs/receiver_task_quality_llmjp_cpu_batch64_n128_2026-07-21/controller_balanced_steps.csv,controller_balanced,serialized_tiles,32,30,30,1.0,-19116.749345,-21801.261599999998,-3697.3544960000045,0.0,0.0,,57.855999999999995,0.25,128,512,homo_int4
outputs/receiver_task_quality_llmjp_cpu_batch64_n128_2026-07-21/controller_hotspot_steps.csv,controller_hotspot,once_per_step,32,31,0,0.0,184.12128,188.3392,214.286848,184.12128,188.3392,188.83584000000002,57.855999999999995,0.25,128,512,homo_int4
outputs/receiver_task_quality_llmjp_cpu_batch64_n128_2026-07-21/controller_hotspot_steps.csv,controller_hotspot,serialized_tiles,32,31,31,1.0,-15698.70672,-16233.45408,-14509.270272,0.0,0.0,,57.855999999999995,0.25,128,512,homo_int4
outputs/receiver_task_quality_llmjp_cpu_batch64_n128_2026-07-21/causal_no_hysteresis_balanced_steps.csv,causal_no_hysteresis_balanced,once_per_step,32,31,26,0.8387096774193549,-14.870244999999995,-9.813599999999994,10.256719999999987,2.0136150000000006,0.0,5.917279999999991,57.855999999999995,0.25,128,512,homo_int4
outputs/receiver_task_quality_llmjp_cpu_batch64_n128_2026-07-21/causal_no_hysteresis_balanced_steps.csv,causal_no_hysteresis_balanced,serialized_tiles,32,31,31,1.0,-14136.706245,-15354.137039999998,-8819.8198,0.0,0.0,,57.855999999999995,0.25,128,512,homo_int4
outputs/receiver_task_quality_llmjp_cpu_batch64_n128_2026-07-21/causal_no_hysteresis_hotspot_steps.csv,causal_no_hysteresis_hotspot,once_per_step,32,31,0,0.0,184.12608,188.3392,214.268416,184.12608,188.3392,188.83584000000002,57.855999999999995,0.25,128,512,homo_int4
outputs/receiver_task_quality_llmjp_cpu_batch64_n128_2026-07-21/causal_no_hysteresis_hotspot_steps.csv,causal_no_hysteresis_hotspot,serialized_tiles,32,31,31,1.0,-15772.377919999999,-16247.3344,-15211.390207999999,0.0,0.0,,57.855999999999995,0.25,128,512,homo_int4
outputs/receiver_task_quality_llmjp_cpu_batch64_n128_2026-07-21/calib_static_balanced_steps.csv,calib_static_balanced,once_per_step,32,32,32,1.0,-36.302654999999994,-37.825439999999986,-14.198271999999982,0.0,0.0,,57.855999999999995,0.25,128,512,homo_int4
outputs/receiver_task_quality_llmjp_cpu_batch64_n128_2026-07-21/calib_static_balanced_steps.csv,calib_static_balanced,serialized_tiles,32,32,32,1.0,-9357.898654999999,-9339.369359999999,-8905.6032,0.0,0.0,,57.855999999999995,0.25,128,512,homo_int4
outputs/receiver_task_quality_llmjp_cpu_batch64_n128_2026-07-21/calib_static_hotspot_steps.csv,calib_static_hotspot,once_per_step,32,32,0,0.0,190.94432,189.47072000000003,217.209344,190.94432,189.47072000000003,189.47072000000003,57.855999999999995,0.25,128,512,homo_int4
outputs/receiver_task_quality_llmjp_cpu_batch64_n128_2026-07-21/calib_static_hotspot_steps.csv,calib_static_hotspot,serialized_tiles,32,32,32,1.0,-14706.07168,-14653.322239999998,-13785.470975999999,0.0,0.0,,57.855999999999995,0.25,128,512,homo_int4
outputs/receiver_task_quality_llmjp_cpu_batch64_n128_2026-07-21/uniform_low_balanced_steps.csv,uniform_low_balanced,once_per_step,32,32,0,0.0,23.592000000000006,24.02304000000001,34.200064000000005,23.592000000000006,24.02304000000001,24.02304000000001,57.855999999999995,0.25,128,512,homo_int4
outputs/receiver_task_quality_llmjp_cpu_batch64_n128_2026-07-21/uniform_low_balanced_steps.csv,uniform_low_balanced,serialized_tiles,32,32,32,1.0,-22603.979999999996,-22573.02016,-21781.78816,0.0,0.0,,57.855999999999995,0.25,128,512,homo_int4
outputs/receiver_task_quality_llmjp_cpu_batch64_n128_2026-07-21/uniform_low_hotspot_steps.csv,uniform_low_hotspot,once_per_step,32,32,0,0.0,190.94464,189.48095999999998,217.203712,190.94464,189.48095999999998,189.48095999999998,57.855999999999995,0.25,128,512,homo_int4
outputs/receiver_task_quality_llmjp_cpu_batch64_n128_2026-07-21/uniform_low_hotspot_steps.csv,uniform_low_hotspot,serialized_tiles,32,32,32,1.0,-22603.41536,-22497.30304,-21565.665792,0.0,0.0,,57.855999999999995,0.25,128,512,homo_int4
