phase,batch_size,module_name,samples,latency_median_ms,latency_p95_ms,layer_index,share_of_sum_of_layer_medians
decode,1,model.layers.0.block_sparse_moe,48,2.3875041008,2.42066397667,0,0.0641658388977
decode,1,model.layers.1.block_sparse_moe,48,2.34724807739,2.38647998571,1,0.0630839301748
decode,1,model.layers.2.block_sparse_moe,48,2.3345760107,2.38829430342,2,0.062743359539
decode,1,model.layers.3.block_sparse_moe,48,2.33124792576,2.36832003593,3,0.0626539149335
decode,1,model.layers.4.block_sparse_moe,48,2.32110404968,2.34775042534,4,0.0623812911848
decode,1,model.layers.5.block_sparse_moe,48,2.32507205009,2.36460963488,5,0.062487933965
decode,1,model.layers.6.block_sparse_moe,48,2.3151999712,2.34877275229,6,0.0622226149552
decode,1,model.layers.7.block_sparse_moe,48,2.32012796402,2.36724963188,7,0.0623550582014
decode,1,model.layers.8.block_sparse_moe,48,2.31676805019,2.36138879061,8,0.0622647581725
decode,1,model.layers.9.block_sparse_moe,48,2.31356799603,2.35607528687,9,0.0621787544835
decode,1,model.layers.10.block_sparse_moe,48,2.3147200346,2.37081120014,10,0.0622097163241
decode,1,model.layers.11.block_sparse_moe,48,2.32078397274,2.36124960184,11,0.0623726888935
decode,1,model.layers.12.block_sparse_moe,48,2.3159840107,2.35035836697,12,0.0622436865638
decode,1,model.layers.13.block_sparse_moe,48,2.31387197971,2.35056970119,13,0.0621869242572
decode,1,model.layers.14.block_sparse_moe,48,2.31087994576,2.36968164444,14,0.0621065112565
decode,1,model.layers.15.block_sparse_moe,48,2.31967997551,2.36008962393,15,0.0623430181975
decode,4,model.layers.0.block_sparse_moe,48,4.25679993629,4.63563995361,0,0.0630651377417
decode,4,model.layers.1.block_sparse_moe,48,4.29446411133,4.70222241879,1,0.0636231382167
decode,4,model.layers.2.block_sparse_moe,48,4.37768006325,4.59490709305,2,0.0648559951864
decode,4,model.layers.3.block_sparse_moe,48,4.37281608582,4.81421780586,3,0.0647839346218
decode,4,model.layers.4.block_sparse_moe,48,4.38153600693,4.79007854462,4,0.0649131215778
decode,4,model.layers.5.block_sparse_moe,48,4.39895987511,4.64459505081,5,0.0651712588319
decode,4,model.layers.6.block_sparse_moe,48,4.03359985352,4.56619198322,6,0.0597583946072
decode,4,model.layers.7.block_sparse_moe,48,4.2112159729,4.64397602081,7,0.062389804399
decode,4,model.layers.8.block_sparse_moe,48,4.05718398094,4.38433754444,8,0.0601077970379
decode,4,model.layers.9.block_sparse_moe,48,4.05675196648,4.37019371986,9,0.0601013966779
decode,4,model.layers.10.block_sparse_moe,48,4.29395198822,4.61799218655,10,0.0636155510351
decode,4,model.layers.11.block_sparse_moe,48,4.08332800865,4.38279025555,11,0.0604951247801
decode,4,model.layers.12.block_sparse_moe,48,4.16224002838,4.4844686985,12,0.0616642183406
decode,4,model.layers.13.block_sparse_moe,48,4.07364797592,4.51271679401,13,0.0603517136247
decode,4,model.layers.14.block_sparse_moe,48,4.23056006432,4.64484796524,14,0.062676390052
decode,4,model.layers.15.block_sparse_moe,48,4.21372818947,4.64009754658,15,0.0624270232691
decode,8,model.layers.0.block_sparse_moe,48,4.59545612335,4.91166892052,0,0.0621454225341
decode,8,model.layers.1.block_sparse_moe,48,4.71275210381,4.87451672554,1,0.0637316433729
decode,8,model.layers.2.block_sparse_moe,48,4.7108001709,4.84999685287,2,0.06370524693
decode,8,model.layers.3.block_sparse_moe,48,4.77836799622,4.85891680717,3,0.064618982355
decode,8,model.layers.4.block_sparse_moe,48,4.776720047,4.83692481518,4,0.0645966967542
decode,8,model.layers.5.block_sparse_moe,48,4.66836810112,4.8326608181,5,0.0631314281763
decode,8,model.layers.6.block_sparse_moe,48,4.37619185448,4.80807023048,6,0.0591802608025
decode,8,model.layers.7.block_sparse_moe,48,4.59510421753,4.7902030468,7,0.0621406636297
decode,8,model.layers.8.block_sparse_moe,48,4.51070380211,4.77409436703,8,0.0609992971717
decode,8,model.layers.9.block_sparse_moe,48,4.50590395927,4.77181606293,9,0.0609343877801
decode,8,model.layers.10.block_sparse_moe,48,4.66420793533,4.8205902338,10,0.0630751692863
decode,8,model.layers.11.block_sparse_moe,48,4.49657583237,4.7834880352,11,0.0608082413493
decode,8,model.layers.12.block_sparse_moe,48,4.60556793213,4.85906074047,12,0.0622821668772
decode,8,model.layers.13.block_sparse_moe,48,4.51116800308,4.81457428932,13,0.0610055746695
decode,8,model.layers.14.block_sparse_moe,48,4.68876791,4.82116310596,14,0.0634072995389
decode,8,model.layers.15.block_sparse_moe,48,4.75015997887,4.9549441576,15,0.0642375187723
