arm_natural,phase,batch_size,prompt_len,repeat,seed,decode_step,latency_ms_natural,tokens_processed_natural,goodput_tokens_per_s_natural,arm_synthetic,latency_ms_synthetic,tokens_processed_synthetic,goodput_tokens_per_s_synthetic,natural_over_synthetic
natural,prefill,1,128,0,20270728,-1,89.9798431396,128,1422.54082174,synthetic,83.3015060425,128,1536.58686476,1.08017066455
natural,decode,1,128,0,20270728,0,43.948638916,1,22.7538332168,synthetic,43.6096954346,1,22.9306806671,1.00777220474
natural,decode,1,128,0,20270728,1,43.9389762878,1,22.7588370163,synthetic,43.3963508606,1,23.0434121803,1.01250394138
natural,decode,1,128,0,20270728,2,45.1593589783,1,22.1438041333,synthetic,43.9381446838,1,22.759267766,1.02779394313
natural,decode,1,128,0,20270728,3,48.6684150696,1,20.5472070247,synthetic,43.7520637512,1,22.8560647033,1.11236844384
natural,decode,1,128,0,20270728,4,43.6700782776,1,22.8989742964,synthetic,43.3948478699,1,23.0442102942,1.00634246739
natural,decode,1,128,0,20270728,5,43.7388153076,1,22.8629877825,synthetic,43.6188163757,1,22.9258857321,1.0027510818
natural,decode,1,128,0,20270728,6,43.554561615,1,22.9597076155,synthetic,48.2370872498,1,20.7309366509,0.902926857699
natural,decode,1,128,0,20270728,7,43.0024337769,1,23.2544977614,synthetic,43.5874557495,1,22.9423806186,0.986578203233
natural,decode,1,128,0,20270728,8,43.1237106323,1,23.1890991136,synthetic,43.5379219055,1,22.9684825603,0.990486195595
natural,decode,1,128,0,20270728,9,42.8417282104,1,23.3417287717,synthetic,43.9091835022,1,22.774279097,0.975689475262
natural,decode,1,128,0,20270728,10,47.5163841248,1,21.0453724209,synthetic,43.5968322754,1,22.9374463191,1.08990451014
natural,decode,1,128,0,20270728,11,43.1044807434,1,23.199444298,synthetic,43.495136261,1,22.9910763815,0.991018409157
natural,decode,1,128,0,20270728,12,43.3235206604,1,23.0821499443,synthetic,47.960193634,1,20.8506247416,0.903322471777
natural,decode,1,128,0,20270728,13,43.3296012878,1,23.078910728,synthetic,43.9884490967,1,22.7332406697,0.985022254197
natural,decode,1,128,0,20270728,14,43.9185905457,1,22.7694010116,synthetic,43.6965446472,1,22.8851047165,1.00508154364
natural,decode,1,128,0,20270728,15,43.350528717,1,23.0677694043,synthetic,43.764831543,1,22.8493967586,0.990533430352
natural,prefill,1,128,1,20270829,-1,83.1855010986,128,1538.72968618,synthetic,83.0078048706,128,1542.02367114,1.00214071711
natural,decode,1,128,1,20270829,0,46.7406387329,1,21.3946584195,synthetic,42.9817276001,1,23.2657004694,1.08745370051
natural,decode,1,128,1,20270829,1,43.3865280151,1,23.0486292808,synthetic,42.9217605591,1,23.2982055483,1.01082824772
