phase,batch_size,repeat,natural_median_ms,synthetic_median_ms,natural_over_synthetic
decode,1,0,43.6123199463,43.6576805115,0.998960994614
decode,1,1,43.3580150604,43.28033638,1.00179477996
decode,1,2,43.683599472,43.4029273987,1.00646666228
decode,1,3,43.6166229248,43.6589756012,0.999029920519
decode,1,4,43.6475505829,43.6701278687,0.999483003901
decode,4,0,76.1555519104,76.699760437,0.99290469066
decode,4,1,73.6893424988,73.6467857361,1.00057784956
decode,4,2,75.9756774902,73.424495697,1.03474564951
decode,4,3,72.8614234924,71.7550086975,1.01541933887
decode,4,4,71.552444458,73.9548149109,0.967515699204
decode,8,0,80.4873275757,79.655040741,1.01044863987
decode,8,1,80.8941917419,80.8701438904,1.00029736378
decode,8,2,80.5936813354,79.3292655945,1.01593883079
decode,8,3,79.9429283142,78.4503822327,1.0190253513
decode,8,4,80.1446876526,79.2490882874,1.01130106837
prefill,1,0,89.9798431396,83.3015060425,1.08017066455
prefill,1,1,83.1855010986,83.0078048706,1.00214071711
prefill,1,2,82.746307373,83.1064987183,0.995665906388
prefill,1,3,89.275138855,83.5093765259,1.06904329273
prefill,1,4,83.8397750854,83.7673950195,1.00086406013
prefill,4,0,86.8436508179,90.3689575195,0.960989848744
prefill,4,1,91.5129241943,86.6590042114,1.05601172119
prefill,4,2,88.9953308105,86.4576644897,1.02935154837
prefill,4,3,86.6522521973,86.3856658936,1.00308600161
prefill,4,4,86.1681900024,86.1719360352,0.999956528391
prefill,8,0,86.4493103027,86.373916626,1.00087287551
prefill,8,1,89.2244186401,90.0894393921,0.990398200302
prefill,8,2,88.2226867676,97.5903015137,0.904010802295
prefill,8,3,88.3990402222,87.0450210571,1.01555538902
prefill,8,4,87.2364501953,86.9195861816,1.00364548461
