workload,phase,batch_size,route_events,max_to_mean_mean,load_cv_mean,active_expert_fraction_mean,normalized_entropy_mean
natural,decode,1,128,2,1,0.5,0.800000002198
natural,decode,4,128,1.9921875,0.562530110823,0.89453125,0.941053321077
natural,decode,8,128,1.9609375,0.523448775522,0.96142578125,0.953263898495
natural,prefill,1,16,1.9306640625,0.474337015301,0.998046875,0.965480298601
natural,prefill,4,16,1.82080078125,0.387216264382,1,0.977603394356
natural,prefill,8,16,1.83996582031,0.357622031122,1,0.980998482369
synthetic,decode,1,128,2,1,0.5,0.800000002198
synthetic,decode,4,128,1.98046875,0.571131432196,0.8994140625,0.940174914851
synthetic,decode,8,128,1.93359375,0.531607836718,0.95703125,0.950770586464
synthetic,prefill,1,16,1.8720703125,0.461521048099,1,0.966108839295
synthetic,prefill,4,16,1.740234375,0.389048276469,1,0.9765898447
synthetic,prefill,8,16,1.80493164062,0.420257776976,1,0.972362536939
