arm,phase,batch_size,prompt_len,repeat,seed,decode_step,latency_ms,tokens_processed,goodput_tokens_per_s,expert_loop,gate,moe_total,routing_setup,unattributed_tail_ms,moe_total_fraction,gate_fraction,routing_setup_fraction,expert_loop_fraction,unattributed_tail_ms_fraction
breakdown,prefill,1,128,0,20270728,-1,86.8565139771,128,1473.69488066,74.0979852676,0.412320001051,77.9488959312,2.79014399648,0.648446666077,0.89744444443,0.00474713964643,0.0321236009681,0.853107980908,0.00746572290765
breakdown,decode,1,128,0,20270728,0,46.6720657349,1,21.4260925514,34.9589116573,0.369824001566,38.5945599079,2.65212801099,0.613696238026,0.826930612567,0.00792388328527,0.0568247402216,0.749032876666,0.0131491123944
breakdown,decode,1,128,0,20270728,1,46.1501426697,1,21.6684053863,34.6207997799,0.369888003916,38.1923832893,2.60515198112,0.596543524414,0.827568043781,0.00801488321635,0.0564494892196,0.750177524427,0.0129261469176
breakdown,decode,1,128,0,20270728,2,46.0836486816,1,21.6996706773,34.5560321808,0.365792000666,38.1552319527,2.63113602996,0.602271741256,0.827955967989,0.00793756595085,0.0570947853573,0.749854518237,0.0130690984435
breakdown,decode,1,128,0,20270728,3,46.159488678,1,21.6640181389,34.5791037083,0.367872003466,38.1533122063,2.6162879616,0.590048532933,0.826554047694,0.00796958575586,0.0566793098566,0.749122329961,0.0127828221203
breakdown,decode,1,128,0,20270728,4,46.0542068481,1,21.7135429842,34.4562878609,0.368416005746,38.0526082516,2.63734400272,0.590560382232,0.826256944931,0.00799961677682,0.0572660823672,0.748168087543,0.0128231582444
breakdown,decode,1,128,0,20270728,5,46.6728630066,1,21.4257265482,34.7094397545,0.37491199933,38.352383852,2.67401599884,0.594016099349,0.821727688884,0.00803276197728,0.0572927355766,0.74367496482,0.0127272265099
breakdown,decode,1,128,0,20270728,6,46.5269432068,1,21.492922833,34.7562565804,0.377087999135,38.410015583,2.66985602677,0.606814976782,0.825543500942,0.00810472326667,0.0573830095586,0.747013540646,0.0130422274699
breakdown,decode,1,128,0,20270728,7,46.1473922729,1,21.6696968289,34.5904004574,0.368864001706,38.1640963554,2.60841600597,0.596415890381,0.827004397772,0.00799317108808,0.056523584053,0.749563491102,0.0129241515285
breakdown,decode,1,128,0,20270728,8,46.0973129272,1,21.6932384232,34.5368640423,0.366431999952,38.112544775,2.62294402719,0.58630470559,0.826784520719,0.00794909674084,0.0569001501525,0.749216426059,0.012718847767
breakdown,decode,1,128,0,20270728,9,46.3474884033,1,21.5761421913,34.7786238194,0.367935998365,38.3613762856,2.62060798705,0.59420848079,0.827690509391,0.00793863941803,0.0565426105562,0.750388532744,0.0128207266728
breakdown,decode,1,128,0,20270728,10,45.839969635,1,21.8150231765,34.4121282101,0.365759996697,37.9835524559,2.61286398768,0.592800261453,0.828612077153,0.00797906280501,0.0569996884485,0.750701374457,0.0129319514427
