phase,batch_size,num_moe_layers,max_single_layer_share,top4_layer_share,layer_latency_cv
decode,1,16,0.0643060402867,0.252739172118,0.00833613648964
decode,4,16,0.0657691531997,0.261062100177,0.0364540051344
decode,8,16,0.0644850014318,0.257357595641,0.024425878291
decode,16,16,0.0636218353916,0.252344042509,0.00903841101545
decode,32,16,0.0636843376942,0.252023168895,0.00587989366007
prefill,1,16,0.064555875647,0.253169583051,0.0102522771544
prefill,4,16,0.0640134319117,0.252765304876,0.00807821587476
prefill,8,16,0.0647675119482,0.254386850398,0.0121890009867
prefill,16,16,0.0644127142998,0.256065082616,0.015404878301
prefill,32,16,0.0644126347138,0.25586407794,0.0194447998503
