phase,batch_size,module_name,samples,latency_median_ms,latency_p95_ms,layer_index,share_of_sum_of_layer_medians
decode,1,model.layers.0.block_sparse_moe,160,2.38332796097,2.45520956516,0,0.0643060402867
decode,1,model.layers.1.block_sparse_moe,160,2.33703994751,2.3992336154,1,0.0630571148736
decode,1,model.layers.2.block_sparse_moe,160,2.32308804989,2.38267685175,2,0.0626806701269
decode,1,model.layers.3.block_sparse_moe,160,2.32363200188,2.36134877205,3,0.0626953468307
decode,1,model.layers.4.block_sparse_moe,160,2.31067204475,2.35813441277,4,0.0623456662418
decode,1,model.layers.5.block_sparse_moe,160,2.31449604034,2.35905928612,5,0.0624488438231
decode,1,model.layers.6.block_sparse_moe,160,2.30873596668,2.35081765652,6,0.0622934277264
decode,1,model.layers.7.block_sparse_moe,160,2.3064160347,2.34989275932,7,0.062230832212
decode,1,model.layers.8.block_sparse_moe,160,2.3048479557,2.35252953768,8,0.0621885229064
decode,1,model.layers.9.block_sparse_moe,160,2.30585598946,2.35226249695,9,0.0622157212862
decode,1,model.layers.10.block_sparse_moe,160,2.30699205399,2.34088791609,10,0.0622463741433
decode,1,model.layers.11.block_sparse_moe,160,2.31103992462,2.35095191002,11,0.0623555922352
decode,1,model.layers.12.block_sparse_moe,160,2.30451202393,2.34434872866,12,0.0621794589241
decode,1,model.layers.13.block_sparse_moe,160,2.30854403973,2.34863989353,13,0.0622882492269
decode,1,model.layers.14.block_sparse_moe,160,2.3086720705,2.36898877621,14,0.0622917037042
decode,1,model.layers.15.block_sparse_moe,160,2.30439996719,2.36805763245,15,0.0621764354524
decode,4,model.layers.0.block_sparse_moe,160,4.07630395889,4.41786873341,0,0.0619926889652
decode,4,model.layers.1.block_sparse_moe,160,4.1571199894,4.69834897518,1,0.0632217442792
decode,4,model.layers.2.block_sparse_moe,160,4.32462382317,4.65167043209,2,0.0657691531997
decode,4,model.layers.3.block_sparse_moe,160,4.30404806137,4.68636002541,3,0.0654562357102
decode,4,model.layers.4.block_sparse_moe,160,4.31169605255,4.6655872345,4,0.0655725468448
decode,4,model.layers.5.block_sparse_moe,160,4.20940804482,4.59410414696,5,0.0640169443401
decode,4,model.layers.6.block_sparse_moe,160,3.7900159359,4.2913217783,6,0.0576388025664
decode,4,model.layers.7.block_sparse_moe,160,3.99060809612,4.4043710947,7,0.0606894208527
decode,4,model.layers.8.block_sparse_moe,160,3.92056000233,4.34711017609,8,0.0596241250026
decode,4,model.layers.9.block_sparse_moe,160,3.91376006603,4.30860466957,9,0.0595207111404
decode,4,model.layers.10.block_sparse_moe,160,4.18799996376,4.53544311523,10,0.0636913688866
decode,4,model.layers.11.block_sparse_moe,160,4.04356789589,4.41942548752,11,0.0614948368442
decode,4,model.layers.12.block_sparse_moe,160,4.11448001862,4.49871342182,12,0.0625732729011
decode,4,model.layers.13.block_sparse_moe,160,4.03799986839,4.41928789616,13,0.0614101579291
decode,4,model.layers.14.block_sparse_moe,160,4.22566390038,4.62972948551,14,0.0642641644218
decode,4,model.layers.15.block_sparse_moe,160,4.14673614502,4.70033597946,15,0.0630638261158
decode,8,model.layers.0.block_sparse_moe,160,4.54134392738,4.82812149525,0,0.0624278568891
decode,8,model.layers.1.block_sparse_moe,160,4.59879994392,4.82333900928,1,0.0632176794693
decode,8,model.layers.2.block_sparse_moe,160,4.66407990456,4.85128939152,2,0.0641150543665
decode,8,model.layers.3.block_sparse_moe,160,4.69099187851,4.82050881386,3,0.0644850014318
decode,8,model.layers.4.block_sparse_moe,160,4.68939208984,4.79810390472,4,0.0644630098409
decode,8,model.layers.5.block_sparse_moe,160,4.60806417465,4.77873289585,5,0.0633450307731
decode,8,model.layers.6.block_sparse_moe,160,4.31212806702,4.63541612625,6,0.0592769273061
decode,8,model.layers.7.block_sparse_moe,160,4.49311995506,4.74567861557,7,0.061764943159
decode,8,model.layers.8.block_sparse_moe,160,4.4665760994,4.73067822456,8,0.0614000564538
decode,8,model.layers.9.block_sparse_moe,160,4.3839840889,4.72278871536,9,0.060264700424
decode,8,model.layers.10.block_sparse_moe,160,4.60129618645,4.77474417686,10,0.063251994217
decode,8,model.layers.11.block_sparse_moe,160,4.42025589943,4.69661140442,11,0.0607633130446
decode,8,model.layers.12.block_sparse_moe,160,4.52452802658,4.77436654568,12,0.0621966960994
decode,8,model.layers.13.block_sparse_moe,160,4.47206401825,4.76020641327,13,0.0614754964598
decode,8,model.layers.14.block_sparse_moe,160,4.60171198845,4.79435505867,14,0.0632577100641
decode,8,model.layers.15.block_sparse_moe,160,4.67713594437,4.79349756241,15,0.0642945300014
decode,16,model.layers.0.block_sparse_moe,160,4.82876801491,4.93454883099,0,0.0636218353916
decode,16,model.layers.1.block_sparse_moe,160,4.77686405182,4.86110064983,1,0.0629379704004
decode,16,model.layers.2.block_sparse_moe,160,4.77358388901,4.87658245564,2,0.062894752342
decode,16,model.layers.3.block_sparse_moe,160,4.77318406105,4.84849586487,3,0.0628894843754
decode,16,model.layers.4.block_sparse_moe,160,4.75411200523,4.82747519016,4,0.0626381989146
decode,16,model.layers.5.block_sparse_moe,160,4.75580787659,4.82801606655,5,0.0626605430089
decode,16,model.layers.6.block_sparse_moe,160,4.65220808983,4.82341749668,6,0.0612955553849
decode,16,model.layers.7.block_sparse_moe,160,4.75414395332,4.83021743298,7,0.0626386198493
decode,16,model.layers.8.block_sparse_moe,160,4.7464799881,4.83557138443,8,0.0625376426368
decode,16,model.layers.9.block_sparse_moe,160,4.73508810997,4.81639816761,9,0.0623875479972
decode,16,model.layers.10.block_sparse_moe,160,4.74299192429,4.81541452408,10,0.0624916853614
decode,16,model.layers.11.block_sparse_moe,160,4.64287996292,4.80461916924,11,0.0611726518714
decode,16,model.layers.12.block_sparse_moe,160,4.73195195198,4.80756161213,12,0.0623462272862
decode,16,model.layers.13.block_sparse_moe,160,4.7329120636,4.80811843872,13,0.0623588773168
decode,16,model.layers.14.block_sparse_moe,160,4.75243186951,4.8527536869,14,0.0626160621463
decode,16,model.layers.15.block_sparse_moe,160,4.74456000328,4.8000305891,15,0.0625123457168
decode,32,model.layers.0.block_sparse_moe,160,4.88417601585,4.95392320156,0,0.0636843376942
decode,32,model.layers.1.block_sparse_moe,160,4.81527996063,4.87376141548,1,0.0627860081433
decode,32,model.layers.2.block_sparse_moe,160,4.81769609451,4.8803342104,2,0.0628175118986
decode,32,model.layers.3.block_sparse_moe,160,4.81139183044,4.85848312378,3,0.0627353111588
decode,32,model.layers.4.block_sparse_moe,160,4.79983997345,4.86592490673,4,0.0625846875205
decode,32,model.layers.5.block_sparse_moe,160,4.79875206947,4.87652947903,5,0.0625705024371
decode,32,model.layers.6.block_sparse_moe,160,4.78159999847,4.87318394184,6,0.0623468581052
decode,32,model.layers.7.block_sparse_moe,160,4.78513598442,4.85413749218,7,0.0623929635122
decode,32,model.layers.8.block_sparse_moe,160,4.77134394646,4.86183700562,8,0.062213130353
decode,32,model.layers.9.block_sparse_moe,160,4.77627205849,4.84769129753,9,0.0622773875685
decode,32,model.layers.10.block_sparse_moe,160,4.77679991722,4.82607350349,10,0.0622842702717
decode,32,model.layers.11.block_sparse_moe,160,4.77065610886,4.83260800838,11,0.0622041616995
decode,32,model.layers.12.block_sparse_moe,160,4.78062391281,4.85004651546,12,0.0623341310109
decode,32,model.layers.13.block_sparse_moe,160,4.77353596687,4.82271537781,13,0.0622417119127
decode,32,model.layers.14.block_sparse_moe,160,4.77704000473,4.84155378342,14,0.0622874007514
decode,32,model.layers.15.block_sparse_moe,160,4.77337598801,4.83186254501,15,0.0622396259624
prefill,1,model.layers.0.block_sparse_moe,5,4.95609617233,4.97970571518,0,0.064555875647
prefill,1,model.layers.1.block_sparse_moe,5,4.85484790802,4.88107528687,1,0.063237061376
