phase,batch_size,unprofiled_n,unprofiled_latency_median_ms,unprofiled_latency_p95_ms,unprofiled_goodput_median_tokens_per_s,profiled_latency_median_ms,instrumentation_ratio_median,moe_sum_median_ms,moe_sum_p95_ms,moe_fraction_median,moe_fraction_p95,moe_calls_per_forward
decode,1,160,43.0090560913,45.5139060974,23.2509171536,44.7468471527,1.040405236,37.0535520315,40.2142510772,0.828373391908,0.829779158325,16
decode,4,160,72.6709899902,79.0217327118,55.0425977743,74.3709754944,1.02339290416,66.0307203531,70.5179394007,0.888344877548,0.893638293756,16
decode,8,160,79.0143852234,87.4373710632,101.247387801,80.9558105469,1.02457053001,72.6989119053,75.628291297,0.898231956941,0.90003394426,16
decode,16,160,82.1619529724,89.7087181091,194.737337918,83.9254074097,1.02146315142,75.6550881863,82.347379756,0.90180369602,0.904018899637,16
decode,32,160,83.0975189209,92.7581172943,385.089736107,85.0770072937,1.02382126926,76.7329120636,85.3019032717,0.902148653499,0.910416057209,16
prefill,1,5,83.3517456055,84.2406448364,1535.66069997,86.0234527588,1.03205340373,77.2285122871,77.446171093,0.898368342183,0.899288306634,16
prefill,4,5,86.8084793091,87.9186920166,5898.04134429,89.6654434204,1.03291111806,80.6910400391,83.1709757805,0.898076150267,0.899740422166,16
prefill,8,5,88.4069747925,89.7150756836,11582.7965203,91.1684188843,1.03123559084,81.7760634422,83.2454461098,0.896977971572,0.898138680514,16
prefill,16,5,94.8657302856,102.149911499,21588.4070447,95.0406112671,1.00184345792,84.678560257,87.2683650017,0.891835340596,0.895710787581,16
prefill,32,5,99.1608963013,105.472061157,41306.6052525,100.685379028,1.01537382964,90.1756472588,96.8988162041,0.895622210164,0.898213266928,16
