phase,batch_size,module_name,samples,latency_median_ms,latency_p95_ms,layer_index,share_of_sum_of_layer_medians
decode,1,model.layers.0.block_sparse_moe,160,0.542735993862,0.556801593304,0,0.514508030741
decode,1,model.layers.1.block_sparse_moe,160,0.512127995491,0.526745572686,1,0.485491969259
decode,4,model.layers.0.block_sparse_moe,160,0.994320005178,1.15438242555,0,0.527578045003
decode,4,model.layers.1.block_sparse_moe,160,0.890367984772,1.12116476297,1,0.472421954997
decode,8,model.layers.0.block_sparse_moe,160,1.1674399972,1.45313438177,0,0.508137574619
decode,8,model.layers.1.block_sparse_moe,160,1.13004803658,1.32312963605,1,0.491862425381
decode,16,model.layers.0.block_sparse_moe,160,1.32412803173,1.47488155961,0,0.504908275066
decode,16,model.layers.1.block_sparse_moe,160,1.29838401079,1.4470480144,1,0.495091724934
prefill,1,model.layers.0.block_sparse_moe,5,1.53811204433,1.61818883419,0,0.517072243533
prefill,1,model.layers.1.block_sparse_moe,5,1.4365439415,25.4942145586,1,0.482927756467
prefill,4,model.layers.0.block_sparse_moe,5,1.58435201645,1.87096323967,0,0.513599589569
prefill,4,model.layers.1.block_sparse_moe,5,1.50044798851,1.61828479767,1,0.486400410431
prefill,8,model.layers.0.block_sparse_moe,5,1.68268799782,1.97102720737,0,0.513711270698
prefill,8,model.layers.1.block_sparse_moe,5,1.59286403656,1.82705278397,1,0.486288729302
prefill,16,model.layers.0.block_sparse_moe,5,1.96063995361,2.26136312485,0,0.513897973987
prefill,16,model.layers.1.block_sparse_moe,5,1.85459196568,2.41153278351,1,0.486102026013
