phase,batch_size,module_name,samples,latency_median_ms,latency_p95_ms,layer_index,share_of_sum_of_layer_medians
decode,1,model.layers.0.block_sparse_moe,48,2.53734397888,2.61374231577,0,0.0643187806131
decode,1,model.layers.1.block_sparse_moe,48,2.48273599148,2.53613923788,1,0.062934530314
decode,1,model.layers.2.block_sparse_moe,48,2.46960008144,2.55370248556,2,0.0626015499524
decode,1,model.layers.3.block_sparse_moe,48,2.45833599567,2.53228629827,3,0.0623160182044
decode,1,model.layers.4.block_sparse_moe,48,2.46492791176,2.51918568611,4,0.062483115771
decode,1,model.layers.5.block_sparse_moe,48,2.45788800716,2.52970083952,5,0.0623046622058
decode,1,model.layers.6.block_sparse_moe,48,2.46219193935,2.53949757814,6,0.062413761986
decode,1,model.layers.7.block_sparse_moe,48,2.45296001434,2.53130245209,7,0.0621797431993
decode,1,model.layers.8.block_sparse_moe,48,2.46297597885,2.53865751028,8,0.0624336364945
decode,1,model.layers.9.block_sparse_moe,48,2.45916807652,2.5275344491,9,0.0623371105063
decode,1,model.layers.10.block_sparse_moe,48,2.46115195751,2.54118869305,10,0.0623873996305
decode,1,model.layers.11.block_sparse_moe,48,2.46119999886,2.51088163853,11,0.0623886174239
decode,1,model.layers.12.block_sparse_moe,48,2.44791996479,2.52367523909,12,0.0620519836822
decode,1,model.layers.13.block_sparse_moe,48,2.46403193474,2.52945766449,13,0.0624604037738
decode,1,model.layers.14.block_sparse_moe,48,2.45299196243,2.50272969007,14,0.062180553047
decode,1,model.layers.15.block_sparse_moe,48,2.45407998562,2.52823518515,15,0.0622081331958
decode,4,model.layers.0.block_sparse_moe,48,4.34065580368,4.92582881451,0,0.0603719707097
decode,4,model.layers.1.block_sparse_moe,48,4.5926399231,4.8857104063,1,0.0638766894814
decode,4,model.layers.2.block_sparse_moe,48,4.49822402,4.8891824007,2,0.062563506775
decode,4,model.layers.3.block_sparse_moe,48,4.58702397346,4.89875531197,3,0.0637985800984
decode,4,model.layers.4.block_sparse_moe,48,4.64966392517,4.90527024269,4,0.0646698072818
decode,4,model.layers.5.block_sparse_moe,48,4.53411197662,5.07500474453,5,0.0630626540845
decode,4,model.layers.6.block_sparse_moe,48,4.54420804977,5.00777759552,6,0.0632030752236
decode,4,model.layers.7.block_sparse_moe,48,4.56025600433,5.03452959061,7,0.0634262780497
decode,4,model.layers.8.block_sparse_moe,48,4.43427205086,4.95119345188,8,0.0616740314093
decode,4,model.layers.9.block_sparse_moe,48,4.43363189697,4.90152311325,9,0.061665127835
decode,4,model.layers.10.block_sparse_moe,48,4.48343992233,4.86064620018,10,0.0623578822906
decode,4,model.layers.11.block_sparse_moe,48,4.39081597328,4.97584011555,11,0.0610696229602
decode,4,model.layers.12.block_sparse_moe,48,4.52681589127,5.04982392788,12,0.0629611765494
decode,4,model.layers.13.block_sparse_moe,48,4.59932804108,4.89909591675,13,0.0639697111079
decode,4,model.layers.14.block_sparse_moe,48,4.42203211784,4.90270552635,14,0.0615037924153
decode,4,model.layers.15.block_sparse_moe,48,4.30140805244,4.91853764057,15,0.0598260937282
decode,8,model.layers.0.block_sparse_moe,48,4.98396801949,5.36833274364,0,0.0631054441713
decode,8,model.layers.1.block_sparse_moe,48,5.04027199745,5.3124863863,1,0.0638183475295
decode,8,model.layers.2.block_sparse_moe,48,4.92740797997,5.23532333374,2,0.0623892986419
decode,8,model.layers.3.block_sparse_moe,48,5.04057598114,5.31490082741,3,0.0638221964759
decode,8,model.layers.4.block_sparse_moe,48,5.02374410629,5.17843186855,4,0.0636090765413
decode,8,model.layers.5.block_sparse_moe,48,4.98715209961,5.20335841179,5,0.0631457599979
decode,8,model.layers.6.block_sparse_moe,48,4.90372800827,5.1123008728,6,0.0620894702469
decode,8,model.layers.7.block_sparse_moe,48,4.97398400307,5.14811356068,7,0.0629790296783
decode,8,model.layers.8.block_sparse_moe,48,4.85502386093,5.14499037266,8,0.061472793567
decode,8,model.layers.9.block_sparse_moe,48,4.8758559227,5.16886088848,9,0.0617365626173
decode,8,model.layers.10.block_sparse_moe,48,4.88212800026,5.34436631203,10,0.0618159777015
