phase,batch_size,unprofiled_n,unprofiled_latency_median_ms,unprofiled_latency_p95_ms,breakdown_latency_median_ms,observer_ratio_median,observer_tax_acceptable,moe_total_median_ms,gate_median_ms,routing_setup_median_ms,expert_loop_median_ms,unattributed_tail_median_ms,moe_fraction_median,gate_fraction_median,routing_setup_fraction_median,expert_loop_fraction_median,unattributed_tail_fraction_median
decode,1,48,43.0943202972,43.986501503,45.9155044556,1.06546533601,True,37.964815855,0.366480000317,2.6130400002,34.3973281384,0.592175744474,0.82666207947,0.00797144919287,0.0568894215981,0.748972349299,0.0128845830572
decode,4,48,73.9363517761,76.9004165649,76.8132019043,1.03890981985,True,68.1683354378,0.391967999749,2.73102398962,64.4218719006,0.621215382591,0.889071225622,0.00515358430548,0.0356355967413,0.840021525142,0.00809350465062
decode,8,48,80.9059677124,83.7540866852,83.3809928894,1.03059137968,True,74.8528482914,0.406623998657,2.75137601793,71.067840457,0.623456266709,0.897454466298,0.00487285054409,0.0330257673449,0.852219718032,0.00748245660849
decode,16,48,83.2965927124,87.5274650574,85.9642715454,1.03202626597,True,77.4599204063,0.407872000709,2.76075197756,73.625616312,0.624527609907,0.900532335825,0.00474074821857,0.0321903974688,0.856337118128,0.0072615709849
decode,32,48,83.2230873108,84.3902038574,86.1871986389,1.03561645481,True,77.5951683521,0.401967999525,2.76521600783,73.8081922531,0.624911898747,0.90069321542,0.00465335352754,0.0320882189659,0.856688089644,0.00722535887802
prefill,1,3,83.4782409668,83.9401954651,86.4174728394,1.03520955687,True,77.5757436752,0.406848000363,2.77715198696,73.7484793663,0.64326432161,0.897685862898,0.00470793679791,0.0321236009681,0.85339777875,0.00744368355698
prefill,4,3,87.2357788086,88.3285339355,90.0684814453,1.03247179856,True,80.8582406044,0.421056000516,2.9174079895,76.9099531174,0.647999837995,0.897741799427,0.00467484289464,0.032231506346,0.853905293874,0.00719291269067
prefill,8,3,87.8486709595,89.6701286316,90.7064285278,1.03253045877,True,81.1706881523,0.420320000499,2.91468799114,77.1992321014,0.63728143461,0.894872496577,0.00458093737314,0.0320509839955,0.851101622891,0.0070165705955
prefill,16,3,90.3969268799,95.8247497559,93.2963867188,1.03207476116,True,82.9938559532,0.433151997626,2.94367998838,78.9667201042,0.650303862989,0.889703455098,0.00463252762047,0.0315147312577,0.846677691736,0.00687850448339
prefill,32,3,99.0461120605,104.725384521,101.661888123,1.02640967937,True,90.9412169456,0.419839998707,2.95993599296,87.0343675613,0.530079705641,0.894592285782,0.00412976786543,0.0289350695519,0.856280508697,0.00524127290785
