prompt_len,phase,batch_size,unprofiled_n,unprofiled_latency_median_ms,unprofiled_latency_p95_ms,unprofiled_goodput_median_tokens_per_s,profiled_latency_median_ms,instrumentation_ratio_median,moe_sum_median_ms,moe_sum_p95_ms,moe_fraction_median,moe_fraction_p95,moe_calls_per_forward
128,decode,1,48,42.9306716919,45.0881944656,23.2933708456,44.9888782501,1.04794256594,37.217040062,43.6904193759,0.827453918257,0.834370135136,16
512,decode,1,48,43.1351203918,44.7523975372,23.1829667195,45.0927371979,1.04538336252,37.3803040981,37.665592134,0.829142273905,0.830294964515,16
2048,decode,1,48,43.0293922424,47.8698814392,23.2399285271,45.019071579,1.04624000556,37.2847200632,37.8272943854,0.82852302428,0.830450938212,16
128,decode,4,48,73.7502708435,77.4790699005,54.2373113511,75.5724639893,1.02470761293,67.3175996542,70.5624705911,0.889999835885,0.894450695317,16
512,decode,4,48,72.5066261292,76.5124893188,55.167372471,74.5231018066,1.02781091585,66.2112160921,69.9937047958,0.888815851038,0.893943887152,16
2048,decode,4,48,73.0359039307,77.9459758759,54.7676084687,75.3172302246,1.03123568233,66.9832004309,72.9870464325,0.889526257193,0.894326878361,16
128,decode,8,48,80.2624320984,86.2945087433,99.6730325306,82.2758865356,1.02508588869,73.9679679871,80.7469039202,0.898552929908,0.900410527942,16
512,decode,8,48,78.7583198547,87.1932048798,101.576571842,80.8164825439,1.02613263834,72.5508322716,81.5392485619,0.897802510784,0.906936004313,16
2048,decode,8,48,79.1450233459,80.8111942291,101.080792968,81.6436309814,1.0315699905,73.2948002815,78.8472199202,0.897446448012,0.901064655331,16
128,prefill,1,3,83.1806106567,83.8074699402,1538.82015279,85.5181427002,1.02810188606,76.8311357498,77.0373731613,0.898419134512,0.898851219184,16
512,prefill,1,3,86.944480896,87.3915145874,5888.81542248,88.7534713745,1.02080627154,79.7818241119,81.6000257969,0.899610832459,0.900353088859,16
2048,prefill,1,3,90.2591018677,96.5659889221,22690.2324267,92.1014709473,1.02041200324,82.005856514,90.1236260414,0.890515262253,0.897575245748,16
128,prefill,4,3,87.3866271973,88.1930511475,5859.02004027,91.1395874023,1.04294661924,81.9895362854,84.2514877796,0.89960398793,0.900505840704,16
512,prefill,4,3,90.4902114868,94.8043640137,22632.2821701,93.1695022583,1.02960862537,82.9994549751,87.7067867279,0.890843601858,0.895664449831,16
2048,prefill,4,3,134.887359619,140.489645386,60732.1547633,135.155456543,1.00198756151,120.446528435,127.109289694,0.891170297638,0.893559429858,16
128,prefill,8,3,88.3576660156,89.8649971008,11589.2604024,90.0095367432,1.01869527345,80.7155518532,83.3596224308,0.896744442575,0.89798062834,16
512,prefill,8,3,106.383171082,113.194687653,38502.3303814,108.017089844,1.01535880859,94.6219520569,97.5246176243,0.894031089183,0.898927507757,16
2048,prefill,8,3,191.537948608,193.079385376,85539.1848928,185.128219604,0.966535461769,162.150014877,167.335887051,0.876017756052,0.878878050124,16
