global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51163,20965,0.40976877821863456,21033068.0,26400108.0,4561440.0,4042860.0,182.4576,663,33.42015981674194,22157.56595849991,33.42015981674194,195.13455981674196,8395.0,8840.0
1,0,1,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51174,20399,0.3986203931684058,21183640.0,26405784.0,4262676.0,4078464.0,170.50704,646,33.42015981674194,21589.423241615295,33.42015981674194,196.55871981674196,7904.0,8261.0
2,0,2,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51182,21187,0.41395412449689345,20986040.0,26409912.0,4818408.0,3711072.0,192.73632,669,33.42015981674194,22358.08691740036,33.42015981674194,181.86303981674195,9338.0,8626.0
3,0,3,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50920,19543,0.38379811468970937,21271712.0,26274720.0,4195080.0,3859164.0,167.8032,618,33.42015981674194,20653.65876674652,33.42015981674194,187.78671981674194,7763.0,8130.0
4,0,4,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51271,20535,0.4005188118039438,21198876.0,26455836.0,4454112.0,3635736.0,178.16448,648,33.42015981674194,21656.26356124878,33.42015981674194,178.84959981674194,7921.0,8632.0
5,0,5,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50707,19492,0.3844045200859842,21174860.0,26164812.0,4124388.0,3778152.0,164.97552,615,33.42015981674194,20553.398287296295,33.42015981674194,184.54623981674195,7133.0,7993.0
6,0,6,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51153,19688,0.3848845620002737,21354820.0,26394948.0,4410768.0,3626448.0,176.43072,621,33.42015981674194,20753.919246196747,33.42015981674194,178.47807981674194,6854.0,8548.0
7,0,7,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51333,20425,0.3978921941051565,21259028.0,26487828.0,4448436.0,3838524.0,177.93744,645,33.42015981674194,21556.003081798553,33.42015981674194,186.96111981674196,7439.0,8621.0
8,0,8,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51098,19411,0.37987788171748404,21397352.0,26366568.0,4283832.0,3738420.0,171.35328,613,33.42015981674194,20486.55796766281,33.42015981674194,182.95695981674194,7221.0,8302.0
9,0,9,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51609,19752,0.382723943498227,21573732.0,26630244.0,4210560.0,3929856.0,168.4224,625,33.42015981674194,20887.599885463715,33.42015981674194,190.61439981674195,7616.0,8160.0
