global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,52395,35478,0.6771256799312911,17953452.0,27035820.0,13921164.0,7014540.0,556.84656,1114,33.42015981674194,37230.058035850525,33.42015981674194,314.0017598167419,12083.0,26979.0
1,0,1,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51065,33701,0.6599627925193381,17722084.0,26349540.0,13021776.0,6561360.0,520.87104,1060,33.42015981674194,35425.36940574646,33.42015981674194,295.87455981674196,9937.0,25236.0
2,0,2,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51264,34414,0.6713093008739076,17642240.0,26452224.0,13176060.0,6639100.0,527.0424,1081,33.42015981674194,36127.19276189804,33.42015981674194,298.98415981674196,13375.0,25535.0
3,0,3,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,49742,32120,0.6457319770013269,17444152.0,25666872.0,12437664.0,6267040.0,497.50656,1011,33.42015981674194,33787.781574726105,33.42015981674194,284.10175981674195,10030.0,24104.0
4,0,4,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51865,34476,0.6647257302612551,17936484.0,26762340.0,13589376.0,6847360.0,543.57504,1084,33.42015981674194,36227.45324134827,33.42015981674194,307.31455981674196,11437.0,26336.0
5,0,5,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50481,32560,0.6449951466888533,17712836.0,26048196.0,12775644.0,6437340.0,511.02576,1024,33.42015981674194,34222.24365234375,33.42015981674194,290.91375981674196,9388.0,24759.0
6,0,6,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51989,34301,0.65977418300025,18045268.0,26826324.0,13626012.0,6865820.0,545.04048,1078,33.42015981674194,36026.932282447815,33.42015981674194,308.0529598167419,9899.0,26407.0
7,0,7,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51428,34010,0.6613129034767053,17830288.0,26536848.0,13337568.0,6720480.0,533.50272,1069,33.42015981674194,35726.15084409714,33.42015981674194,302.23935981674197,10373.0,25848.0
8,0,8,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51293,33181,0.646891388688515,17972852.0,26467188.0,13142520.0,6622200.0,525.7008,1044,33.42015981674194,34890.64684867859,33.42015981674194,298.3081598167419,9682.0,25470.0
9,0,9,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51715,33500,0.647781107995746,18108940.0,26684940.0,13221984.0,6662240.0,528.87936,1052,33.42015981674194,35158.008127212524,33.42015981674194,299.90975981674194,9223.0,25624.0
10,0,10,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51615,34503,0.6684684684684684,17800572.0,26633340.0,13640460.0,6873100.0,545.6184,1085,33.42015981674194,36260.87340116501,33.42015981674194,308.3441598167419,10633.0,26435.0
11,0,11,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51158,32736,0.6398999179014035,18017112.0,26397528.0,12817440.0,6458400.0,512.6976,1029,33.42015981674194,34389.34445142746,33.42015981674194,291.75615981674196,9546.0,24840.0
12,0,12,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51780,33838,0.6534955581305524,18055952.0,26718480.0,13169868.0,6635980.0,526.79472,1066,33.42015981674194,35625.89036464691,33.42015981674194,298.85935981674197,9989.0,25523.0
13,0,13,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,52059,34423,0.6612305269021687,18050156.0,26862444.0,13811256.0,6959160.0,552.45024,1082,33.42015981674194,36160.61292171478,33.42015981674194,311.78655981674194,11184.0,26766.0
14,0,14,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,52891,35592,0.6729311224972112,18180204.0,27291756.0,14135820.0,7122700.0,565.4328,1120,33.42015981674194,37430.57899475098,33.42015981674194,318.32815981674196,10399.0,27395.0
15,0,15,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51377,33278,0.6477217431924791,17991364.0,26510532.0,12986688.0,6543680.0,519.46752,1045,33.42015981674194,34924.06700849533,33.42015981674194,295.16735981674196,9290.0,25168.0
16,1,0,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,49634,33306,0.6710319539025668,17084808.0,25611144.0,12380904.0,6238440.0,495.23616,1048,33.42015981674194,35024.32748794556,33.42015981674194,282.95775981674194,11897.0,23994.0
17,1,1,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,48223,31859,0.6606598511083923,16727164.0,24883068.0,11640960.0,5865600.0,465.6384,1001,33.42015981674194,33453.579976558685,33.42015981674194,268.04415981674197,10013.0,22560.0
