global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,controller,32,0,,51163,0,0.0,26400108.0,26400108.0,4561440.0,4561440.0,182.4576,0,0.0,0.0,0.0,182.4576,8395.0,8840.0
1,0,1,controller,32,0,,51167,0,0.0,26402172.0,26402172.0,4270416.0,4270416.0,170.81664,0,0.0,0.0,0.0,170.81664,7896.0,8276.0
2,0,2,controller,32,8,1:4;1:5;1:6;1:7;4:1;5:1;6:1;7:1,51228,14825,0.28939251971578045,22638448.0,26433648.0,4829244.0,4023612.0,193.16976,467,33.42015981674194,15607.214634418488,33.42015981674194,194.36463981674194,9359.0,8648.0
3,0,3,controller,32,19,0:5;0:7;1:4;1:5;1:6;1:7;2:5;2:7;3:4;3:5;3:6;3:7;4:1;5:1;6:0;6:1;6:2;6:3;7:1,50982,33508,0.6572515789886627,17728664.0,26306712.0,4188372.0,2943712.0,167.53488,1057,33.42015981674194,35325.108926296234,33.42015981674194,151.16863981674194,7792.0,8117.0
4,0,4,controller,32,21,0:5;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:1;5:1;6:0;6:1;6:2;6:3;7:1,51195,36677,0.7164176189080965,17027308.0,26416620.0,4449984.0,2652984.0,177.99936,1157,33.42015981674194,38667.12490797043,33.42015981674194,139.53951981674194,7938.0,8624.0
5,0,5,controller,32,21,0:5;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:1;5:1;6:0;6:1;6:2;6:3;7:1,50639,35894,0.7088212642429748,16940860.0,26129724.0,4110456.0,2583652.0,164.41824,1133,33.42015981674194,37865.04107236862,33.42015981674194,136.76623981674194,7103.0,7966.0
6,0,6,controller,32,23,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:1;5:1;6:0;6:1;6:2;6:3;7:1,51214,38274,0.7473347131643692,16628280.0,26426424.0,4396836.0,2942508.0,175.87344,1206,33.42015981674194,40304.712738990784,33.42015981674194,151.12047981674195,6859.0,8521.0
7,0,7,controller,32,26,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:1;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:1,51344,43539,0.847986132751636,15347520.0,26493504.0,4437084.0,2572420.0,177.48336,1371,33.42015981674194,45819.039108753204,33.42015981674194,136.31695981674193,7443.0,8599.0
8,0,8,controller,32,26,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:1;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:1,51176,42531,0.8310731592934187,15518880.0,26406816.0,4315308.0,2869744.0,172.61232,1341,33.42015981674194,44816.434314250946,33.42015981674194,148.20991981674194,7197.0,8363.0
9,0,9,controller,32,26,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:1;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:1,51644,43250,0.8374641778328556,15576304.0,26648304.0,4219848.0,2735564.0,168.79392,1364,33.42015981674194,45585.09799003601,33.42015981674194,142.84271981674195,7666.0,8178.0
