global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,controller,32,0,,52395,0,0.0,27035820.0,27035820.0,13921164.0,13921164.0,556.84656,0,0.0,0.0,0.0,556.84656,12083.0,26979.0
1,0,1,controller,32,10,4:0;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0,50986,30709,0.6023025928686306,18447272.0,26308776.0,12977916.0,6539260.0,519.11664,965,33.42015981674194,32250.454223155975,33.42015981674194,294.99055981674195,10018.0,25151.0
2,0,2,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51350,36430,0.7094449853943525,17170520.0,26496600.0,13221984.0,6662240.0,528.87936,1146,33.42015981674194,38299.50314998627,33.42015981674194,299.90975981674194,13425.0,25624.0
3,0,3,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49726,34067,0.6850943168563729,16937464.0,25658616.0,12430956.0,6263660.0,497.23824,1075,33.42015981674194,35926.67180299759,33.42015981674194,283.96655981674195,10005.0,24091.0
4,0,4,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51950,37410,0.7201154956689124,17229240.0,26806200.0,13628076.0,6866860.0,545.12304,1178,33.42015981674194,39368.94826412201,33.42015981674194,308.09455981674193,11462.0,26411.0
5,0,5,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50554,35256,0.6973928868140997,17060328.0,26085864.0,12792156.0,6445660.0,511.68624,1110,33.42015981674194,37096.37739658356,33.42015981674194,291.2465598167419,9492.0,24791.0
6,0,6,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,52096,37494,0.7197097665847666,17283072.0,26881536.0,13676064.0,6891040.0,547.04256,1179,33.42015981674194,39402.36842393875,33.42015981674194,309.0617598167419,9986.0,26504.0
7,0,7,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51234,36376,0.7099972674395909,17124488.0,26436744.0,13246752.0,6674720.0,529.87008,1144,33.42015981674194,38232.66283035278,33.42015981674194,300.40895981674197,10319.0,25672.0
8,0,8,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51312,35997,0.7015318054256314,17261760.0,26476992.0,13137360.0,6619600.0,525.4944,1135,33.42015981674194,37931.881392002106,33.42015981674194,298.20415981674194,9659.0,25460.0
9,0,9,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51646,36331,0.7034620299732797,17348600.0,26649336.0,13198248.0,6650280.0,527.92992,1144,33.42015981674194,38232.66283035278,33.42015981674194,299.4313598167419,9174.0,25578.0
10,0,10,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51545,37230,0.7222815016005432,17066340.0,26597220.0,13586280.0,6845800.0,543.4512,1172,33.42015981674194,39168.42730522156,33.42015981674194,307.25215981674194,10616.0,26330.0
11,0,11,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51253,35566,0.6939301114081127,17341652.0,26446548.0,12826728.0,6463080.0,513.06912,1119,33.42015981674194,37397.158834934235,33.42015981674194,291.9433598167419,9586.0,24858.0
12,0,12,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51794,36241,0.6997142526161332,17448008.0,26725704.0,13187928.0,6645080.0,527.51712,1141,33.42015981674194,38132.40235090256,33.42015981674194,299.22335981674195,10030.0,25558.0
13,0,13,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51977,37838,0.7279758354656868,17133604.0,26820132.0,13759140.0,6932900.0,550.3656,1189,33.42015981674194,39736.57002210617,33.42015981674194,310.7361598167419,11238.0,26665.0
