model,origin_mode,saving_basis,harm_basis,lambda_low,lambda_high,winners,fine_online_wins,coarse_only
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.0,11.02769947492201,uniform_low,False,True
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,11.02769947492201,26.41894140092763,controller,True,False
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,26.41894140092763,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,0.0,4.680830109481205,uniform_low,False,True
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,4.680830109481205,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.0,0.6338624106589132,uniform_low,False,True
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.6338624106589132,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.0,0.3457431330866799,uniform_low,False,True
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.3457431330866799,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.0,2.034709445056092,uniform_low,False,True
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,2.034709445056092,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,0.5630800901941495,uniform_low,False,True
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.5630800901941495,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.0,0.5133963767631807,uniform_low,False,True
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.5133963767631807,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.0,11.027699474921995,uniform_low,False,True
llmjp,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm,11.027699474921995,26.41894140092763,controller,True,False
llmjp,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm,26.41894140092763,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm_ucb95,0.0,4.680830109481203,uniform_low,False,True
llmjp,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm_ucb95,4.680830109481203,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,0.0,0.6338624106589129,uniform_low,False,True
llmjp,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,0.6338624106589129,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm_ucb95,0.0,0.34574313308667975,uniform_low,False,True
llmjp,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm_ucb95,0.34574313308667975,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_optimistic_codec,mean_incremental_positive_nll_harm,0.0,2.0347094450560914,uniform_low,False,True
llmjp,balanced,simulated_saving_optimistic_codec,mean_incremental_positive_nll_harm,2.0347094450560914,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm,0.0,0.5630800901941493,uniform_low,False,True
llmjp,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm,0.5630800901941493,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm_ucb95,0.0,0.5133963767631805,uniform_low,False,True
llmjp,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm_ucb95,0.5133963767631805,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_serialized_tiles_codec,incremental_accuracy_harm,0.0,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_serialized_tiles_codec,incremental_accuracy_harm_ucb95,0.0,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_accuracy_harm,0.0,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_accuracy_harm_ucb95,0.0,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_serialized_tiles_codec,mean_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_nll_harm_ucb95,0.0,inf,uniform_full,False,True
llmjp,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.0,1.9366971792528105,calib_static;uniform_low,False,True
llmjp,hotspot,simulated_saving_fraction,incremental_accuracy_harm,1.9366971792528105,1.9367081505077408,calib_static;causal_no_hysteresis;uniform_low,True,False
llmjp,hotspot,simulated_saving_fraction,incremental_accuracy_harm,1.9367081505077408,26.518503072098355,causal_no_hysteresis,True,False
llmjp,hotspot,simulated_saving_fraction,incremental_accuracy_harm,26.518503072098355,inf,uniform_full,False,True
