request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,anatomy,1,0,0,1.4563087224960327,-0.31073856353759766,-1.145570158958435,-1.4563087224960327,-1.7204879522323608,-1.558315634727478,13.609931916999983,11455,0,0.0,5910780.0
1,formal_logic,3,0,0,1.8765482902526855,-0.8504400253295898,-1.0261082649230957,-1.6073861122131348,-1.9703688621520996,-1.8765482902526855,13.609931916999983,13971,0,0.0,7209036.0
2,formal_logic,3,0,0,1.4584578275680542,-0.11012458801269531,-1.3483332395553589,-1.7028473615646362,-2.1942100524902344,-1.4584578275680542,13.609931916999983,14279,0,0.0,7367964.0
3,computer_security,1,0,0,1.2722697257995605,-0.20592880249023438,-1.0663409233093262,-1.2722697257995605,-2.010420322418213,-2.044863224029541,13.609931916999983,8749,0,0.0,4514484.0
4,college_computer_science,2,0,0,1.8785463571548462,-0.6823129653930664,-1.1962333917617798,-1.316428780555725,-1.8785463571548462,-1.7394500970840454,13.609931916999983,15194,0,0.0,7840104.0
5,abstract_algebra,2,1,0,3.128863573074341,-1.5465154647827148,-2.172415018081665,-1.582348108291626,-3.128863573074341,-2.3933775424957275,13.609931916999983,12936,0,0.0,6674976.0
6,abstract_algebra,1,1,1,1.5452940464019775,0.09106254577636719,-1.6363565921783447,-1.5452940464019775,-2.6792538166046143,-2.229749917984009,13.609931916999983,7718,0,0.0,3982488.0
7,professional_accounting,0,0,1,1.2499626874923706,0.2013092041015625,-1.2499626874923706,-1.451271891593933,-1.8272589445114136,-1.598002314567566,13.609931916999983,22983,0,0.0,11859228.0
8,college_mathematics,1,0,0,1.7866992950439453,-0.557795524597168,-1.2289037704467773,-1.7866992950439453,-2.3509559631347656,-2.2149477005004883,13.609931916999983,11006,0,0.0,5679096.0
9,high_school_physics,2,1,0,2.3066353797912598,-0.9376734495162964,-1.5169082880020142,-1.3689619302749634,-2.3066353797912598,-2.1278319358825684,13.609931916999983,14031,0,0.0,7239996.0
10,electrical_engineering,0,0,1,1.2208118438720703,0.09389114379882812,-1.2208118438720703,-1.3147029876708984,-1.5714950561523438,-1.738102912902832,13.609931916999983,8800,0,0.0,4540800.0
11,machine_learning,1,0,0,1.6568512916564941,-0.4180412292480469,-1.2388100624084473,-1.6568512916564941,-2.5438895225524902,-1.6961073875427246,13.609931916999983,8371,0,0.0,4319436.0
12,electrical_engineering,2,0,0,1.752095103263855,-0.6804981231689453,-1.0715969800949097,-1.3474596738815308,-1.752095103263855,-1.9570549726486206,13.609931916999983,7673,0,0.0,3959268.0
13,high_school_mathematics,3,1,0,2.3446109294891357,-0.6933631896972656,-1.7757813930511475,-1.6512477397918701,-2.251835584640503,-2.3446109294891357,13.609931916999983,10499,0,0.0,5417484.0
14,astronomy,2,0,0,2.108001232147217,-0.9705581665039062,-1.1374430656433105,-1.3567805290222168,-2.108001232147217,-1.7348856925964355,13.609931916999983,12479,0,0.0,6439164.0
15,college_computer_science,3,0,0,2.558049201965332,-0.540618896484375,-2.017430305480957,-2.1106014251708984,-3.0280113220214844,-2.558049201965332,13.609931916999983,20582,0,0.0,10620312.0
16,computer_security,2,0,0,1.7178750038146973,-0.5146389007568359,-1.2032361030578613,-1.2601361274719238,-1.7178750038146973,-1.8148846626281738,13.609931916999983,7198,0,0.0,3714168.0
17,business_ethics,2,0,0,1.9219218492507935,-0.702326774597168,-1.2195950746536255,-1.2761660814285278,-1.9219218492507935,-1.8176652193069458,13.609931916999983,12953,0,0.0,6683748.0
18,college_mathematics,1,1,1,1.4630663394927979,0.3396730422973633,-1.8027393817901611,-1.4630663394927979,-2.5032780170440674,-2.0763132572174072,13.609931916999983,15273,0,0.0,7880868.0
19,professional_accounting,2,0,0,1.7912464141845703,-0.4531087875366211,-1.3381376266479492,-1.5546236038208008,-1.7912464141845703,-1.7918071746826172,13.609931916999983,14830,0,0.0,7652280.0
20,college_mathematics,1,1,1,1.5078364610671997,0.42914390563964844,-1.9369803667068481,-1.5078364610671997,-2.0559539794921875,-2.249272346496582,13.609931916999983,12006,0,0.0,6195096.0
21,business_ethics,0,0,1,1.3061249256134033,0.03931713104248047,-1.3061249256134033,-1.3454420566558838,-1.808504343032837,-1.9767343997955322,13.609931916999983,16149,0,0.0,8332884.0
22,econometrics,0,0,1,1.3388593196868896,0.2903432846069336,-1.3388593196868896,-1.6292026042938232,-2.2022855281829834,-1.8869283199310303,13.609931916999983,15976,0,0.0,8243616.0
23,conceptual_physics,2,0,0,1.8910311460494995,-0.6123228073120117,-1.2787083387374878,-1.5806339979171753,-1.8910311460494995,-1.7723950147628784,13.609931916999983,6086,0,0.0,3140376.0
24,professional_accounting,2,0,0,1.9628413915634155,-0.596954345703125,-1.3658870458602905,-1.5963138341903687,-1.9628413915634155,-1.7662309408187866,13.609931916999983,15113,0,0.0,7798308.0
25,college_mathematics,0,0,1,1.4616458415985107,0.28333377838134766,-1.4616458415985107,-1.9759480953216553,-2.41648268699646,-1.7449796199798584,13.609931916999983,17744,0,0.0,9155904.0
26,professional_accounting,3,1,0,1.6927272081375122,-0.20949649810791016,-1.7462111711502075,-1.483230710029602,-1.7568808794021606,-1.6927272081375122,13.609931916999983,10810,0,0.0,5577960.0
27,electrical_engineering,3,0,0,1.882729172706604,-0.7060861587524414,-1.1766430139541626,-1.5761104822158813,-2.1776747703552246,-1.882729172706604,13.609931916999983,7392,0,0.0,3814272.0
28,conceptual_physics,3,0,0,1.7274061441421509,-0.47021961212158203,-1.2571865320205688,-1.4331327676773071,-1.7730995416641235,-1.7274061441421509,13.609931916999983,8028,0,0.0,4142448.0
29,high_school_physics,3,0,0,1.7370332479476929,-0.2822446823120117,-1.4547885656356812,-1.5103410482406616,-2.009408473968506,-1.7370332479476929,13.609931916999983,27125,0,0.0,13996500.0
30,machine_learning,0,1,0,1.8119428157806396,-0.31154823303222656,-1.8119428157806396,-1.500394582748413,-2.63053297996521,-2.687767744064331,13.609931916999983,14635,0,0.0,7551660.0
31,high_school_physics,0,0,1,1.1875288486480713,0.026978492736816406,-1.1875288486480713,-1.2145073413848877,-2.0496742725372314,-1.9758570194244385,13.609931916999983,10434,0,0.0,5383944.0
32,machine_learning,0,0,1,1.0908695459365845,0.2032480239868164,-1.0908695459365845,-1.2941175699234009,-2.2384629249572754,-2.0373568534851074,13.609931916999983,10225,0,0.0,5276100.0
33,formal_logic,1,0,0,1.7625924348831177,-0.4478273391723633,-1.3147650957107544,-1.7625924348831177,-1.7779914140701294,-1.5208169221878052,13.609931916999983,10195,0,0.0,5260620.0
34,college_computer_science,3,0,0,1.691074013710022,-0.511479377746582,-1.17959463596344,-1.4518295526504517,-1.6933799982070923,-1.691074013710022,13.609931916999983,13324,0,0.0,6875184.0
35,machine_learning,3,0,0,2.0828187465667725,-0.6461143493652344,-1.436704397201538,-1.455341100692749,-2.341865301132202,-2.0828187465667725,13.609931916999983,10381,0,0.0,5356596.0
36,clinical_knowledge,1,0,0,1.534515142440796,-0.2683572769165039,-1.266157865524292,-1.534515142440796,-1.6744468212127686,-1.296105146408081,13.609931916999983,13998,0,0.0,7222968.0
37,machine_learning,3,0,0,2.2412562370300293,-1.1665945053100586,-1.0746617317199707,-1.5608983039855957,-2.474033832550049,-2.2412562370300293,13.609931916999983,14343,0,0.0,7400988.0
38,college_computer_science,3,0,0,1.9423898458480835,-1.0017061233520508,-0.9406837224960327,-1.5468705892562866,-1.9819282293319702,-1.9423898458480835,13.609931916999983,11124,0,0.0,5739984.0
39,abstract_algebra,3,1,0,2.238936185836792,-0.6719446182250977,-2.0062930583953857,-1.5669915676116943,-2.71451735496521,-2.238936185836792,13.609931916999983,10009,0,0.0,5164644.0
40,clinical_knowledge,3,0,0,1.5620453357696533,-0.24716854095458984,-1.3148767948150635,-1.3707821369171143,-1.8133347034454346,-1.5620453357696533,13.609931916999983,10504,0,0.0,5420064.0
41,college_computer_science,1,1,1,1.3513370752334595,0.2699747085571289,-1.6213117837905884,-1.3513370752334595,-2.061793804168701,-1.6911484003067017,13.609931916999983,24975,0,0.0,12887100.0
42,econometrics,2,0,0,2.0646402835845947,-0.8402681350708008,-1.224372148513794,-1.5181200504302979,-2.0646402835845947,-1.9759905338287354,13.609931916999983,12003,0,0.0,6193548.0
43,formal_logic,1,0,0,1.5252693891525269,-0.4441680908203125,-1.0811012983322144,-1.5252693891525269,-2.598726272583008,-2.274529457092285,13.609931916999983,18653,0,0.0,9624948.0
44,high_school_physics,0,0,1,1.3259884119033813,0.14369678497314453,-1.3259884119033813,-1.4696851968765259,-2.3379101753234863,-1.7831865549087524,13.609931916999983,12852,0,0.0,6631632.0
45,computer_security,1,0,0,1.527351975440979,-0.059266090393066406,-1.4680858850479126,-1.527351975440979,-1.9322534799575806,-1.546085000038147,13.609931916999983,13299,0,0.0,6862284.0
46,business_ethics,1,0,0,1.4005651473999023,-0.1308879852294922,-1.2696771621704102,-1.4005651473999023,-2.00771427154541,-1.859954833984375,13.609931916999983,9153,0,0.0,4722948.0
47,abstract_algebra,0,0,1,1.6559993028640747,0.03502082824707031,-1.6559993028640747,-1.691020131111145,-2.2035293579101562,-2.1846437454223633,13.609931916999983,9721,0,0.0,5016036.0
48,abstract_algebra,2,0,0,1.687210202217102,-0.47826099395751953,-1.2089492082595825,-1.5956155061721802,-1.687210202217102,-1.6749850511550903,13.609931916999983,11050,0,0.0,5701800.0
49,professional_accounting,2,0,0,1.8877182006835938,-0.784388542175293,-1.1033296585083008,-1.5142269134521484,-1.8877182006835938,-1.8133039474487305,13.609931916999983,11432,0,0.0,5898912.0
50,electrical_engineering,2,0,0,2.0587363243103027,-0.792948842048645,-1.2657874822616577,-1.2733739614486694,-2.0587363243103027,-1.765224814414978,13.609931916999983,8103,0,0.0,4181148.0
51,conceptual_physics,1,0,0,1.5715638399124146,-0.2226581573486328,-1.3489056825637817,-1.5715638399124146,-2.009333610534668,-1.8994923830032349,13.609931916999983,9149,0,0.0,4720884.0
52,professional_accounting,2,1,0,1.8555856943130493,-0.010358810424804688,-1.9183460474014282,-1.8452268838882446,-1.8555856943130493,-1.938311219215393,13.609931916999983,24175,0,0.0,12474300.0
53,conceptual_physics,2,0,0,1.961977243423462,-0.7113914489746094,-1.2505857944488525,-1.4028618335723877,-1.961977243423462,-1.8637821674346924,13.609931916999983,6371,0,0.0,3287436.0
54,business_ethics,2,0,0,2.221977949142456,-0.9582061767578125,-1.2637717723846436,-1.520200490951538,-2.221977949142456,-2.5223491191864014,13.609931916999983,13018,0,0.0,6717288.0
55,computer_security,1,0,0,1.4688315391540527,-0.4049110412597656,-1.063920497894287,-1.4688315391540527,-1.9446892738342285,-2.1132779121398926,13.609931916999983,8377,0,0.0,4322532.0
56,business_ethics,1,0,0,1.4154069423675537,-0.44092464447021484,-0.9744822978973389,-1.4154069423675537,-1.8758389949798584,-1.9594790935516357,13.609931916999983,10348,0,0.0,5339568.0
57,high_school_physics,0,0,1,1.4511545896530151,0.08727550506591797,-1.4511545896530151,-1.7030256986618042,-1.774835467338562,-1.538430094718933,13.609931916999983,29208,0,0.0,15071328.0
58,clinical_knowledge,3,0,0,1.8544014692306519,-0.6255073547363281,-1.2288941144943237,-1.488235354423523,-1.898136019706726,-1.8544014692306519,13.609931916999983,7917,0,0.0,4085172.0
59,computer_security,1,0,0,1.3117635250091553,-0.2213430404663086,-1.0904204845428467,-1.3117635250091553,-1.85508131980896,-2.0089080333709717,13.609931916999983,7061,0,0.0,3643476.0
60,clinical_knowledge,2,0,0,2.2287068367004395,-0.9547528028488159,-1.2739540338516235,-1.558531403541565,-2.2287068367004395,-1.633349061012268,13.609931916999983,9002,0,0.0,4645032.0
61,anatomy,1,0,0,1.5228980779647827,-0.45040130615234375,-1.072496771812439,-1.5228980779647827,-2.1831469535827637,-1.6659988164901733,13.609931916999983,14984,0,0.0,7731744.0
62,clinical_knowledge,3,0,0,1.8351119756698608,-0.6900768280029297,-1.1450351476669312,-1.3682645559310913,-1.543469786643982,-1.8351119756698608,13.609931916999983,12073,0,0.0,6229668.0
63,econometrics,1,1,1,1.370463252067566,0.20619869232177734,-1.5766619443893433,-1.370463252067566,-2.099045753479004,-1.7872875928878784,13.609931916999983,25000,0,0.0,12900000.0
64,clinical_knowledge,2,0,0,1.8014060258865356,-0.5469551086425781,-1.2544509172439575,-1.2952042818069458,-1.8014060258865356,-1.8832045793533325,11.994261750000021,14208,0,0.0,7331328.0
65,electrical_engineering,1,0,0,1.3113446235656738,-0.10509872436523438,-1.2062458992004395,-1.3113446235656738,-1.806434154510498,-2.02211332321167,11.994261750000021,8205,0,0.0,4233780.0
66,formal_logic,3,0,0,1.8913207054138184,-0.8709192276000977,-1.0204014778137207,-1.6002306938171387,-1.9636874198913574,-1.8913207054138184,11.994261750000021,9249,0,0.0,4772484.0
67,computer_security,1,0,0,1.4784126281738281,-0.25885772705078125,-1.2195549011230469,-1.4784126281738281,-1.6994543075561523,-1.5581855773925781,11.994261750000021,13034,0,0.0,6725544.0
68,professional_accounting,3,0,0,1.8271528482437134,-0.6557121276855469,-1.1714407205581665,-1.3618398904800415,-1.6092840433120728,-1.8271528482437134,11.994261750000021,20897,0,0.0,10782852.0
69,astronomy,2,0,0,2.14670467376709,-1.2118576765060425,-0.9348469972610474,-1.5717326402664185,-2.14670467376709,-1.832755208015442,11.994261750000021,7518,0,0.0,3879288.0
70,business_ethics,3,0,0,1.7239195108413696,-0.6035547256469727,-1.120364785194397,-1.3421951532363892,-1.942660927772522,-1.7239195108413696,11.994261750000021,13228,0,0.0,6825648.0
71,abstract_algebra,3,1,0,2.027888059616089,-0.5641641616821289,-2.0181329250335693,-1.46372389793396,-2.6146047115325928,-2.027888059616089,11.994261750000021,9935,0,0.0,5126460.0
72,econometrics,1,0,0,1.5960010290145874,-0.4470787048339844,-1.148922324180603,-1.5960010290145874,-2.138000011444092,-1.8664182424545288,11.994261750000021,12094,0,0.0,6240504.0
73,astronomy,2,1,0,2.2971560955047607,-1.0659761428833008,-1.3876807689666748,-1.23117995262146,-2.2971560955047607,-1.9123094081878662,11.994261750000021,7927,0,0.0,4090332.0
74,anatomy,0,0,1,1.3391516208648682,0.11182689666748047,-1.3391516208648682,-1.4509785175323486,-1.8265011310577393,-1.6931383609771729,11.994261750000021,7236,0,0.0,3733776.0
75,electrical_engineering,3,0,0,1.7801423072814941,-0.5400171279907227,-1.2401251792907715,-1.3237786293029785,-1.5610241889953613,-1.7801423072814941,11.994261750000021,10007,0,0.0,5163612.0
76,econometrics,3,0,0,1.7710922956466675,-0.6135931015014648,-1.1574991941452026,-1.5929030179977417,-1.8646734952926636,-1.7710922956466675,11.994261750000021,11756,0,0.0,6066096.0
77,college_computer_science,0,0,1,1.1410894393920898,0.22475242614746094,-1.1410894393920898,-1.3658418655395508,-1.594207763671875,-1.759185791015625,11.994261750000021,11149,0,0.0,5752884.0
78,high_school_physics,0,0,1,1.344631314277649,0.5549507141113281,-1.344631314277649,-1.899582028388977,-2.201627731323242,-2.0640439987182617,11.994261750000021,18900,0,0.0,9752400.0
79,anatomy,3,0,0,1.538820743560791,-0.3438282012939453,-1.1949925422668457,-1.5413851737976074,-1.5717511177062988,-1.538820743560791,11.994261750000021,11167,0,0.0,5762172.0
80,business_ethics,3,0,0,1.9368611574172974,-0.9556846618652344,-0.981176495552063,-1.4292575120925903,-1.7716399431228638,-1.9368611574172974,11.994261750000021,10075,0,0.0,5198700.0
81,college_mathematics,0,0,1,1.6235997676849365,0.11620807647705078,-1.6235997676849365,-1.7398078441619873,-2.3381354808807373,-1.985910177230835,11.994261750000021,15096,0,0.0,7789536.0
82,clinical_knowledge,2,0,0,2.0639474391937256,-0.8052644729614258,-1.2586829662322998,-1.4178006649017334,-2.0639474391937256,-1.638761281967163,11.994261750000021,9171,0,0.0,4732236.0
83,high_school_mathematics,0,1,0,1.670667290687561,-0.30101966857910156,-1.670667290687561,-1.3696476221084595,-2.1622605323791504,-2.359501361846924,11.994261750000021,7899,0,0.0,4075884.0
84,high_school_physics,2,0,0,2.1942973136901855,-1.0195789337158203,-1.1747183799743652,-1.445054531097412,-2.1942973136901855,-1.9641385078430176,11.994261750000021,12923,0,0.0,6668268.0
85,electrical_engineering,2,0,0,2.2409119606018066,-0.6130131483078003,-1.6278988122940063,-1.6352497339248657,-2.2409119606018066,-1.8113857507705688,11.994261750000021,9042,0,0.0,4665672.0
86,machine_learning,1,0,0,1.3301477432250977,-0.22212505340576172,-1.108022689819336,-1.3301477432250977,-2.0843915939331055,-1.8271236419677734,11.994261750000021,12810,0,0.0,6609960.0
87,econometrics,2,0,0,1.9463878870010376,-0.5944681167602539,-1.3519197702407837,-1.390734314918518,-1.9463878870010376,-1.5843559503555298,11.994261750000021,13192,0,0.0,6807072.0
