global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,bf16_reference,32,0,,49789,0,0.0,25691124.0,25691124.0,4283316.0,4283316.0,171.33264,0,0.0,0.0,0.0,171.33264,8301.0,7827.0
1,0,1,bf16_reference,32,0,,50002,0,0.0,25801032.0,25801032.0,3872580.0,3872580.0,154.9032,0,0.0,0.0,0.0,154.9032,7505.0,7469.0
2,0,2,bf16_reference,32,0,,49904,0,0.0,25750464.0,25750464.0,4732236.0,4732236.0,189.28944,0,0.0,0.0,0.0,189.28944,9171.0,7411.0
3,0,3,bf16_reference,32,0,,50126,0,0.0,25865016.0,25865016.0,4093944.0,4093944.0,163.75776,0,0.0,0.0,0.0,163.75776,7593.0,7934.0
4,0,4,bf16_reference,32,0,,50124,0,0.0,25863984.0,25863984.0,4077948.0,4077948.0,163.11792,0,0.0,0.0,0.0,163.11792,7903.0,7568.0
5,0,5,bf16_reference,32,0,,50182,0,0.0,25893912.0,25893912.0,4033572.0,4033572.0,161.34288,0,0.0,0.0,0.0,161.34288,6893.0,7817.0
6,0,6,bf16_reference,32,0,,50074,0,0.0,25838184.0,25838184.0,3846264.0,3846264.0,153.85056,0,0.0,0.0,0.0,153.85056,6796.0,7454.0
7,0,7,bf16_reference,32,0,,50355,0,0.0,25983180.0,25983180.0,3856584.0,3856584.0,154.26336,0,0.0,0.0,0.0,154.26336,7342.0,7474.0
8,0,8,bf16_reference,32,0,,49990,0,0.0,25794840.0,25794840.0,3994872.0,3994872.0,159.79488,0,0.0,0.0,0.0,159.79488,7090.0,7742.0
9,0,9,bf16_reference,32,0,,50020,0,0.0,25810320.0,25810320.0,3919536.0,3919536.0,156.78144,0,0.0,0.0,0.0,156.78144,7165.0,7596.0
10,0,10,bf16_reference,32,0,,50177,0,0.0,25891332.0,25891332.0,4036152.0,4036152.0,161.44608,0,0.0,0.0,0.0,161.44608,7599.0,7822.0
11,0,11,bf16_reference,32,0,,50401,0,0.0,26006916.0,26006916.0,4081560.0,4081560.0,163.2624,0,0.0,0.0,0.0,163.2624,7352.0,7910.0
12,0,12,bf16_reference,32,0,,49976,0,0.0,25787616.0,25787616.0,3947916.0,3947916.0,157.91664,0,0.0,0.0,0.0,157.91664,7651.0,7595.0
13,0,13,bf16_reference,32,0,,50106,0,0.0,25854696.0,25854696.0,4062984.0,4062984.0,162.51936,0,0.0,0.0,0.0,162.51936,7589.0,7874.0
14,0,14,bf16_reference,32,0,,50179,0,0.0,25892364.0,25892364.0,4193016.0,4193016.0,167.72064,0,0.0,0.0,0.0,167.72064,7160.0,8126.0
15,0,15,bf16_reference,32,0,,50635,0,0.0,26127660.0,26127660.0,4061952.0,4061952.0,162.47808,0,0.0,0.0,0.0,162.47808,6895.0,7872.0
16,1,0,bf16_reference,32,0,,51723,0,0.0,26689068.0,26689068.0,4388580.0,4388580.0,175.5432,0,0.0,0.0,0.0,175.5432,8505.0,7909.0
17,1,1,bf16_reference,32,0,,51250,0,0.0,26445000.0,26445000.0,4028412.0,4028412.0,161.13648,0,0.0,0.0,0.0,161.13648,7807.0,7370.0
18,1,2,bf16_reference,32,0,,52227,0,0.0,26949132.0,26949132.0,4753392.0,4753392.0,190.13568,0,0.0,0.0,0.0,190.13568,9212.0,7340.0
19,1,3,bf16_reference,32,0,,52226,0,0.0,26948616.0,26948616.0,4098072.0,4098072.0,163.92288,0,0.0,0.0,0.0,163.92288,7942.0,7563.0
20,1,4,bf16_reference,32,0,,52059,0,0.0,26862444.0,26862444.0,4021188.0,4021188.0,160.84752,0,0.0,0.0,0.0,160.84752,7793.0,7479.0
21,1,5,bf16_reference,32,0,,52193,0,0.0,26931588.0,26931588.0,3785892.0,3785892.0,151.43568,0,0.0,0.0,0.0,151.43568,7127.0,7337.0
22,1,6,bf16_reference,32,0,,52067,0,0.0,26866572.0,26866572.0,3882900.0,3882900.0,155.316,0,0.0,0.0,0.0,155.316,6918.0,7525.0
23,1,7,bf16_reference,32,0,,51416,0,0.0,26530656.0,26530656.0,3846264.0,3846264.0,153.85056,0,0.0,0.0,0.0,153.85056,7422.0,7454.0
