request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,high_school_physics,0,0,1,1.4151312112808228,0.14259052276611328,-1.4151312112808228,-2.507812976837158,-2.457192897796631,-1.557721734046936,13.84104183399998,18841,18841,1.0,4898660.0
1,anatomy,1,0,0,1.5378177165985107,-0.2664031982421875,-1.2714145183563232,-1.5378177165985107,-1.9563014507293701,-1.641972303390503,13.84104183399998,14969,7684,0.5133275435900861,5756900.0
2,business_ethics,3,0,0,1.603379249572754,-0.3986530303955078,-1.204726219177246,-1.862356185913086,-1.991495132446289,-1.603379249572754,13.84104183399998,10071,10071,1.0,2618460.0
3,electrical_engineering,3,0,0,2.113037586212158,-0.9110031127929688,-1.2020344734191895,-1.6174015998840332,-2.181002140045166,-2.113037586212158,13.84104183399998,7383,2020,0.2736015169985101,3292508.0
4,college_computer_science,2,0,0,1.9488859176635742,-0.7083063125610352,-1.240579605102539,-1.2839975357055664,-1.9488859176635742,-1.7206106185913086,13.84104183399998,14231,3680,0.2585904012367367,6401116.0
5,college_computer_science,2,1,0,2.5471694469451904,-1.0148286819458008,-1.5408313274383545,-1.5323407649993896,-2.5471694469451904,-1.958139181137085,13.84104183399998,10065,0,0.0,5193540.0
6,electrical_engineering,2,0,0,1.7223000526428223,-0.6341762542724609,-1.0881237983703613,-1.3623099327087402,-1.7223000526428223,-1.91585111618042,13.84104183399998,7154,1759,0.24587643276488677,3241160.0
7,business_ethics,3,0,0,1.8368216753005981,-0.5414953231811523,-1.2953263521194458,-1.395039677619934,-1.6626263856887817,-1.8368216753005981,13.84104183399998,13360,0,0.0,6893760.0
8,high_school_physics,0,1,0,1.4013075828552246,-0.10740184783935547,-1.4013075828552246,-1.2939057350158691,-1.9285674095153809,-1.555591106414795,13.84104183399998,10435,10435,1.0,2713100.0
9,computer_security,1,0,0,1.5781069993972778,-0.32696056365966797,-1.2511464357376099,-1.5781069993972778,-1.6783143281936646,-1.805050015449524,13.84104183399998,7541,3874,0.5137249701631084,2899412.0
10,business_ethics,0,0,1,1.749768614768982,0.4222489595413208,-1.749768614768982,-2.1720175743103027,-2.746422290802002,-2.602151393890381,13.84104183399998,7395,7395,1.0,1922700.0
11,abstract_algebra,2,1,0,2.8935487270355225,-0.6213464736938477,-2.4562623500823975,-2.272202253341675,-2.8935487270355225,-2.7226760387420654,13.84104183399998,10595,2956,0.2789995280792827,4710284.0
12,astronomy,3,0,0,1.645795226097107,-0.44410228729248047,-1.2016929388046265,-1.3674710988998413,-1.7923005819320679,-1.645795226097107,13.84104183399998,10517,2671,0.2539697632404678,4742996.0
13,econometrics,1,1,1,1.8681385517120361,0.12107086181640625,-1.9892094135284424,-1.8681385517120361,-2.4397385120391846,-2.120124101638794,13.84104183399998,16713,0,0.0,8623908.0
14,clinical_knowledge,1,0,0,1.3745630979537964,-0.16352272033691406,-1.2110403776168823,-1.3745630979537964,-1.726770281791687,-1.6375254392623901,13.84104183399998,12591,3252,0.2582797236121039,5664444.0
15,high_school_physics,0,0,1,1.4339572191238403,0.1258401870727539,-1.4339572191238403,-1.703969120979309,-1.7606698274612427,-1.5597974061965942,13.84104183399998,29204,0,0.0,15069264.0
16,computer_security,0,1,0,1.6702101230621338,-0.11690521240234375,-1.6702101230621338,-1.55330491065979,-2.3157408237457275,-1.8132879734039307,13.84104183399998,19008,19008,1.0,4942080.0
17,clinical_knowledge,3,0,0,1.6028094291687012,-0.12335872650146484,-1.4794507026672363,-1.7324509620666504,-1.9708037376403809,-1.6028094291687012,13.84104183399998,9384,4865,0.5184356351236147,3596704.0
18,abstract_algebra,1,0,0,1.8868216276168823,-0.23592567443847656,-1.6508959531784058,-1.8868216276168823,-2.6556577682495117,-2.303943634033203,13.84104183399998,7726,7726,1.0,2008760.0
19,high_school_mathematics,1,0,0,2.5380940437316895,-0.8144311904907227,-1.7236628532409668,-2.5380940437316895,-2.571441173553467,-2.8533873558044434,13.84104183399998,9694,2775,0.2862595419847328,4291704.0
20,professional_accounting,2,0,0,1.9007835388183594,-0.6989421844482422,-1.2018413543701172,-1.4941024780273438,-1.9007835388183594,-1.6999378204345703,13.84104183399998,11440,2864,0.25034965034965034,5169856.0
21,econometrics,2,0,0,1.871383547782898,-0.5425052642822266,-1.3288782835006714,-1.5833252668380737,-1.871383547782898,-1.692966341972351,13.84104183399998,13917,0,0.0,7181172.0
22,anatomy,1,0,0,1.5021090507507324,-0.26159191131591797,-1.2405171394348145,-1.5021090507507324,-2.0173802375793457,-1.8016104698181152,13.84104183399998,8225,2084,0.25337386018237085,3710596.0
23,formal_logic,2,0,0,2.362582206726074,-1.3809432983398438,-0.9816389679908752,-1.3906383514404297,-2.362582206726074,-2.164735794067383,13.84104183399998,18727,0,0.0,9663132.0
24,high_school_mathematics,3,0,0,2.5956807136535645,-1.0478382110595703,-1.5478425025939941,-1.8606953620910645,-2.239107608795166,-2.5956807136535645,13.84104183399998,10517,10517,1.0,2734420.0
25,professional_accounting,0,0,1,1.3300681114196777,0.19146060943603516,-1.3300681114196777,-1.8846564292907715,-1.521528720855713,-1.6205811500549316,13.84104183399998,23014,11725,0.5094724950030416,8873624.0
26,electrical_engineering,2,0,0,1.875626802444458,-0.5797939300537109,-1.295832872390747,-1.6397373676300049,-1.875626802444458,-1.4979126453399658,13.84104183399998,8357,8357,1.0,2172820.0
27,high_school_mathematics,1,1,1,2.2881507873535156,0.4516620635986328,-2.7398128509521484,-2.2881507873535156,-4.0810651779174805,-3.650806427001953,13.84104183399998,9110,2479,0.2721185510428101,4066136.0
28,conceptual_physics,2,0,0,1.799342155456543,-0.5945892333984375,-1.2047529220581055,-1.4111623764038086,-1.799342155456543,-1.888986587524414,13.84104183399998,6827,1741,0.25501684488062104,3077036.0
29,abstract_algebra,3,1,0,2.117784261703491,-0.6574182510375977,-1.9647386074066162,-1.4603660106658936,-2.7185428142547607,-2.117784261703491,13.84104183399998,9720,0,0.0,5015520.0
30,econometrics,0,0,1,1.4554743766784668,0.2871370315551758,-1.4554743766784668,-1.7426114082336426,-2.254957675933838,-2.020805835723877,13.84104183399998,17320,4482,0.2587759815242494,7789728.0
31,machine_learning,0,0,1,1.2589666843414307,0.13492679595947266,-1.2589666843414307,-1.3938934803009033,-2.1731951236724854,-1.7237274646759033,13.84104183399998,10605,0,0.0,5472180.0
32,abstract_algebra,2,1,0,2.989353656768799,-0.738652229309082,-2.3671603202819824,-2.250701427459717,-2.989353656768799,-2.426323413848877,13.84104183399998,13439,13439,1.0,3494140.0
33,anatomy,0,0,1,1.3115246295928955,0.1152486801147461,-1.3115246295928955,-1.8801023960113525,-1.7009966373443604,-1.4267733097076416,13.84104183399998,13532,6899,0.5098285545373928,5216368.0
34,anatomy,1,0,0,1.9151684045791626,-0.6028327941894531,-1.3123356103897095,-1.9151684045791626,-1.5985103845596313,-1.817085862159729,13.84104183399998,10048,10048,1.0,2612480.0
35,high_school_physics,2,0,0,2.330632209777832,-0.7513980865478516,-1.5792341232299805,-1.8784399032592773,-2.330632209777832,-1.6704092025756836,13.84104183399998,12896,3495,0.27101426799007444,5759616.0
36,professional_accounting,3,1,0,2.0221657752990723,-0.28274238109588623,-1.7452665567398071,-1.739423394203186,-2.2071290016174316,-2.0221657752990723,13.84104183399998,30358,7912,0.26062322946175637,13639256.0
37,professional_accounting,1,0,0,1.4317253828048706,-0.4075508117675781,-1.0241745710372925,-1.4317253828048706,-1.929911494255066,-1.9628266096115112,13.84104183399998,8695,0,0.0,4486620.0
38,conceptual_physics,1,0,0,1.4299694299697876,-0.1669921875,-1.2629772424697876,-1.4299694299697876,-2.1344399452209473,-1.6194692850112915,13.84104183399998,7160,1788,0.24972067039106144,3236832.0
39,college_computer_science,0,1,0,1.4776171445846558,-0.386962890625,-1.4776171445846558,-1.0906542539596558,-2.1764698028564453,-2.2141895294189453,13.84104183399998,13300,0,0.0,6862800.0
40,abstract_algebra,2,0,0,2.6994287967681885,-0.8477869033813477,-1.8516418933868408,-2.125917673110962,-2.6994287967681885,-2.4661457538604736,13.84104183399998,12879,12879,1.0,3348540.0
41,econometrics,1,0,0,1.6093802452087402,-0.39522457122802734,-1.214155673980713,-1.6093802452087402,-1.7348828315734863,-1.5132393836975098,13.84104183399998,9486,4944,0.5211891208096142,3629112.0
42,machine_learning,3,1,0,2.315993309020996,-0.2726306915283203,-2.1362857818603516,-2.043362617492676,-2.372701644897461,-2.315993309020996,13.84104183399998,11490,11490,1.0,2987400.0
43,professional_accounting,3,0,0,1.4170148372650146,-0.26168060302734375,-1.155334234237671,-1.8663766384124756,-1.6683480739593506,-1.4170148372650146,13.84104183399998,14725,3863,0.2623429541595925,6609172.0
44,college_mathematics,1,1,1,1.6359423398971558,0.329254150390625,-1.9651964902877808,-1.6359423398971558,-2.107253074645996,-2.3690261840820312,13.84104183399998,12055,3166,0.2626296142679386,5409884.0
45,conceptual_physics,1,0,0,1.4916878938674927,-0.09002399444580078,-1.401663899421692,-1.4916878938674927,-1.8251181840896606,-1.631637692451477,13.84104183399998,10707,0,0.0,5524812.0
46,econometrics,1,0,0,1.6066323518753052,-0.39655590057373047,-1.2100764513015747,-1.6066323518753052,-2.1176271438598633,-1.7878810167312622,13.84104183399998,11717,3045,0.2598788085687463,5266452.0
47,astronomy,2,1,0,1.9972025156021118,-0.7926321029663086,-1.238364815711975,-1.2045704126358032,-1.9972025156021118,-1.8007646799087524,13.84104183399998,9727,0,0.0,5019132.0
48,high_school_physics,1,0,0,1.9618855714797974,-0.17021656036376953,-1.7916690111160278,-1.9618855714797974,-2.0464658737182617,-2.357402801513672,13.84104183399998,13939,13939,1.0,3624140.0
49,business_ethics,1,0,0,1.6346553564071655,-0.1345958709716797,-1.5000594854354858,-1.6346553564071655,-1.9651063680648804,-1.80270516872406,13.84104183399998,9146,4708,0.514760551060573,3514088.0
50,computer_security,1,3,0,1.8419026136398315,-0.41165924072265625,-1.6196106672286987,-1.8419026136398315,-1.9538935422897339,-1.4302433729171753,13.84104183399998,13613,13613,1.0,3539380.0
51,professional_accounting,2,2,1,1.9401565790176392,0.2509812116622925,-2.2755017280578613,-2.1911377906799316,-1.9401565790176392,-2.2024569511413574,13.84104183399998,24215,6444,0.2661160437745199,10845276.0
52,abstract_algebra,1,1,1,1.4643356800079346,0.048526763916015625,-1.5128624439239502,-1.4643356800079346,-2.588829278945923,-2.3483545780181885,13.84104183399998,7793,1965,0.25214936481457717,3518148.0
53,computer_security,3,0,0,1.8486148118972778,-0.7067022323608398,-1.141912579536438,-1.4337464570999146,-1.9196454286575317,-1.8486148118972778,13.84104183399998,6625,0,0.0,3418500.0
