request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,high_school_physics,0,0,1,1.5102449655532837,0.1384563446044922,-1.5102449655532837,-2.610384464263916,-2.6324572563171387,-1.6487013101577759,14.378714874999957,18836,18836,1.0,4897360.0
1,anatomy,1,0,0,1.4143354892730713,-0.2215728759765625,-1.1927626132965088,-1.4143354892730713,-1.8573687076568604,-1.849834680557251,14.378714874999957,14983,14983,1.0,3895580.0
2,business_ethics,3,0,0,1.603379249572754,-0.3986530303955078,-1.204726219177246,-1.862356185913086,-1.991495132446289,-1.603379249572754,14.378714874999957,10071,10071,1.0,2618460.0
3,electrical_engineering,3,0,0,1.9098339080810547,-0.8043804168701172,-1.1054534912109375,-1.7605628967285156,-1.9717979431152344,-1.9098339080810547,14.378714874999957,7380,7380,1.0,1918800.0
4,college_computer_science,2,0,0,1.9381992816925049,-0.6706733703613281,-1.2675259113311768,-1.6087191104888916,-1.9381992816925049,-1.6229345798492432,14.378714874999957,15199,15199,1.0,3951740.0
5,college_computer_science,2,0,0,2.55977463722229,-0.5392494201660156,-2.0205252170562744,-2.1541998386383057,-2.55977463722229,-2.1279594898223877,14.378714874999957,10379,10379,1.0,2698540.0
6,electrical_engineering,2,0,0,1.5062092542648315,-0.38916873931884766,-1.1170405149459839,-1.6325377225875854,-1.5062092542648315,-1.9318054914474487,14.378714874999957,7695,7695,1.0,2000700.0
7,business_ethics,3,2,0,1.8476804494857788,-0.47509765625,-1.4155830144882202,-1.4527372121810913,-1.3725827932357788,-1.8476804494857788,14.378714874999957,13740,13740,1.0,3572400.0
8,high_school_physics,0,1,0,1.397768497467041,-0.003551483154296875,-1.397768497467041,-1.3942170143127441,-1.79166841506958,-1.5913100242614746,14.378714874999957,10434,10434,1.0,2712840.0
9,computer_security,1,0,0,1.5861536264419556,-0.28914356231689453,-1.297010064125061,-1.5861536264419556,-1.4808651208877563,-1.6287227869033813,14.378714874999957,7541,7541,1.0,1960660.0
10,business_ethics,0,0,1,1.7497681379318237,0.4222499132156372,-1.7497681379318237,-2.172018051147461,-2.7464218139648438,-2.6021509170532227,14.378714874999957,7395,7395,1.0,1922700.0
11,abstract_algebra,2,1,0,3.0074172019958496,-0.937169075012207,-2.162161350250244,-2.0702481269836426,-3.0074172019958496,-2.5889382362365723,14.378714874999957,10621,10621,1.0,2761460.0
12,astronomy,3,0,0,1.4464731216430664,-0.21085643768310547,-1.235616683959961,-1.596858024597168,-1.797377586364746,-1.4464731216430664,14.378714874999957,10724,10724,1.0,2788240.0
13,econometrics,1,1,1,1.8785040378570557,0.26089000701904297,-2.1393940448760986,-1.8785040378570557,-2.395068407058716,-2.3074190616607666,14.378714874999957,16841,16841,1.0,4378660.0
14,clinical_knowledge,1,0,0,1.4933791160583496,-0.1709146499633789,-1.3224644660949707,-1.4933791160583496,-1.9110169410705566,-1.6930251121520996,14.378714874999957,13015,13015,1.0,3383900.0
15,high_school_physics,0,3,0,1.4640430212020874,-0.25797176361083984,-1.4640430212020874,-2.3113932609558105,-1.891741156578064,-1.2060712575912476,14.378714874999957,28931,28931,1.0,7522060.0
16,computer_security,0,1,0,1.67020845413208,-0.11690330505371094,-1.67020845413208,-1.5533051490783691,-2.3157410621643066,-1.8132872581481934,14.378714874999957,19008,19008,1.0,4942080.0
17,clinical_knowledge,3,0,0,1.4532009363174438,-0.05769634246826172,-1.3955045938491821,-1.5075823068618774,-1.8285480737686157,-1.4532009363174438,14.378714874999957,9386,9386,1.0,2440360.0
18,abstract_algebra,1,0,0,1.8868216276168823,-0.23592567443847656,-1.6508959531784058,-1.8868216276168823,-2.6556577682495117,-2.303943634033203,14.378714874999957,7726,7726,1.0,2008760.0
19,high_school_mathematics,1,0,0,2.4181876182556152,-0.7404937744140625,-1.6776938438415527,-2.4181876182556152,-2.583800792694092,-3.0309176445007324,14.378714874999957,9712,9712,1.0,2525120.0
20,professional_accounting,2,0,0,1.6540677547454834,-0.38893604278564453,-1.2651317119598389,-1.5311191082000732,-1.6540677547454834,-1.7925546169281006,14.378714874999957,11867,11867,1.0,3085420.0
