global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,uniform_full,32,0,,53815,0,0.0,27768540.0,27768540.0,4640904.0,4640904.0,185.63616,0,0.0,0.0,0.0,185.63616,8994.0,7963.0
1,0,1,uniform_full,32,0,,54026,0,0.0,27877416.0,27877416.0,4024284.0,4024284.0,160.97136,0,0.0,0.0,0.0,160.97136,7799.0,7460.0
2,0,2,uniform_full,32,0,,54622,0,0.0,28184952.0,28184952.0,5123880.0,5123880.0,204.9552,0,0.0,0.0,0.0,204.9552,9930.0,7861.0
3,0,3,uniform_full,32,0,,54636,0,0.0,28192176.0,28192176.0,4263708.0,4263708.0,170.54832,0,0.0,0.0,0.0,170.54832,8198.0,8263.0
4,0,4,uniform_full,32,0,,55187,0,0.0,28476492.0,28476492.0,4455660.0,4455660.0,178.2264,0,0.0,0.0,0.0,178.2264,8635.0,7866.0
5,0,5,uniform_full,32,0,,55392,0,0.0,28582272.0,28582272.0,4236876.0,4236876.0,169.47504,0,0.0,0.0,0.0,169.47504,7650.0,8211.0
6,0,6,uniform_full,32,0,,53974,0,0.0,27850584.0,27850584.0,3881868.0,3881868.0,155.27472,0,0.0,0.0,0.0,155.27472,7281.0,7523.0
7,0,7,uniform_full,32,0,,54007,0,0.0,27867612.0,27867612.0,4120776.0,4120776.0,164.83104,0,0.0,0.0,0.0,164.83104,7986.0,7632.0
8,0,8,uniform_full,32,0,,54707,0,0.0,28228812.0,28228812.0,4096524.0,4096524.0,163.86096,0,0.0,0.0,0.0,163.86096,7557.0,7939.0
9,0,9,uniform_full,32,0,,55465,0,0.0,28619940.0,28619940.0,4274544.0,4274544.0,170.98176,0,0.0,0.0,0.0,170.98176,8136.0,8284.0
10,0,10,uniform_full,32,0,,54180,0,0.0,27956880.0,27956880.0,4301892.0,4301892.0,172.07568,0,0.0,0.0,0.0,172.07568,8337.0,7910.0
11,0,11,uniform_full,32,0,,55394,0,0.0,28583304.0,28583304.0,4084656.0,4084656.0,163.38624,0,0.0,0.0,0.0,163.38624,7916.0,7544.0
12,0,12,uniform_full,32,0,,54286,0,0.0,28011576.0,28011576.0,4158444.0,4158444.0,166.33776,0,0.0,0.0,0.0,166.33776,8059.0,7843.0
13,0,13,uniform_full,32,0,,54058,0,0.0,27893928.0,27893928.0,4298796.0,4298796.0,171.95184,0,0.0,0.0,0.0,171.95184,8331.0,7779.0
14,0,14,uniform_full,32,0,,54454,0,0.0,28098264.0,28098264.0,4183728.0,4183728.0,167.34912,0,0.0,0.0,0.0,167.34912,8108.0,8104.0
15,0,15,uniform_full,32,0,,54198,0,0.0,27966168.0,27966168.0,3789504.0,3789504.0,151.58016,0,0.0,0.0,0.0,151.58016,7271.0,7344.0
16,1,0,uniform_full,32,0,,52862,0,0.0,27276792.0,27276792.0,13229724.0,13229724.0,529.18896,0,0.0,0.0,0.0,529.18896,12351.0,25639.0
17,1,1,uniform_full,32,0,,50782,0,0.0,26203512.0,26203512.0,12423216.0,12423216.0,496.92864,0,0.0,0.0,0.0,496.92864,10178.0,24076.0
18,1,2,uniform_full,32,0,,51835,0,0.0,26746860.0,26746860.0,12879360.0,12879360.0,515.1744,0,0.0,0.0,0.0,515.1744,13549.0,24960.0
19,1,3,uniform_full,32,0,,50461,0,0.0,26037876.0,26037876.0,12106908.0,12106908.0,484.27632,0,0.0,0.0,0.0,484.27632,10507.0,23463.0
20,1,4,uniform_full,32,0,,52467,0,0.0,27072972.0,27072972.0,13142004.0,13142004.0,525.68016,0,0.0,0.0,0.0,525.68016,11608.0,25469.0
21,1,5,uniform_full,32,0,,51337,0,0.0,26489892.0,26489892.0,12572856.0,12572856.0,502.91424,0,0.0,0.0,0.0,502.91424,9954.0,24366.0
22,1,6,uniform_full,32,0,,51529,0,0.0,26588964.0,26588964.0,12910320.0,12910320.0,516.4128,0,0.0,0.0,0.0,516.4128,9941.0,25020.0
23,1,7,uniform_full,32,0,,51087,0,0.0,26360892.0,26360892.0,12445404.0,12445404.0,497.81616,0,0.0,0.0,0.0,497.81616,10804.0,24119.0
24,1,8,uniform_full,32,0,,51224,0,0.0,26431584.0,26431584.0,12643032.0,12643032.0,505.72128,0,0.0,0.0,0.0,505.72128,10080.0,24502.0
25,1,9,uniform_full,32,0,,52155,0,0.0,26911980.0,26911980.0,12826212.0,12826212.0,513.04848,0,0.0,0.0,0.0,513.04848,9797.0,24857.0
26,1,10,uniform_full,32,0,,52129,0,0.0,26898564.0,26898564.0,13021260.0,13021260.0,520.8504,0,0.0,0.0,0.0,520.8504,11126.0,25235.0
