global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,causal_no_hysteresis,32,0,,49789,0,0.0,25691124.0,25691124.0,4283316.0,4283316.0,171.33264,0,0.0,0.0,0.0,171.33264,8301.0,7827.0
1,0,1,causal_no_hysteresis,32,24,0:4;0:7;1:4;1:5;1:6;1:7;2:4;2:7;3:4;3:7;4:0;4:1;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:3,50015,40156,0.8028791362591222,15527804.0,25807740.0,3873096.0,2753608.0,154.92384,1265,33.42015981674194,42276.50216817856,33.42015981674194,143.56447981674194,7506.0,7471.0
2,0,2,causal_no_hysteresis,32,19,0:4;0:7;1:4;1:5;1:6;1:7;2:4;2:7;3:4;3:5;3:6;3:7;4:0;5:0;6:0;6:1;6:2;6:3;7:0,49943,33423,0.6692229141220992,17214300.0,25770588.0,4737912.0,2839156.0,189.51648,1054,33.42015981674194,35224.84844684601,33.42015981674194,146.98639981674194,9182.0,7436.0
3,0,3,causal_no_hysteresis,32,22,0:4;0:5;0:6;0:7;1:4;1:7;2:4;2:7;3:4;3:5;3:6;3:7;4:0;4:1;5:0;5:1;6:0;6:1;6:2;6:3;7:0;7:1,50049,36904,0.7373573897580371,16377860.0,25825284.0,4097556.0,2608844.0,163.90224,1164,33.42015981674194,38901.06602668762,33.42015981674194,137.77391981674194,7604.0,7941.0
4,0,4,causal_no_hysteresis,32,19,0:4;0:7;1:4;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;5:0;6:0;7:0;7:1;7:2;7:3,49922,30610,0.6131565241777173,17923592.0,25759752.0,4078980.0,3475076.0,163.1592,965,33.42015981674194,32250.454223155975,33.42015981674194,172.42319981674194,7905.0,7540.0
5,0,5,causal_no_hysteresis,32,20,0:4;0:7;1:4;1:5;1:6;1:7;2:4;2:7;3:4;3:7;4:0;4:1;5:0;5:1;6:0;6:1;6:2;6:3;7:0;7:1,50121,33672,0.6718142096127372,17242404.0,25862436.0,4027896.0,2660456.0,161.11584,1061,33.42015981674194,35458.7895655632,33.42015981674194,139.83839981674194,6893.0,7806.0
6,0,6,causal_no_hysteresis,32,24,0:4;0:5;0:6;0:7;1:4;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;5:0;5:1;6:0;6:1;6:2;6:3;7:0;7:1,50173,38684,0.7710122974508201,15986164.0,25889268.0,3848844.0,2878972.0,153.95376,1220,33.42015981674194,40772.59497642517,33.42015981674194,148.57903981674195,6770.0,7459.0
7,0,7,causal_no_hysteresis,32,26,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:7;3:4;3:7;4:0;4:1;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:3;7:0;7:1;7:2;7:3,50369,41929,0.8324366177609244,15256580.0,25990404.0,3860712.0,2524656.0,154.42848,1322,33.42015981674194,44181.45127773285,33.42015981674194,134.40639981674195,7279.0,7482.0
8,0,8,causal_no_hysteresis,32,21,0:4;0:5;0:6;0:7;1:4;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;5:0;6:0;6:1;6:2;6:3;7:0,50002,33580,0.671573137074517,17204552.0,25801032.0,3981972.0,2992440.0,159.27888,1059,33.42015981674194,35391.94924592972,33.42015981674194,153.11775981674194,6993.0,7717.0
9,0,9,causal_no_hysteresis,32,22,0:4;0:7;1:4;1:5;1:6;1:7;2:4;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;6:0;6:1;7:0;7:1,50050,36427,0.7278121878121878,16500488.0,25825800.0,3921084.0,2752592.0,156.84336,1152,33.42015981674194,38500.02410888672,33.42015981674194,143.52383981674194,7239.0,7599.0
