request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,abstract_algebra,1,1,1,1.6176315546035767,0.171875,-2.078568935394287,-1.6176315546035767,-2.023881435394287,-1.7895065546035767,44.97385374999999,5192,5192,1.0,5337376.0
1,abstract_algebra,2,3,0,1.8070154190063477,-0.8437499403953552,-1.9476404190063477,-2.3460779190063477,-1.8070154190063477,-0.9632654786109924,44.97385374999999,5334,1459,0.2735283089613798,9451352.0
2,computer_security,2,3,0,1.5134878158569336,-0.171875,-1.8572378158569336,-1.5916128158569336,-1.5134878158569336,-1.3416128158569336,44.97385374999999,7426,0,0.0,15238152.0
3,abstract_algebra,0,3,0,1.9698123931884766,-0.234375,-1.9698123931884766,-1.7510623931884766,-1.7510623931884766,-1.7354373931884766,44.97385374999999,6902,0,0.0,14162904.0
4,abstract_algebra,2,2,1,1.3560847043991089,0.0859375,-1.9420222043991089,-1.4420222043991089,-1.3560847043991089,-1.9420222043991089,44.97385374999999,2957,855,0.28914440311126144,5192244.0
5,conceptual_physics,3,2,0,1.5239441394805908,-0.28125,-1.7973816394805908,-1.6958191394805908,-1.2426941394805908,-1.5239441394805908,44.97385374999999,4379,4379,1.0,4501612.0
6,high_school_mathematics,2,3,0,1.9187321662902832,-0.7734375,-2.371857166290283,-1.7234196662902832,-1.9187321662902832,-1.1452946662902832,44.97385374999999,6472,3683,0.5690667490729295,9509152.0
7,computer_security,3,0,0,2.007575750350952,-1.390625,-0.6169507503509521,-2.515388250350952,-2.827888250350952,-2.007575750350952,44.97385374999999,4292,1200,0.27958993476234856,7578384.0
8,abstract_algebra,1,1,1,0.9631160497665405,0.9296875,-2.01780366897583,-0.9631160497665405,-1.8928035497665405,-2.29124116897583,44.97385374999999,3734,3734,1.0,3838552.0
9,conceptual_physics,1,1,1,0.9506720304489136,0.453125,-2.919422149658203,-0.9506720304489136,-1.4037970304489136,-1.6381720304489136,44.97385374999999,4601,1319,0.2866768093892632,8090596.0
10,computer_security,1,2,0,2.0700600147247314,-1.171875,-2.6013100147247314,-2.0700600147247314,-0.8981850147247314,-1.2731850147247314,44.97385374999999,3540,0,0.0,7264080.0
11,high_school_mathematics,3,1,0,1.9225953817367554,-0.453125,-1.8132203817367554,-1.4694703817367554,-1.9304078817367554,-1.9225953817367554,44.97385374999999,6211,0,0.0,12744972.0
12,abstract_algebra,0,3,0,1.6327707767486572,-0.1796875,-1.6327707767486572,-1.7265207767486572,-1.8358957767486572,-1.4530832767486572,44.97385374999999,4671,1490,0.3189895097409548,8059132.0
13,conceptual_physics,0,2,0,1.5520726442337036,-0.203125,-1.5520726442337036,-1.6848851442337036,-1.3489476442337036,-1.9583226442337036,44.97385374999999,3830,3830,1.0,3937240.0
14,high_school_mathematics,2,1,0,1.5976147651672363,-0.21875,-1.8241772651672363,-1.3788647651672363,-1.5976147651672363,-1.4179272651672363,44.97385374999999,4544,2631,0.5790052816901409,6630144.0
15,computer_security,0,1,0,1.7878271341323853,-0.28125,-1.7878271341323853,-1.5065771341323853,-1.6393896341323853,-1.5065771341323853,44.97385374999999,10236,2769,0.2705158264947245,18168816.0
16,conceptual_physics,2,1,0,1.4895274639129639,-0.125,-1.3801524639129639,-1.3645274639129639,-1.4895274639129639,-3.145777463912964,44.97385374999999,3398,3398,1.0,3493144.0
17,computer_security,2,3,0,1.5651419162750244,-0.265625,-1.6588919162750244,-1.7917044162750244,-1.5651419162750244,-1.2995169162750244,44.97385374999999,4268,1091,0.2556232427366448,7640752.0
18,high_school_mathematics,3,1,0,1.8434277772903442,-0.4609375,-1.5934277772903442,-1.3824902772903442,-1.7887402772903442,-1.8434277772903442,44.97385374999999,8684,0,0.0,17819568.0
19,high_school_mathematics,1,3,0,1.674638271331787,-0.4609375,-2.143388271331787,-1.674638271331787,-1.651200771331787,-1.213700771331787,44.97385374999999,3885,0,0.0,7972020.0
20,abstract_algebra,3,3,1,1.6420793533325195,0.203125,-2.1967668533325195,-2.0952043533325195,-1.8452043533325195,-1.6420793533325195,44.97385374999999,4679,1371,0.2930113272066681,8197404.0
21,high_school_mathematics,1,2,0,1.5425280332565308,-0.296875,-1.6284655332565308,-1.5425280332565308,-1.2456530332565308,-2.3237781524658203,44.97385374999999,5765,5765,1.0,5926420.0
22,conceptual_physics,2,3,0,1.6685397624969482,-0.8125000596046448,-2.2388522624969482,-2.5982272624969482,-1.6685397624969482,-0.8560397028923035,44.97385374999999,3479,1905,0.5475711411325094,5188188.0
23,abstract_algebra,3,3,1,1.4936186075210571,0.4921875,-2.4233059883117676,-2.1889309883117676,-1.9858061075210571,-1.4936186075210571,44.97385374999999,4799,1425,0.296936861846218,8388348.0
24,high_school_mathematics,2,1,0,1.5901614427566528,-0.1953125,-2.0354738235473633,-1.3948489427566528,-1.5901614427566528,-1.4885989427566528,44.97385374999999,8346,8346,1.0,8579688.0
25,abstract_algebra,2,3,0,1.7171436548233032,-0.09375,-2.0296435356140137,-1.9593311548233032,-1.7171436548233032,-1.6233936548233032,44.97385374999999,4188,1048,0.2502387774594078,7520624.0
26,conceptual_physics,2,1,0,1.9406746625900269,-0.4921875,-1.6750496625900269,-1.4484871625900269,-1.9406746625900269,-2.0422372817993164,44.97385374999999,5402,0,0.0,11084904.0
27,computer_security,2,2,1,1.3044440746307373,0.0390625,-1.3435065746307373,-2.2341315746307373,-1.3044440746307373,-1.3825690746307373,44.97385374999999,3059,0,0.0,6277068.0
28,high_school_mathematics,0,2,0,2.001837730407715,-0.6953126192092896,-2.001837730407715,-1.3846501111984253,-1.3065251111984253,-1.8455876111984253,44.97385374999999,4674,1366,0.29225502781343604,8192264.0
29,abstract_algebra,2,3,0,1.5423648357391357,-0.2734375,-2.0658023357391357,-1.7533023357391357,-1.5423648357391357,-1.2689273357391357,44.97385374999999,6213,6213,1.0,6386964.0
30,conceptual_physics,1,1,1,0.6345573663711548,0.875,-1.5095573663711548,-0.6345573663711548,-2.7908072471618652,-3.1658072471618652,44.97385374999999,3504,1810,0.5165525114155252,5336768.0
31,computer_security,0,3,0,1.8535706996917725,-1.3046875,-1.8535706996917725,-2.7363831996917725,-2.5645081996917725,-0.5488832592964172,44.97385374999999,7024,1874,0.2667995444191344,12494272.0
32,conceptual_physics,0,2,0,2.196951389312744,-1.2578125,-2.196951389312744,-1.8297638893127441,-0.9391388893127441,-2.165701389312744,44.50177587499991,4812,4812,1.0,4946736.0
33,conceptual_physics,2,2,1,1.0162572860717773,0.2578125,-2.3287572860717773,-1.2740697860717773,-1.0162572860717773,-2.6021947860717773,44.50177587499991,3876,1073,0.27683178534571723,6854800.0
34,abstract_algebra,0,3,0,1.9770455360412598,-0.53125,-1.9770455360412598,-1.4770455360412598,-1.7817330360412598,-1.4457955360412598,44.50177587499991,3735,0,0.0,7664220.0
35,computer_security,2,0,0,1.9414856433868408,-1.1328125,-0.808673083782196,-2.394610643386841,-1.9414856433868408,-2.238360643386841,44.50177587499991,3582,0,0.0,7350264.0
36,computer_security,1,1,1,0.5468056201934814,1.40625,-3.0858681201934814,-0.5468056201934814,-1.9530556201934814,-2.2108681201934814,44.50177587499991,3633,972,0.2675474814203138,6459588.0
37,high_school_mathematics,3,3,1,1.435309886932373,0.1484375,-1.794684886932373,-1.622809886932373,-1.583747386932373,-1.435309886932373,44.50177587499991,6875,6875,1.0,7067500.0
38,conceptual_physics,2,1,0,3.168055772781372,-2.28125,-0.9805558323860168,-0.8868058323860168,-3.168055772781372,-3.816493272781372,44.50177587499991,3572,1986,0.5559910414333706,5296080.0
39,abstract_algebra,3,3,1,1.5785183906555176,0.3515625,-1.9300808906555176,-1.9613308906555176,-2.0238308906555176,-1.5785183906555176,44.50177587499991,4659,1383,0.29684481648422406,8144076.0
40,conceptual_physics,3,0,0,2.2254836559295654,-0.6328125,-1.5926711559295654,-1.7176711559295654,-2.0145461559295654,-2.2254836559295654,44.50177587499991,4023,4023,1.0,4135644.0
41,high_school_mathematics,0,3,0,2.13364315032959,-0.6171875,-2.13364315032959,-1.9070806503295898,-2.02426815032959,-1.5164556503295898,44.50177587499991,4753,1211,0.2547864506627393,8513092.0
42,conceptual_physics,1,1,1,0.3906773626804352,2.515625,-2.9063024520874023,-0.3906773626804352,-3.3516149520874023,-3.5313024520874023,44.50177587499991,3939,0,0.0,8082828.0
