request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,abstract_algebra,1,1,1,1.559926152229309,0.0546875,-2.3489885330200195,-1.559926152229309,-2.2161760330200195,-1.614613652229309,42.71250520800004,5203,4353,0.8366327118969825,6219084.0
1,abstract_algebra,2,3,0,1.8026305437088013,-0.6796875,-1.8729430437088013,-2.4745054244995117,-1.8026305437088013,-1.1229430437088013,42.71250520800004,5323,4444,0.834867555889536,6372140.0
2,computer_security,2,3,0,1.532069444656372,-0.1796875,-2.016444444656372,-1.383631944656372,-1.532069444656372,-1.352381944656372,42.71250520800004,7432,6529,0.8784983853606028,8564768.0
3,abstract_algebra,0,1,0,2.290907382965088,-0.859375,-2.290907382965088,-1.431532382965088,-1.454969882965088,-2.033094882965088,42.71250520800004,6896,5749,0.8336716937354989,8263616.0
4,abstract_algebra,2,1,0,1.6524618864059448,-0.15625,-1.8633993864059448,-1.4962118864059448,-1.6524618864059448,-1.8946493864059448,42.71250520800004,2953,2513,0.8509989840839824,3486244.0
5,conceptual_physics,3,2,0,1.6192396879196167,-0.3515625,-1.6504896879196167,-1.8301771879196167,-1.2676771879196167,-1.6192396879196167,42.71250520800004,4362,3682,0.8441082072443833,5180456.0
6,high_school_mathematics,2,3,0,1.7057287693023682,-0.5390625,-2.221353769302368,-1.7604162693023682,-1.7057287693023682,-1.1666662693023682,42.71250520800004,6446,5558,0.8622401489295687,7535800.0
7,computer_security,3,0,0,1.4019919633865356,-0.203125,-1.1988669633865356,-1.9488669633865356,-1.9566794633865356,-1.4019919633865356,42.71250520800004,4287,3740,0.8724049451831117,4967164.0
8,abstract_algebra,1,1,1,1.1132361888885498,0.765625,-1.8788611888885498,-1.1132361888885498,-1.9647986888885498,-1.9804236888885498,42.71250520800004,3742,3087,0.824959914484233,4517496.0
9,conceptual_physics,1,1,1,0.9977282881736755,0.5156250596046448,-3.0758533477783203,-0.9977282881736755,-1.5133533477783203,-1.7321033477783203,42.71250520800004,4614,3758,0.8144776766363242,5619736.0
10,computer_security,1,2,0,1.9813215732574463,-1.0390625,-2.3328840732574463,-1.9813215732574463,-0.9422590732574463,-1.2938215732574463,42.71250520800004,3554,3134,0.8818232976927406,4083592.0
11,high_school_mathematics,3,1,0,2.195178508758545,-0.9453125,-1.663928508758545,-1.249866008758545,-2.109241008758545,-2.195178508758545,42.71250520800004,6203,5060,0.8157343221022086,7547116.0
12,abstract_algebra,0,0,1,1.5382513999938965,0.0390625,-1.5382513999938965,-1.7179388999938965,-1.6945013999938965,-1.5773138999938965,42.71250520800004,4652,3980,0.8555460017196904,5470384.0
13,conceptual_physics,0,0,1,1.6120595932006836,0.0078125,-1.6120595932006836,-1.6198720932006836,-1.7136220932006836,-1.9558095932006836,42.71250520800004,3827,3310,0.8649072380454664,4463564.0
14,high_school_mathematics,2,2,1,1.466986060142517,0.140625,-1.693548560142517,-1.607611060142517,-1.466986060142517,-1.607611060142517,42.71250520800004,4537,3903,0.8602600837557858,5313252.0
15,computer_security,0,1,0,1.8395214080810547,-0.5234375,-1.8395214080810547,-1.3160839080810547,-1.7535839080810547,-1.6754589080810547,42.71250520800004,10225,9056,0.8856723716381418,11708356.0
16,conceptual_physics,2,1,0,1.4302492141723633,-0.2265625,-1.6411867141723633,-1.2036867141723633,-1.4302492141723633,-3.1489992141723633,42.71250520800004,3402,2846,0.8365667254556144,4066600.0
17,computer_security,2,2,1,1.464782476425171,0.015625,-1.667907476425171,-1.902282476425171,-1.464782476425171,-1.480407476425171,42.71250520800004,4270,3569,0.8358313817330211,5107384.0
18,high_school_mathematics,3,1,0,1.6478158235549927,-0.3203125,-1.8821908235549927,-1.3275033235549927,-1.8196908235549927,-1.6478158235549927,42.71250520800004,8688,7650,0.880524861878453,9994176.0
19,high_school_mathematics,1,3,0,1.9780986309051514,-0.9765625,-2.0640361309051514,-1.9780986309051514,-1.7202861309051514,-1.0015361309051514,42.71250520800004,3878,3227,0.8321299638989169,4653208.0
20,abstract_algebra,3,3,1,1.5388003587722778,0.21875,-2.1481752395629883,-1.7575503587722778,-1.9606753587722778,-1.5388003587722778,42.71250520800004,4664,3952,0.8473413379073756,5523680.0
21,high_school_mathematics,1,2,0,1.4756171703338623,-0.0546875,-1.7490546703338623,-1.4756171703338623,-1.4209296703338623,-2.2021796703338623,42.71250520800004,5716,4926,0.8617914625612316,6685008.0
22,conceptual_physics,2,3,0,1.7228608131408691,-0.25,-1.7072358131408691,-1.7853608131408691,-1.7228608131408691,-1.4728608131408691,42.71250520800004,3472,2994,0.8623271889400922,4058688.0
23,abstract_algebra,3,3,1,1.5907548666000366,0.0859375,-2.137629985809326,-1.6766923666000366,-1.7157548666000366,-1.5907548666000366,42.71250520800004,4784,4159,0.8693561872909699,5557952.0
24,high_school_mathematics,2,1,0,1.938027262687683,-0.734375,-1.789589762687683,-1.203652262687683,-1.938027262687683,-1.563027262687683,42.71250520800004,8326,6811,0.8180398750900792,10110488.0
25,abstract_algebra,2,3,0,1.7509666681289673,-0.0703125,-2.1572165489196777,-1.7978416681289673,-1.7509666681289673,-1.6806541681289673,42.71250520800004,4171,3489,0.8364900503476385,4986156.0
26,conceptual_physics,2,0,0,1.8642463684082031,-0.3515625,-1.5126838684082031,-1.5204963684082031,-1.8642463684082031,-1.8329963684082031,42.71250520800004,5409,4801,0.8875947494915881,6183044.0
27,computer_security,2,0,0,1.6298238039016724,-0.3359375,-1.2938863039016724,-1.7470113039016724,-1.6298238039016724,-1.5751363039016724,42.71250520800004,3066,2555,0.8333333333333334,3675112.0
28,high_school_mathematics,0,1,0,2.198214054107666,-0.8281251192092896,-2.198214054107666,-1.3700889348983765,-1.5575889348983765,-1.7450889348983765,42.71250520800004,4656,3984,0.8556701030927835,5474496.0
29,abstract_algebra,2,3,0,1.5691970586776733,-0.3046875,-2.014509677886963,-1.8582595586776733,-1.5691970586776733,-1.2645095586776733,42.71250520800004,6207,5261,0.8475914290317383,7349500.0
30,conceptual_physics,1,0,0,1.5241258144378662,-0.7265625596046448,-0.7975632548332214,-1.5241258144378662,-2.352250814437866,-2.492875814437866,42.71250520800004,3499,3025,0.8645327236353244,4082348.0
31,computer_security,0,3,0,1.9484142065048218,-0.8359375,-1.9484142065048218,-1.5734142065048218,-1.6671642065048218,-1.1124767065048218,42.71250520800004,7009,6138,0.8757312027393351,8097156.0
32,conceptual_physics,0,2,0,2.196951389312744,-1.2578125,-2.196951389312744,-1.8297638893127441,-0.9391388893127441,-2.165701389312744,43.06475329099999,4812,4812,1.0,4946736.0
33,conceptual_physics,2,1,0,1.3090581893920898,-0.0859375,-2.44187068939209,-1.2231206893920898,-1.3090581893920898,-2.41843318939209,43.06475329099999,3891,3891,1.0,3999948.0
34,abstract_algebra,0,1,0,2.0055665969848633,-0.5078125,-2.0055665969848633,-1.4977540969848633,-1.6696290969848633,-1.6383790969848633,43.06475329099999,3725,3725,1.0,3829300.0
35,computer_security,2,0,0,1.6110963821411133,-0.25,-1.3610963821411133,-1.9001588821411133,-1.6110963821411133,-1.9157838821411133,43.06475329099999,3580,3580,1.0,3680240.0
36,computer_security,1,1,1,1.0505006313323975,0.2421875,-2.0036256313323975,-1.0505006313323975,-1.2926881313323975,-1.9489381313323975,43.06475329099999,3670,3670,1.0,3772760.0
37,high_school_mathematics,3,3,1,1.435309886932373,0.1484375,-1.794684886932373,-1.622809886932373,-1.583747386932373,-1.435309886932373,43.06475329099999,6875,6875,1.0,7067500.0
38,conceptual_physics,2,0,0,2.067676067352295,-1.1562501192092896,-0.9114259481430054,-1.2083009481430054,-2.067676067352295,-2.934863567352295,43.06475329099999,3603,3603,1.0,3703884.0
39,abstract_algebra,3,3,1,1.3073407411575317,0.25,-1.9948407411575317,-1.7839032411575317,-1.5573407411575317,-1.3073407411575317,43.06475329099999,4673,4673,1.0,4803844.0
40,conceptual_physics,3,0,0,2.2254836559295654,-0.6328125,-1.5926711559295654,-1.7176711559295654,-2.0145461559295654,-2.2254836559295654,43.06475329099999,4023,4023,1.0,4135644.0
41,high_school_mathematics,0,3,0,2.2307682037353516,-0.6640623807907104,-2.2307682037353516,-2.2073307037353516,-1.8713933229446411,-1.5667058229446411,43.06475329099999,4750,4750,1.0,4883000.0
42,conceptual_physics,1,1,1,0.38705429434776306,2.671875,-3.058929204940796,-0.38705429434776306,-3.691741704940796,-3.465179204940796,43.06475329099999,3945,3945,1.0,4055460.0
43,abstract_algebra,2,3,0,1.7603105306625366,-0.203125,-2.096248149871826,-1.9321855306625366,-1.7603105306625366,-1.5571855306625366,43.06475329099999,5084,5084,1.0,5226352.0
44,high_school_mathematics,1,2,0,1.9789791107177734,-1.0546875,-2.1430416107177734,-1.9789791107177734,-0.9242916107177734,-1.5961666107177734,43.06475329099999,5632,5632,1.0,5789696.0
45,high_school_mathematics,3,3,1,1.060052752494812,0.78125,-1.872552752494812,-1.997552752494812,-1.841302752494812,-1.060052752494812,43.06475329099999,7159,7159,1.0,7359452.0
46,computer_security,0,2,0,1.8155410289764404,-0.46875,-1.8155410289764404,-1.4561660289764404,-1.3467910289764404,-1.4171035289764404,43.06475329099999,10126,10126,1.0,10409528.0
47,abstract_algebra,3,3,1,1.246750831604004,0.3203125,-2.012375831604004,-1.668625831604004,-1.567063331604004,-1.246750831604004,43.06475329099999,4899,4899,1.0,5036172.0
48,computer_security,1,1,1,1.3014599084854126,0.0625,-2.020209789276123,-1.3014599084854126,-1.3639599084854126,-1.4498974084854126,43.06475329099999,7631,7631,1.0,7844668.0
49,conceptual_physics,3,2,0,2.2768301963806152,-1.0390625,-2.3393301963806152,-1.3627676963806152,-1.2377676963806152,-2.2768301963806152,43.06475329099999,3866,3866,1.0,3974248.0
50,high_school_mathematics,1,3,0,1.7780072689056396,-0.0390625,-1.9967572689056396,-1.7780072689056396,-2.2311322689056396,-1.7389447689056396,43.06475329099999,4364,4364,1.0,4486192.0
51,computer_security,1,3,0,1.4636662006378174,-0.3671875,-2.2761662006378174,-1.4636662006378174,-1.9324162006378174,-1.0964787006378174,43.06475329099999,3749,3749,1.0,3853972.0
52,high_school_mathematics,3,3,1,1.3623460531234741,0.3125,-1.6904710531234741,-1.6748460531234741,-1.7060960531234741,-1.3623460531234741,43.06475329099999,3512,3512,1.0,3610336.0
53,computer_security,2,1,0,1.277219295501709,0.0,-1.425656795501709,-1.277219295501709,-1.277219295501709,-2.253781795501709,43.06475329099999,4284,4284,1.0,4403952.0
54,conceptual_physics,2,2,1,0.6269347667694092,1.3203125,-2.165997266769409,-1.9472472667694092,-0.6269347667694092,-3.064434766769409,43.06475329099999,3322,3322,1.0,3415016.0
55,abstract_algebra,1,1,1,1.2903450727462769,0.140625,-2.0637826919555664,-1.2903450727462769,-1.4309700727462769,-1.6731575727462769,43.06475329099999,3611,3611,1.0,3712108.0
56,computer_security,1,1,1,0.18952572345733643,2.9921875,-3.916088104248047,-0.18952572345733643,-3.181713104248047,-3.861400604248047,43.06475329099999,3678,3678,1.0,3780984.0
57,computer_security,2,2,1,0.8522723913192749,0.75,-2.7819600105285645,-2.0163350105285645,-0.8522723913192749,-1.602272391319275,43.06475329099999,4266,4266,1.0,4385448.0
58,high_school_mathematics,1,2,0,1.5131813287734985,-0.109375,-2.106931209564209,-1.5131813287734985,-1.4038063287734985,-1.8334938287734985,43.06475329099999,4502,4502,1.0,4628056.0
59,conceptual_physics,1,1,1,1.398575782775879,0.5390625,-2.015763282775879,-1.398575782775879,-1.937638282775879,-2.000138282775879,43.06475329099999,4638,4638,1.0,4767864.0
60,conceptual_physics,3,3,1,0.7401739358901978,0.7109375,-2.677673816680908,-2.122986316680908,-1.4511114358901978,-0.7401739358901978,43.06475329099999,3230,3230,1.0,3320440.0
61,abstract_algebra,2,3,0,1.473981499671936,-0.0234375,-1.833356499671936,-1.677106499671936,-1.473981499671936,-1.450543999671936,43.06475329099999,6336,6336,1.0,6513408.0
62,computer_security,3,0,0,2.537992000579834,-1.3203126192092896,-1.2176793813705444,-1.3036168813705444,-1.5379918813705444,-2.537992000579834,43.06475329099999,3348,3348,1.0,3441744.0
63,high_school_mathematics,2,2,1,1.2945499420166016,0.1796875,-1.8726749420166016,-1.4742374420166016,-1.2945499420166016,-1.8570499420166016,43.06475329099999,3249,3249,1.0,3339972.0
