request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,abstract_algebra,1,3,0,1.6414250135421753,-0.25,-2.266425132751465,-1.6414250135421753,-1.9304875135421753,-1.3914250135421753,42.970062249999955,5212,4923,0.9445510360706063,5653872.0
1,abstract_algebra,2,3,0,1.458203673362732,-0.4609375,-2.3722662925720215,-2.6144537925720215,-1.458203673362732,-0.9972661733627319,42.970062249999955,5338,5023,0.9409891345073061,5810024.0
2,computer_security,2,3,0,1.5037044286727905,-0.0859375,-2.17557954788208,-1.5271419286727905,-1.5037044286727905,-1.4177669286727905,42.970062249999955,7440,6977,0.937768817204301,8122432.0
3,abstract_algebra,0,1,0,2.121677875518799,-0.78125,-2.121677875518799,-1.3404278755187988,-1.3404278755187988,-1.7857403755187988,42.970062249999955,6896,6478,0.939385150812065,7517120.0
4,abstract_algebra,2,2,1,1.3857661485671997,0.359375,-2.10451602935791,-1.7451411485671997,-1.3857661485671997,-1.8935786485671997,42.970062249999955,3071,2907,0.9465971996092478,3324924.0
5,conceptual_physics,3,2,0,1.9435093402862549,-0.640625,-1.4356968402862549,-1.4669468402862549,-1.3028843402862549,-1.9435093402862549,42.970062249999955,4464,4235,0.9487007168458781,4823488.0
6,high_school_mathematics,2,3,0,1.8087923526763916,-0.515625,-2.6759798526763916,-1.8947298526763916,-1.8087923526763916,-1.2931673526763916,42.970062249999955,6599,6205,0.9402939839369602,7187228.0
7,computer_security,3,0,0,1.645678997039795,-0.7656249403953552,-0.8800540566444397,-2.301928997039795,-2.356616497039795,-1.645678997039795,42.970062249999955,4134,3898,0.9429124334784712,4491416.0
8,abstract_algebra,1,1,1,1.146146297454834,0.6484375,-1.794583797454834,-1.146146297454834,-1.896146297454834,-2.099271297454834,42.970062249999955,3727,3513,0.9425811644754494,4050492.0
9,conceptual_physics,1,1,1,0.9612094759941101,0.6171875596046448,-2.883084535598755,-0.9612094759941101,-1.6174595355987549,-1.5783970355987549,42.970062249999955,4612,4351,0.9434084995663486,5008400.0
10,computer_security,1,2,0,1.8748245239257812,-1.015625,-2.2107620239257812,-1.8748245239257812,-0.8591994643211365,-1.5623245239257812,42.970062249999955,3551,3339,0.9402985074626866,3867516.0
11,high_school_mathematics,3,1,0,1.89874267578125,-0.5703125,-1.71124267578125,-1.32843017578125,-1.90655517578125,-1.89874267578125,42.970062249999955,6198,5830,0.9406260083898031,6748376.0
12,abstract_algebra,0,3,0,1.8903335332870483,-0.5703125,-1.8903335332870483,-2.030958652496338,-1.6012710332870483,-1.3200210332870483,42.970062249999955,4661,4387,0.9412143316884789,5072084.0
13,conceptual_physics,0,1,0,1.6307140588760376,-0.2265625,-1.6307140588760376,-1.4041515588760376,-1.6619640588760376,-2.060401439666748,42.970062249999955,3859,3627,0.9398807981342316,4204620.0
14,high_school_mathematics,2,0,0,1.5908160209655762,-0.015625,-1.5751910209655762,-1.6142535209655762,-1.5908160209655762,-1.8955035209655762,42.970062249999955,4699,4442,0.9453075122366461,5093740.0
15,computer_security,0,1,0,1.3870348930358887,-0.0078125,-1.3870348930358887,-1.3792223930358887,-1.9885973930358887,-1.7620348930358887,42.970062249999955,9613,9028,0.9391449079371684,10481204.0
16,conceptual_physics,2,1,0,1.3591920137405396,-0.234375,-1.8279420137405396,-1.1248170137405396,-1.3591920137405396,-3.03887939453125,42.970062249999955,3410,3068,0.8997067448680351,3855688.0
17,computer_security,2,2,1,1.4558771848678589,0.078125,-1.8777521848678589,-1.6746271848678589,-1.4558771848678589,-1.5340021848678589,42.970062249999955,4248,3807,0.8961864406779662,4818528.0
18,high_school_mathematics,3,1,0,1.7239316701889038,-0.328125,-1.5989316701889038,-1.3958066701889038,-1.7708066701889038,-1.7239316701889038,42.970062249999955,8700,7808,0.8974712643678161,9857008.0
19,high_school_mathematics,1,3,0,1.6573574542999268,-0.40625,-2.1573574542999268,-1.6573574542999268,-1.6651699542999268,-1.2511074542999268,42.970062249999955,3794,0,0.0,7785288.0
20,abstract_algebra,3,3,1,1.707135796546936,0.1875,-2.2227606773376465,-2.0196356773376465,-1.894635796546936,-1.707135796546936,42.970062249999955,4659,0,0.0,9560268.0
21,high_school_mathematics,1,2,0,1.6246756315231323,-0.03125,-1.6324881315231323,-1.6246756315231323,-1.5934256315231323,-2.640300750732422,42.970062249999955,5720,0,0.0,11737440.0
22,conceptual_physics,2,3,0,1.5169113874435425,-0.25,-2.173161506652832,-2.032536506652832,-1.5169113874435425,-1.2669113874435425,42.970062249999955,3476,0,0.0,7132752.0
23,abstract_algebra,3,3,1,1.4947090148925781,0.1171875,-2.416584014892578,-1.7915840148925781,-1.6118965148925781,-1.4947090148925781,42.970062249999955,4924,4427,0.8990658001624695,5570800.0
24,high_school_mathematics,2,3,0,1.7569149732589722,-0.34375,-1.8272274732589722,-1.4444149732589722,-1.7569149732589722,-1.4131649732589722,42.970062249999955,8339,7455,0.8939920853819403,9477708.0
25,abstract_algebra,2,2,1,1.4767401218414307,0.265625,-2.0704901218414307,-1.9376776218414307,-1.4767401218414307,-1.7423651218414307,42.970062249999955,4167,3737,0.8968082553395729,4723996.0
26,conceptual_physics,2,1,0,1.9458450078964233,-0.53125,-1.6489700078964233,-1.4145950078964233,-1.9458450078964233,-2.070845127105713,42.970062249999955,5346,0,0.0,10969992.0
27,computer_security,2,2,1,1.2243785858154297,0.140625,-1.3650035858154297,-2.2634410858154297,-1.2243785858154297,-1.4353160858154297,42.970062249999955,3087,0,0.0,6334524.0
28,high_school_mathematics,0,1,0,2.0906643867492676,-0.765625,-2.0906643867492676,-1.3250393867492676,-1.5359768867492676,-1.7000393867492676,42.970062249999955,4665,0,0.0,9572580.0
29,abstract_algebra,2,3,0,1.9444957971572876,-0.1796875,-1.9757457971572876,-1.9991832971572876,-1.9444957971572876,-1.7648082971572876,42.970062249999955,6241,0,0.0,12806532.0
30,conceptual_physics,1,1,1,0.7898439168930054,1.0078125,-1.9773439168930054,-0.7898439168930054,-1.7976564168930054,-2.352344036102295,42.970062249999955,3671,3290,0.8962135657858894,4163932.0
31,computer_security,0,3,0,2.911497116088867,-2.5234375,-2.911497116088867,-2.458372116088867,-2.559934616088867,-0.3880595862865448,42.970062249999955,6525,5842,0.8953256704980843,7407092.0
32,conceptual_physics,0,2,0,2.196951389312744,-1.2578125,-2.196951389312744,-1.8297638893127441,-0.9391388893127441,-2.165701389312744,42.70691041700002,4812,4812,1.0,4946736.0
